"Plot Title: 9 Mile WMA"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2408894, SEN S/N: 2408894)","Coupler Detached (LGR S/N: 2408894)","Coupler Attached (LGR S/N: 2408894)","Host Connected (LGR S/N: 2408894)","Stopped (LGR S/N: 2408894)","End Of File (LGR S/N: 2408894)"
1,05/26/16 01:00:00 PM,62.962,Logged,,,,
2,05/26/16 01:15:00 PM,63.090,,,,,
3,05/26/16 01:30:00 PM,63.133,,,,,
4,05/26/16 01:45:00 PM,63.133,,,,,
5,05/26/16 02:00:00 PM,63.219,,,,,
6,05/26/16 02:15:00 PM,63.262,,,,,
7,05/26/16 02:30:00 PM,63.219,,,,,
8,05/26/16 02:45:00 PM,63.219,,,,,
9,05/26/16 03:00:00 PM,63.262,,,,,
10,05/26/16 03:15:00 PM,63.304,,,,,
11,05/26/16 03:30:00 PM,63.347,,,,,
12,05/26/16 03:45:00 PM,63.390,,,,,
13,05/26/16 04:00:00 PM,63.561,,,,,
14,05/26/16 04:15:00 PM,63.518,,,,,
15,05/26/16 04:30:00 PM,63.433,,,,,
16,05/26/16 04:45:00 PM,63.475,,,,,
17,05/26/16 05:00:00 PM,63.604,,,,,
18,05/26/16 05:15:00 PM,63.604,,,,,
19,05/26/16 05:30:00 PM,63.689,,,,,
20,05/26/16 05:45:00 PM,63.732,,,,,
21,05/26/16 06:00:00 PM,63.689,,,,,
22,05/26/16 06:15:00 PM,63.689,,,,,
23,05/26/16 06:30:00 PM,63.561,,,,,
24,05/26/16 06:45:00 PM,63.475,,,,,
25,05/26/16 07:00:00 PM,63.390,,,,,
26,05/26/16 07:15:00 PM,63.262,,,,,
27,05/26/16 07:30:00 PM,63.090,,,,,
28,05/26/16 07:45:00 PM,62.962,,,,,
29,05/26/16 08:00:00 PM,62.834,,,,,
30,05/26/16 08:15:00 PM,62.704,,,,,
31,05/26/16 08:30:00 PM,62.620,,,,,
32,05/26/16 08:45:00 PM,62.620,,,,,
33,05/26/16 09:00:00 PM,62.661,,,,,
34,05/26/16 09:15:00 PM,62.661,,,,,
35,05/26/16 09:30:00 PM,62.620,,,,,
36,05/26/16 09:45:00 PM,62.533,,,,,
37,05/26/16 10:00:00 PM,62.406,,,,,
38,05/26/16 10:15:00 PM,62.233,,,,,
39,05/26/16 10:30:00 PM,62.191,,,,,
40,05/26/16 10:45:00 PM,62.019,,,,,
41,05/26/16 11:00:00 PM,61.934,,,,,
42,05/26/16 11:15:00 PM,61.891,,,,,
43,05/26/16 11:30:00 PM,61.848,,,,,
44,05/26/16 11:45:00 PM,61.761,,,,,
45,05/27/16 12:00:00 AM,61.633,,,,,
46,05/27/16 12:15:00 AM,61.506,,,,,
47,05/27/16 12:30:00 AM,61.419,,,,,
48,05/27/16 12:45:00 AM,61.290,,,,,
49,05/27/16 01:00:00 AM,61.162,,,,,
50,05/27/16 01:15:00 AM,61.075,,,,,
51,05/27/16 01:30:00 AM,60.991,,,,,
52,05/27/16 01:45:00 AM,60.904,,,,,
53,05/27/16 02:00:00 AM,60.775,,,,,
54,05/27/16 02:15:00 AM,60.647,,,,,
55,05/27/16 02:30:00 AM,60.517,,,,,
56,05/27/16 02:45:00 AM,60.474,,,,,
57,05/27/16 03:00:00 AM,60.346,,,,,
58,05/27/16 03:15:00 AM,60.217,,,,,
59,05/27/16 03:30:00 AM,60.132,,,,,
60,05/27/16 03:45:00 AM,60.046,,,,,
61,05/27/16 04:00:00 AM,59.959,,,,,
62,05/27/16 04:15:00 AM,59.916,,,,,
63,05/27/16 04:30:00 AM,59.830,,,,,
64,05/27/16 04:45:00 AM,59.745,,,,,
65,05/27/16 05:00:00 AM,59.659,,,,,
66,05/27/16 05:15:00 AM,59.616,,,,,
67,05/27/16 05:30:00 AM,59.529,,,,,
68,05/27/16 05:45:00 AM,59.445,,,,,
69,05/27/16 06:00:00 AM,59.358,,,,,
70,05/27/16 06:15:00 AM,59.315,,,,,
71,05/27/16 06:30:00 AM,59.185,,,,,
72,05/27/16 06:45:00 AM,59.099,,,,,
73,05/27/16 07:00:00 AM,59.014,,,,,
74,05/27/16 07:15:00 AM,58.928,,,,,
75,05/27/16 07:30:00 AM,58.885,,,,,
76,05/27/16 07:45:00 AM,58.842,,,,,
77,05/27/16 08:00:00 AM,58.798,,,,,
78,05/27/16 08:15:00 AM,58.755,,,,,
79,05/27/16 08:30:00 AM,58.669,,,,,
80,05/27/16 08:45:00 AM,58.626,,,,,
81,05/27/16 09:00:00 AM,58.582,,,,,
82,05/27/16 09:15:00 AM,58.498,,,,,
83,05/27/16 09:30:00 AM,58.455,,,,,
84,05/27/16 09:45:00 AM,58.455,,,,,
85,05/27/16 10:00:00 AM,58.411,,,,,
86,05/27/16 10:15:00 AM,58.411,,,,,
