"Plot Title: Bordeaux North 12-8-15 (1523)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739553, SEN S/N: 10739553)","Coupler Detached (LGR S/N: 10739553)","Coupler Attached (LGR S/N: 10739553)","Stopped (LGR S/N: 10739553)","End Of File (LGR S/N: 10739553)"
1,12/08/15 04:00:00 PM,46.031,Logged,,,
2,12/08/15 04:15:00 PM,46.121,,,,
3,12/08/15 04:30:00 PM,46.211,,,,
4,12/08/15 04:45:00 PM,46.301,,,,
5,12/08/15 05:00:00 PM,46.391,,,,
6,12/08/15 05:15:00 PM,46.436,,,,
7,12/08/15 05:30:00 PM,46.526,,,,
8,12/08/15 05:45:00 PM,46.571,,,,
9,12/08/15 06:00:00 PM,46.571,,,,
10,12/08/15 06:15:00 PM,46.571,,,,
11,12/08/15 06:30:00 PM,46.481,,,,
12,12/08/15 06:45:00 PM,46.436,,,,
13,12/08/15 07:00:00 PM,46.391,,,,
14,12/08/15 07:15:00 PM,46.256,,,,
15,12/08/15 07:30:00 PM,46.166,,,,
16,12/08/15 07:45:00 PM,46.076,,,,
17,12/08/15 08:00:00 PM,45.986,,,,
18,12/08/15 08:15:00 PM,45.851,,,,
19,12/08/15 08:30:00 PM,45.714,,,,
20,12/08/15 08:45:00 PM,45.624,,,,
21,12/08/15 09:00:00 PM,45.489,,,,
22,12/08/15 09:15:00 PM,45.307,,,,
23,12/08/15 09:30:00 PM,45.172,,,,
24,12/08/15 09:45:00 PM,44.991,,,,
25,12/08/15 10:00:00 PM,44.856,,,,
26,12/08/15 10:15:00 PM,44.719,,,,
27,12/08/15 10:30:00 PM,44.582,,,,
28,12/08/15 10:45:00 PM,44.492,,,,
29,12/08/15 11:00:00 PM,44.355,,,,
30,12/08/15 11:15:00 PM,44.263,,,,
31,12/08/15 11:30:00 PM,44.127,,,,
32,12/08/15 11:45:00 PM,44.037,,,,
33,12/09/15 12:00:00 AM,43.945,,,,
34,12/09/15 12:15:00 AM,43.853,,,,
35,12/09/15 12:30:00 AM,43.808,,,,
36,12/09/15 12:45:00 AM,43.716,,,,
37,12/09/15 01:00:00 AM,43.671,,,,
38,12/09/15 01:15:00 AM,43.624,,,,
39,12/09/15 01:30:00 AM,43.579,,,,
40,12/09/15 01:45:00 AM,43.579,,,,
41,12/09/15 02:00:00 AM,43.488,,,,
42,12/09/15 02:15:00 AM,43.488,,,,
43,12/09/15 02:30:00 AM,43.443,,,,
44,12/09/15 02:45:00 AM,43.396,,,,
45,12/09/15 03:00:00 AM,43.396,,,,
46,12/09/15 03:15:00 AM,43.351,,,,
47,12/09/15 03:30:00 AM,43.351,,,,
48,12/09/15 03:45:00 AM,43.306,,,,
49,12/09/15 04:00:00 AM,43.306,,,,
50,12/09/15 04:15:00 AM,43.259,,,,
51,12/09/15 04:30:00 AM,43.259,,,,
52,12/09/15 04:45:00 AM,43.259,,,,
53,12/09/15 05:00:00 AM,43.259,,,,
54,12/09/15 05:15:00 AM,43.259,,,,
55,12/09/15 05:30:00 AM,43.259,,,,
