"Plot Title: Bordeaux Cliffs"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9783607, SEN S/N: 9783607)","Coupler Detached (LGR S/N: 9783607)","Coupler Attached (LGR S/N: 9783607)","Host Connected (LGR S/N: 9783607)","Stopped (LGR S/N: 9783607)","End Of File (LGR S/N: 9783607)"
1,05/27/16 05:00:00 PM,57.549,Logged,,,,
2,05/27/16 05:15:00 PM,57.765,,,,,
3,05/27/16 05:30:00 PM,57.850,,,,,
4,05/27/16 05:45:00 PM,57.807,,,,,
5,05/27/16 06:00:00 PM,57.722,,,,,
6,05/27/16 06:15:00 PM,57.592,,,,,
7,05/27/16 06:30:00 PM,57.506,,,,,
8,05/27/16 06:45:00 PM,57.463,,,,,
9,05/27/16 07:00:00 PM,57.420,,,,,
10,05/27/16 07:15:00 PM,57.290,,,,,
11,05/27/16 07:30:00 PM,57.204,,,,,
12,05/27/16 07:45:00 PM,57.117,,,,,
13,05/27/16 08:00:00 PM,57.074,,,,,
14,05/27/16 08:15:00 PM,57.031,,,,,
15,05/27/16 08:30:00 PM,56.858,,,,,
16,05/27/16 08:45:00 PM,56.685,,,,,
17,05/27/16 09:00:00 PM,56.512,,,,,
18,05/27/16 09:15:00 PM,56.340,,,,,
19,05/27/16 09:30:00 PM,56.122,,,,,
20,05/27/16 09:45:00 PM,55.863,,,,,
21,05/27/16 10:00:00 PM,55.647,,,,,
22,05/27/16 10:15:00 PM,55.386,,,,,
23,05/27/16 10:30:00 PM,55.125,,,,,
24,05/27/16 10:45:00 PM,54.865,,,,,
25,05/27/16 11:00:00 PM,54.604,,,,,
26,05/27/16 11:15:00 PM,54.343,,,,,
27,05/27/16 11:30:00 PM,54.037,,,,,
28,05/27/16 11:45:00 PM,53.776,,,,,
29,05/28/16 12:00:00 AM,53.472,,,,,
30,05/28/16 12:15:00 AM,53.166,,,,,
31,05/28/16 12:30:00 AM,52.903,,,,,
32,05/28/16 12:45:00 AM,52.686,,,,,
33,05/28/16 01:00:00 AM,52.378,,,,,
34,05/28/16 01:15:00 AM,52.072,,,,,
35,05/28/16 01:30:00 AM,51.852,,,,,
36,05/28/16 01:45:00 AM,51.633,,,,,
37,05/28/16 02:00:00 AM,51.458,,,,,
38,05/28/16 02:15:00 AM,51.237,,,,,
39,05/28/16 02:30:00 AM,51.017,,,,,
40,05/28/16 02:45:00 AM,50.797,,,,,
41,05/28/16 03:00:00 AM,50.533,,,,,
42,05/28/16 03:15:00 AM,50.311,,,,,
43,05/28/16 03:30:00 AM,50.092,,,,,
44,05/28/16 03:45:00 AM,49.870,,,,,
45,05/28/16 04:00:00 AM,49.649,,,,,
46,05/28/16 04:15:00 AM,49.428,,,,,
47,05/28/16 04:30:00 AM,49.249,,,,,
48,05/28/16 04:45:00 AM,49.028,,,,,
49,05/28/16 05:00:00 AM,48.850,,,,,
50,05/28/16 05:15:00 AM,48.672,,,,,
51,05/28/16 05:30:00 AM,48.493,,,,,
52,05/28/16 05:45:00 AM,48.315,,,,,
53,05/28/16 06:00:00 AM,48.137,,,,,
54,05/28/16 06:15:00 AM,47.959,,,,,
55,05/28/16 06:30:00 AM,47.781,,,,,
56,05/28/16 06:45:00 AM,47.602,,,,,
57,05/28/16 07:00:00 AM,47.467,,,,,
58,05/28/16 07:15:00 AM,47.289,,,,,
59,05/28/16 07:30:00 AM,47.199,,,,,
60,05/28/16 07:45:00 AM,47.064,,,,,
61,05/28/16 08:00:00 AM,46.974,,,,,
62,05/28/16 08:15:00 AM,46.931,,,,,
63,05/28/16 08:30:00 AM,46.886,,,,,
64,05/28/16 08:45:00 AM,46.886,,,,,
65,05/28/16 09:00:00 AM,46.931,,,,,
66,05/28/16 09:15:00 AM,47.064,,,,,
67,05/28/16 09:30:00 AM,47.199,,,,,
68,05/28/16 09:45:00 AM,47.467,,,,,
69,05/28/16 10:00:00 AM,47.914,,,,,
70,05/28/16 10:15:00 AM,48.450,,,,,
71,05/28/16 10:30:00 AM,48.983,,,,,
72,05/28/16 10:45:00 AM,49.516,,,,,
73,05/28/16 11:00:00 AM,50.223,,,,,
74,05/28/16 11:15:00 AM,50.929,,,,,
75,05/28/16 11:30:00 AM,51.809,,,,,
76,05/28/16 11:45:00 AM,52.860,,,,,
77,05/28/16 12:00:00 PM,54.037,,,,,
78,05/28/16 12:15:00 PM,55.168,,,,,
79,05/28/16 12:30:00 PM,56.383,,,,,
80,05/28/16 12:45:00 PM,57.592,,,,,
81,05/28/16 01:00:00 PM,58.755,,,,,
82,05/28/16 01:15:00 PM,60.003,,,,,
83,05/28/16 01:30:00 PM,60.818,,,,,
84,05/28/16 01:45:00 PM,61.848,,,,,
85,05/28/16 02:00:00 PM,62.834,,,,,
86,05/28/16 02:15:00 PM,63.390,,,,,
87,05/28/16 02:30:00 PM,63.304,,,,,
88,05/28/16 02:45:00 PM,63.219,,,,,
89,05/28/16 03:00:00 PM,63.304,,,,,
90,05/28/16 03:15:00 PM,63.219,,,,,
91,05/28/16 03:30:00 PM,63.005,,,,,
92,05/28/16 03:45:00 PM,62.962,,,,,
93,05/28/16 04:00:00 PM,63.048,,,,,
94,05/28/16 04:15:00 PM,63.475,,,,,
95,05/28/16 04:30:00 PM,63.990,,,,,
96,05/28/16 04:45:00 PM,64.418,,,,,
97,05/28/16 05:00:00 PM,64.117,,,,,
98,05/28/16 05:15:00 PM,63.689,,,,,
99,05/28/16 05:30:00 PM,63.433,,,,,
100,05/28/16 05:45:00 PM,63.133,,,,,
101,05/28/16 06:00:00 PM,62.533,,,,,
102,05/28/16 06:15:00 PM,62.019,,,,,
103,05/28/16 06:30:00 PM,61.677,,,,,
104,05/28/16 06:45:00 PM,61.419,,,,,
105,05/28/16 07:00:00 PM,61.162,,,,,
106,05/28/16 07:15:00 PM,60.904,,,,,
107,05/28/16 07:30:00 PM,60.647,,,,,
108,05/28/16 07:45:00 PM,60.433,,,,,
109,05/28/16 08:00:00 PM,60.260,,,,,
110,05/28/16 08:15:00 PM,60.089,,,,,
111,05/28/16 08:30:00 PM,59.788,,,,,
112,05/28/16 08:45:00 PM,59.358,,,,,
113,05/28/16 09:00:00 PM,58.928,,,,,
114,05/28/16 09:15:00 PM,58.455,,,,,
115,05/28/16 09:30:00 PM,58.023,,,,,
116,05/28/16 09:45:00 PM,57.549,,,,,
117,05/28/16 10:00:00 PM,57.117,,,,,
118,05/28/16 10:15:00 PM,56.728,,,,,
119,05/28/16 10:30:00 PM,56.340,,,,,
120,05/28/16 10:45:00 PM,55.906,,,,,
121,05/28/16 11:00:00 PM,55.558,,,,,
122,05/28/16 11:15:00 PM,55.168,,,,,
123,05/28/16 11:30:00 PM,54.777,,,,,
124,05/28/16 11:45:00 PM,54.430,,,,,
125,05/29/16 12:00:00 AM,54.037,,,,,
126,05/29/16 12:15:00 AM,53.690,,,,,
127,05/29/16 12:30:00 AM,53.341,,,,,
128,05/29/16 12:45:00 AM,52.992,,,,,
129,05/29/16 01:00:00 AM,52.641,,,,,
130,05/29/16 01:15:00 AM,52.335,,,,,
131,05/29/16 01:30:00 AM,52.029,,,,,
132,05/29/16 01:45:00 AM,51.721,,,,,
133,05/29/16 02:00:00 AM,51.413,,,,,
134,05/29/16 02:15:00 AM,51.148,,,,,
135,05/29/16 02:30:00 AM,50.886,,,,,
136,05/29/16 02:45:00 AM,50.664,,,,,
137,05/29/16 03:00:00 AM,50.488,,,,,
138,05/29/16 03:15:00 AM,50.311,,,,,
139,05/29/16 03:30:00 AM,50.092,,,,,
140,05/29/16 03:45:00 AM,49.914,,,,,
141,05/29/16 04:00:00 AM,49.692,,,,,
142,05/29/16 04:15:00 AM,49.516,,,,,
143,05/29/16 04:30:00 AM,49.338,,,,,
144,05/29/16 04:45:00 AM,49.116,,,,,
145,05/29/16 05:00:00 AM,48.983,,,,,
146,05/29/16 05:15:00 AM,48.805,,,,,
147,05/29/16 05:30:00 AM,48.628,,,,,
148,05/29/16 05:45:00 AM,48.450,,,,,
149,05/29/16 06:00:00 AM,48.272,,,,,
150,05/29/16 06:15:00 AM,48.094,,,,,
151,05/29/16 06:30:00 AM,47.959,,,,,
152,05/29/16 06:45:00 AM,47.826,,,,,
153,05/29/16 07:00:00 AM,47.691,,,,,
154,05/29/16 07:15:00 AM,47.602,,,,,
155,05/29/16 07:30:00 AM,47.467,,,,,
156,05/29/16 07:45:00 AM,47.377,,,,,
157,05/29/16 08:00:00 AM,47.334,,,,,
158,05/29/16 08:15:00 AM,47.289,,,,,
159,05/29/16 08:30:00 AM,47.289,,,,,
160,05/29/16 08:45:00 AM,47.334,,,,,
161,05/29/16 09:00:00 AM,47.377,,,,,
162,05/29/16 09:15:00 AM,47.467,,,,,
163,05/29/16 09:30:00 AM,47.647,,,,,
164,05/29/16 09:45:00 AM,47.871,,,,,
165,05/29/16 10:00:00 AM,48.315,,,,,
166,05/29/16 10:15:00 AM,48.895,,,,,
167,05/29/16 10:30:00 AM,49.428,,,,,
168,05/29/16 10:45:00 AM,50.047,,,,,
169,05/29/16 11:00:00 AM,50.709,,,,,
170,05/29/16 11:15:00 AM,51.458,,,,,
171,05/29/16 11:30:00 AM,52.291,,,,,
172,05/29/16 11:45:00 AM,53.384,,,,,
173,05/29/16 12:00:00 PM,54.604,,,,,
174,05/29/16 12:15:00 PM,55.733,,,,,
175,05/29/16 12:30:00 PM,57.031,,,,,
176,05/29/16 12:45:00 PM,58.282,,,,,
177,05/29/16 01:00:00 PM,59.445,,,,,
178,05/29/16 01:15:00 PM,60.690,,,,,
179,05/29/16 01:30:00 PM,61.547,,,,,
180,05/29/16 01:45:00 PM,62.577,,,,,
181,05/29/16 02:00:00 PM,63.561,,,,,
182,05/29/16 02:15:00 PM,64.546,,,,,
183,05/29/16 02:30:00 PM,65.403,,,,,
184,05/29/16 02:45:00 PM,66.301,,,,,
185,05/29/16 03:00:00 PM,67.413,,,,,
186,05/29/16 03:15:00 PM,67.928,,,,,
187,05/29/16 03:30:00 PM,68.142,,,,,
188,05/29/16 03:45:00 PM,67.928,,,,,
189,05/29/16 04:00:00 PM,68.013,,,,,
190,05/29/16 04:15:00 PM,67.885,,,,,
191,05/29/16 04:30:00 PM,67.714,,,,,
192,05/29/16 04:45:00 PM,67.798,,,,,
193,05/29/16 05:00:00 PM,68.142,,,,,
194,05/29/16 05:15:00 PM,68.484,,,,,
195,05/29/16 05:30:00 PM,68.571,,,,,
196,05/29/16 05:45:00 PM,68.571,,,,,
197,05/29/16 06:00:00 PM,68.527,,,,,
198,05/29/16 06:15:00 PM,68.443,,,,,
199,05/29/16 06:30:00 PM,68.185,,,,,
200,05/29/16 06:45:00 PM,67.757,,,,,
201,05/29/16 07:00:00 PM,67.413,,,,,
202,05/29/16 07:15:00 PM,66.985,,,,,
203,05/29/16 07:30:00 PM,66.515,,,,,
204,05/29/16 07:45:00 PM,65.872,,,,,
205,05/29/16 08:00:00 PM,65.316,,,,,
206,05/29/16 08:15:00 PM,64.888,,,,,
207,05/29/16 08:30:00 PM,64.589,,,,,
208,05/29/16 08:45:00 PM,64.332,,,,,
209,05/29/16 09:00:00 PM,64.074,,,,,
210,05/29/16 09:15:00 PM,63.819,,,,,
211,05/29/16 09:30:00 PM,63.475,,,,,
212,05/29/16 09:45:00 PM,63.048,,,,,
213,05/29/16 10:00:00 PM,62.577,,,,,
214,05/29/16 10:15:00 PM,62.062,,,,,
215,05/29/16 10:30:00 PM,61.590,,,,,
216,05/29/16 10:45:00 PM,61.119,,,,,
217,05/29/16 11:00:00 PM,60.647,,,,,
218,05/29/16 11:15:00 PM,60.132,,,,,
219,05/29/16 11:30:00 PM,59.659,,,,,
220,05/29/16 11:45:00 PM,59.185,,,,,
221,05/30/16 12:00:00 AM,58.712,,,,,
222,05/30/16 12:15:00 AM,58.282,,,,,
223,05/30/16 12:30:00 AM,57.850,,,,,
224,05/30/16 12:45:00 AM,57.463,,,,,
225,05/30/16 01:00:00 AM,57.074,,,,,
226,05/30/16 01:15:00 AM,56.685,,,,,
227,05/30/16 01:30:00 AM,56.340,,,,,
228,05/30/16 01:45:00 AM,56.035,,,,,
229,05/30/16 02:00:00 AM,55.733,,,,,
230,05/30/16 02:15:00 AM,55.472,,,,,
231,05/30/16 02:30:00 AM,55.213,,,,,
232,05/30/16 02:45:00 AM,55.038,,,,,
233,05/30/16 03:00:00 AM,54.820,,,,,
234,05/30/16 03:15:00 AM,54.604,,,,,
235,05/30/16 03:30:00 AM,54.430,,,,,
236,05/30/16 03:45:00 AM,54.255,,,,,
237,05/30/16 04:00:00 AM,54.126,,,,,
238,05/30/16 04:15:00 AM,53.994,,,,,
239,05/30/16 04:30:00 AM,53.865,,,,,
240,05/30/16 04:45:00 AM,53.733,,,,,
241,05/30/16 05:00:00 AM,53.602,,,,,
242,05/30/16 05:15:00 AM,53.472,,,,,
243,05/30/16 05:30:00 AM,53.384,,,,,
244,05/30/16 05:45:00 AM,53.253,,,,,
245,05/30/16 06:00:00 AM,53.166,,,,,
246,05/30/16 06:15:00 AM,53.078,,,,,
247,05/30/16 06:30:00 AM,52.947,,,,,
248,05/30/16 06:45:00 AM,52.903,,,,,
249,05/30/16 07:00:00 AM,52.860,,,,,
250,05/30/16 07:15:00 AM,52.772,,,,,
251,05/30/16 07:30:00 AM,52.729,,,,,
252,05/30/16 07:45:00 AM,52.686,,,,,
253,05/30/16 08:00:00 AM,52.686,,,,,
254,05/30/16 08:15:00 AM,52.641,,,,,
255,05/30/16 08:30:00 AM,52.641,,,,,
256,05/30/16 08:45:00 AM,52.641,,,,,
257,05/30/16 09:00:00 AM,52.686,,,,,
258,05/30/16 09:15:00 AM,52.772,,,,,
259,05/30/16 09:30:00 AM,52.860,,,,,
260,05/30/16 09:45:00 AM,53.035,,,,,
261,05/30/16 10:00:00 AM,53.341,,,,,
262,05/30/16 10:15:00 AM,53.690,,,,,
263,05/30/16 10:30:00 AM,54.082,,,,,
264,05/30/16 10:45:00 AM,54.516,,,,,
265,05/30/16 11:00:00 AM,55.125,,,,,
266,05/30/16 11:15:00 AM,55.819,,,,,
267,05/30/16 11:30:00 AM,56.599,,,,,
268,05/30/16 11:45:00 AM,57.506,,,,,
269,05/30/16 12:00:00 PM,58.541,,,,,
270,05/30/16 12:15:00 PM,59.529,,,,,
271,05/30/16 12:30:00 PM,60.647,,,,,
272,05/30/16 12:45:00 PM,61.720,,,,,
273,05/30/16 01:00:00 PM,62.834,,,,,
274,05/30/16 01:15:00 PM,63.775,,,,,
275,05/30/16 01:30:00 PM,64.247,,,,,
276,05/30/16 01:45:00 PM,65.059,,,,,
277,05/30/16 02:00:00 PM,66.258,,,,,
278,05/30/16 02:15:00 PM,66.429,,,,,
279,05/30/16 02:30:00 PM,66.900,,,,,
280,05/30/16 02:45:00 PM,67.971,,,,,
281,05/30/16 03:00:00 PM,68.785,,,,,
282,05/30/16 03:15:00 PM,68.614,,,,,
283,05/30/16 03:30:00 PM,68.871,,,,,
284,05/30/16 03:45:00 PM,69.343,,,,,
285,05/30/16 04:00:00 PM,69.386,,,,,
286,05/30/16 04:15:00 PM,69.256,,,,,
287,05/30/16 04:30:00 PM,69.343,,,,,
288,05/30/16 04:45:00 PM,69.471,,,,,
289,05/30/16 05:00:00 PM,69.256,,,,,
290,05/30/16 05:15:00 PM,69.042,,,,,
291,05/30/16 05:30:00 PM,68.742,,,,,
292,05/30/16 05:45:00 PM,68.571,,,,,
293,05/30/16 06:00:00 PM,68.313,,,,,
294,05/30/16 06:15:00 PM,68.013,,,,,
295,05/30/16 06:30:00 PM,67.714,,,,,
296,05/30/16 06:45:00 PM,67.372,,,,,
297,05/30/16 07:00:00 PM,67.071,,,,,
298,05/30/16 07:15:00 PM,66.643,,,,,
299,05/30/16 07:30:00 PM,66.258,,,,,
300,05/30/16 07:45:00 PM,66.000,,,,,
301,05/30/16 08:00:00 PM,65.701,,,,,
302,05/30/16 08:15:00 PM,65.273,,,,,
303,05/30/16 08:30:00 PM,64.717,,,,,
304,05/30/16 08:45:00 PM,64.204,,,,,
