"Plot Title: Bordeaux North 12-8-15 (1523)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739553, SEN S/N: 10739553)","Coupler Detached (LGR S/N: 10739553)","Coupler Attached (LGR S/N: 10739553)","Host Connected (LGR S/N: 10739553)","Stopped (LGR S/N: 10739553)","End Of File (LGR S/N: 10739553)"
1,05/27/16 04:15:00 PM,57.506,Logged,,,,
2,05/27/16 04:30:00 PM,57.506,,,,,
3,05/27/16 04:45:00 PM,57.506,,,,,
4,05/27/16 05:00:00 PM,57.463,,,,,
5,05/27/16 05:15:00 PM,57.420,,,,,
6,05/27/16 05:30:00 PM,57.420,,,,,
7,05/27/16 05:45:00 PM,57.420,,,,,
8,05/27/16 06:00:00 PM,57.420,,,,,
9,05/27/16 06:15:00 PM,57.420,,,,,
10,05/27/16 06:30:00 PM,57.420,,,,,
11,05/27/16 06:45:00 PM,57.420,,,,,
12,05/27/16 07:00:00 PM,57.376,,,,,
13,05/27/16 07:15:00 PM,57.376,,,,,
14,05/27/16 07:30:00 PM,57.376,,,,,
15,05/27/16 07:45:00 PM,57.376,,,,,
16,05/27/16 08:00:00 PM,57.376,,,,,
17,05/27/16 08:15:00 PM,57.420,,,,,
18,05/27/16 08:30:00 PM,57.420,,,,,
19,05/27/16 08:45:00 PM,57.376,,,,,
20,05/27/16 09:00:00 PM,57.290,,,,,
21,05/27/16 09:15:00 PM,57.247,,,,,
22,05/27/16 09:30:00 PM,57.160,,,,,
23,05/27/16 09:45:00 PM,57.074,,,,,
24,05/27/16 10:00:00 PM,56.988,,,,,
25,05/27/16 10:15:00 PM,56.901,,,,,
26,05/27/16 10:30:00 PM,56.815,,,,,
27,05/27/16 10:45:00 PM,56.728,,,,,
28,05/27/16 11:00:00 PM,56.599,,,,,
29,05/27/16 11:15:00 PM,56.426,,,,,
30,05/27/16 11:30:00 PM,56.295,,,,,
31,05/27/16 11:45:00 PM,56.122,,,,,
32,05/28/16 12:00:00 AM,55.949,,,,,
33,05/28/16 12:15:00 AM,55.776,,,,,
34,05/28/16 12:30:00 AM,55.602,,,,,
35,05/28/16 12:45:00 AM,55.429,,,,,
36,05/28/16 01:00:00 AM,55.299,,,,,
37,05/28/16 01:15:00 AM,55.125,,,,,
38,05/28/16 01:30:00 AM,54.995,,,,,
39,05/28/16 01:45:00 AM,54.820,,,,,
40,05/28/16 02:00:00 AM,54.648,,,,,
41,05/28/16 02:15:00 AM,54.473,,,,,
42,05/28/16 02:30:00 AM,54.343,,,,,
43,05/28/16 02:45:00 AM,54.169,,,,,
44,05/28/16 03:00:00 AM,54.037,,,,,
45,05/28/16 03:15:00 AM,53.908,,,,,
46,05/28/16 03:30:00 AM,53.733,,,,,
47,05/28/16 03:45:00 AM,53.559,,,,,
48,05/28/16 04:00:00 AM,53.384,,,,,
49,05/28/16 04:15:00 AM,53.253,,,,,
50,05/28/16 04:30:00 AM,53.078,,,,,
51,05/28/16 04:45:00 AM,52.947,,,,,
52,05/28/16 05:00:00 AM,52.772,,,,,
53,05/28/16 05:15:00 AM,52.641,,,,,
54,05/28/16 05:30:00 AM,52.466,,,,,
55,05/28/16 05:45:00 AM,52.291,,,,,
56,05/28/16 06:00:00 AM,52.115,,,,,
57,05/28/16 06:15:00 AM,51.984,,,,,
58,05/28/16 06:30:00 AM,51.852,,,,,
59,05/28/16 06:45:00 AM,51.721,,,,,
60,05/28/16 07:00:00 AM,51.633,,,,,
61,05/28/16 07:15:00 AM,51.544,,,,,
62,05/28/16 07:30:00 AM,51.501,,,,,
63,05/28/16 07:45:00 AM,51.458,,,,,
64,05/28/16 08:00:00 AM,51.413,,,,,
65,05/28/16 08:15:00 AM,51.413,,,,,
66,05/28/16 08:30:00 AM,51.458,,,,,
67,05/28/16 08:45:00 AM,51.544,,,,,
68,05/28/16 09:00:00 AM,51.633,,,,,
69,05/28/16 09:15:00 AM,51.809,,,,,
70,05/28/16 09:30:00 AM,51.984,,,,,
71,05/28/16 09:45:00 AM,52.203,,,,,
72,05/28/16 10:00:00 AM,52.466,,,,,
73,05/28/16 10:15:00 AM,52.817,,,,,
74,05/28/16 10:30:00 AM,53.209,,,,,
75,05/28/16 10:45:00 AM,53.645,,,,,
76,05/28/16 11:00:00 AM,54.082,,,,,
77,05/28/16 11:15:00 AM,54.561,,,,,
78,05/28/16 11:30:00 AM,55.081,,,,,
79,05/28/16 11:45:00 AM,55.647,,,,,
80,05/28/16 12:00:00 PM,56.165,,,,,
81,05/28/16 12:15:00 PM,56.728,,,,,
82,05/28/16 12:30:00 PM,57.290,,,,,
83,05/28/16 12:45:00 PM,57.722,,,,,
84,05/28/16 01:00:00 PM,58.239,,,,,
85,05/28/16 01:15:00 PM,58.669,,,,,
86,05/28/16 01:30:00 PM,58.885,,,,,
87,05/28/16 01:45:00 PM,59.099,,,,,
88,05/28/16 02:00:00 PM,59.358,,,,,
89,05/28/16 02:15:00 PM,59.529,,,,,
90,05/28/16 02:30:00 PM,59.616,,,,,
91,05/28/16 02:45:00 PM,59.788,,,,,
92,05/28/16 03:00:00 PM,60.132,,,,,
93,05/28/16 03:15:00 PM,60.517,,,,,
94,05/28/16 03:30:00 PM,60.861,,,,,
95,05/28/16 03:45:00 PM,61.162,,,,,
96,05/28/16 04:00:00 PM,61.290,,,,,
97,05/28/16 04:15:00 PM,61.290,,,,,
98,05/28/16 04:30:00 PM,61.205,,,,,
99,05/28/16 04:45:00 PM,61.119,,,,,
100,05/28/16 05:00:00 PM,61.119,,,,,
101,05/28/16 05:15:00 PM,61.162,,,,,
102,05/28/16 05:30:00 PM,61.162,,,,,
103,05/28/16 05:45:00 PM,61.162,,,,,
104,05/28/16 06:00:00 PM,61.032,,,,,
105,05/28/16 06:15:00 PM,60.818,,,,,
106,05/28/16 06:30:00 PM,60.690,,,,,
107,05/28/16 06:45:00 PM,60.690,,,,,
108,05/28/16 07:00:00 PM,60.733,,,,,
109,05/28/16 07:15:00 PM,60.733,,,,,
110,05/28/16 07:30:00 PM,60.690,,,,,
111,05/28/16 07:45:00 PM,60.561,,,,,
112,05/28/16 08:00:00 PM,60.433,,,,,
113,05/28/16 08:15:00 PM,60.303,,,,,
114,05/28/16 08:30:00 PM,60.217,,,,,
115,05/28/16 08:45:00 PM,60.132,,,,,
116,05/28/16 09:00:00 PM,60.003,,,,,
117,05/28/16 09:15:00 PM,59.873,,,,,
118,05/28/16 09:30:00 PM,59.745,,,,,
119,05/28/16 09:45:00 PM,59.572,,,,,
120,05/28/16 10:00:00 PM,59.358,,,,,
121,05/28/16 10:15:00 PM,59.185,,,,,
122,05/28/16 10:30:00 PM,59.014,,,,,
123,05/28/16 10:45:00 PM,58.842,,,,,
124,05/28/16 11:00:00 PM,58.669,,,,,
