"Plot Title: Cedar #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719029, SEN S/N: 10719029)","Coupler Detached (LGR S/N: 10719029)","Coupler Attached (LGR S/N: 10719029)","Host Connected (LGR S/N: 10719029)","Stopped (LGR S/N: 10719029)","End Of File (LGR S/N: 10719029)"
1,06/14/16 01:00:00 PM,74.727,Logged,,,,
2,06/14/16 01:15:00 PM,75.117,,,,,
3,06/14/16 01:30:00 PM,75.594,,,,,
4,06/14/16 01:45:00 PM,76.289,,,,,
5,06/14/16 02:00:00 PM,76.986,,,,,
6,06/14/16 02:15:00 PM,77.509,,,,,
7,06/14/16 02:30:00 PM,77.902,,,,,
8,06/14/16 02:45:00 PM,78.251,,,,,
9,06/14/16 03:00:00 PM,78.076,,,,,
10,06/14/16 03:15:00 PM,77.727,,,,,
11,06/14/16 03:30:00 PM,78.296,,,,,
12,06/14/16 03:45:00 PM,78.733,,,,,
13,06/14/16 04:00:00 PM,79.084,,,,,
14,06/14/16 04:15:00 PM,78.602,,,,,
15,06/14/16 04:30:00 PM,78.033,,,,,
16,06/14/16 04:45:00 PM,77.596,,,,,
17,06/14/16 05:00:00 PM,77.335,,,,,
18,06/14/16 05:15:00 PM,76.811,,,,,
19,06/14/16 05:30:00 PM,76.725,,,,,
20,06/14/16 05:45:00 PM,76.986,,,,,
21,06/14/16 06:00:00 PM,76.811,,,,,
22,06/14/16 06:15:00 PM,76.464,,,,,
23,06/14/16 06:30:00 PM,76.203,,,,,
24,06/14/16 06:45:00 PM,76.158,,,,,
25,06/14/16 07:00:00 PM,76.158,,,,,
26,06/14/16 07:15:00 PM,75.985,,,,,
27,06/14/16 07:30:00 PM,75.767,,,,,
28,06/14/16 07:45:00 PM,75.508,,,,,
29,06/14/16 08:00:00 PM,75.247,,,,,
30,06/14/16 08:15:00 PM,74.943,,,,,
31,06/14/16 08:30:00 PM,74.640,,,,,
32,06/14/16 08:45:00 PM,74.381,,,,,
33,06/14/16 09:00:00 PM,74.120,,,,,
34,06/14/16 09:15:00 PM,73.861,,,,,
35,06/14/16 09:30:00 PM,73.558,,,,,
36,06/14/16 09:45:00 PM,73.299,,,,,
37,06/14/16 10:00:00 PM,73.040,,,,,
38,06/14/16 10:15:00 PM,72.783,,,,,
39,06/14/16 10:30:00 PM,72.480,,,,,
40,06/14/16 10:45:00 PM,72.136,,,,,
41,06/14/16 11:00:00 PM,71.834,,,,,
42,06/14/16 11:15:00 PM,71.533,,,,,
43,06/14/16 11:30:00 PM,71.231,,,,,
44,06/14/16 11:45:00 PM,70.930,,,,,
45,06/15/16 12:00:00 AM,70.630,,,,,
46,06/15/16 12:15:00 AM,70.372,,,,,
47,06/15/16 12:30:00 AM,70.115,,,,,
48,06/15/16 12:45:00 AM,69.901,,,,,
49,06/15/16 01:00:00 AM,69.643,,,,,
50,06/15/16 01:15:00 AM,69.427,,,,,
51,06/15/16 01:30:00 AM,69.213,,,,,
52,06/15/16 01:45:00 AM,68.956,,,,,
