Site,Date,Temp
Above Discharge,1/1/2016,37.035
Above Discharge,1/1/2016,36.986
Above Discharge,1/1/2016,36.939
Above Discharge,1/1/2016,36.891
Above Discharge,1/1/2016,36.842
Above Discharge,1/1/2016,36.747
Above Discharge,1/1/2016,36.747
Above Discharge,1/1/2016,36.698
Above Discharge,1/1/2016,36.651
Above Discharge,1/1/2016,36.603
Above Discharge,1/1/2016,36.554
Above Discharge,1/1/2016,36.505
Above Discharge,1/1/2016,36.41
Above Discharge,1/1/2016,36.266
Above Discharge,1/1/2016,36.072
Above Discharge,1/1/2016,35.976
Above Discharge,1/1/2016,35.879
Above Discharge,1/1/2016,35.733
Above Discharge,1/1/2016,35.589
Above Discharge,1/1/2016,35.492
Above Discharge,1/1/2016,35.395
Above Discharge,1/1/2016,35.298
Above Discharge,1/1/2016,35.249
Above Discharge,1/1/2016,35.298
Above Discharge,1/1/2016,35.298
Above Discharge,1/1/2016,35.249
Above Discharge,1/1/2016,35.2
Above Discharge,1/1/2016,35.103
Above Discharge,1/1/2016,35.055
Above Discharge,1/1/2016,35.103
Above Discharge,1/1/2016,35.2
Above Discharge,1/1/2016,35.298
Above Discharge,1/1/2016,35.346
Above Discharge,1/1/2016,35.395
Above Discharge,1/1/2016,35.443
Above Discharge,1/1/2016,35.492
Above Discharge,1/1/2016,35.492
Above Discharge,1/1/2016,35.589
Above Discharge,1/1/2016,35.638
Above Discharge,1/1/2016,35.685
Above Discharge,1/1/2016,35.733
Above Discharge,1/1/2016,35.83
Above Discharge,1/1/2016,36.025
Above Discharge,1/1/2016,36.266
Above Discharge,1/1/2016,36.361
Above Discharge,1/1/2016,36.41
Above Discharge,1/1/2016,36.698
Above Discharge,1/1/2016,36.939
Above Discharge,1/1/2016,37.225
Above Discharge,1/1/2016,37.416
Above Discharge,1/1/2016,37.609
Above Discharge,1/1/2016,37.798
Above Discharge,1/1/2016,37.989
Above Discharge,1/1/2016,38.179
Above Discharge,1/1/2016,38.415
Above Discharge,1/1/2016,38.557
Above Discharge,1/1/2016,38.748
Above Discharge,1/1/2016,38.842
Above Discharge,1/1/2016,38.937
Above Discharge,1/1/2016,39.031
Above Discharge,1/1/2016,39.078
Above Discharge,1/1/2016,39.173
Above Discharge,1/1/2016,39.267
Above Discharge,1/1/2016,39.36
Above Discharge,1/1/2016,39.407
Above Discharge,1/1/2016,39.502
Above Discharge,1/1/2016,39.502
Above Discharge,1/1/2016,39.596
Above Discharge,1/1/2016,39.643
Above Discharge,1/1/2016,39.736
Above Discharge,1/1/2016,39.783
Above Discharge,1/1/2016,39.83
Above Discharge,1/1/2016,39.83
Above Discharge,1/1/2016,39.783
Above Discharge,1/1/2016,39.783
Above Discharge,1/1/2016,39.783
Above Discharge,1/1/2016,39.783
Above Discharge,1/1/2016,39.783
Above Discharge,1/1/2016,39.736
Above Discharge,1/1/2016,39.736
Above Discharge,1/1/2016,39.736
Above Discharge,1/1/2016,39.736
Above Discharge,1/1/2016,39.69
Above Discharge,1/1/2016,39.643
Above Discharge,1/1/2016,39.643
Above Discharge,1/1/2016,39.596
Above Discharge,1/1/2016,39.549
Above Discharge,1/1/2016,39.502
Above Discharge,1/1/2016,39.454
Above Discharge,1/1/2016,39.407
Above Discharge,1/1/2016,39.313
Above Discharge,1/1/2016,39.267
Above Discharge,1/1/2016,39.22
Above Discharge,1/1/2016,39.124
Above Discharge,1/1/2016,39.078
Above Discharge,1/1/2016,39.031
Above Discharge,1/2/2016,38.937
Above Discharge,1/2/2016,38.842
Above Discharge,1/2/2016,38.795
Above Discharge,1/2/2016,38.795
Above Discharge,1/2/2016,38.748
Above Discharge,1/2/2016,38.7
Above Discharge,1/2/2016,38.653
Above Discharge,1/2/2016,38.606
Above Discharge,1/2/2016,38.557
Above Discharge,1/2/2016,38.511
Above Discharge,1/2/2016,38.464
Above Discharge,1/2/2016,38.415
Above Discharge,1/2/2016,38.415
Above Discharge,1/2/2016,38.415
Above Discharge,1/2/2016,38.415
Above Discharge,1/2/2016,38.368
Above Discharge,1/2/2016,38.368
Above Discharge,1/2/2016,38.368
Above Discharge,1/2/2016,38.368
Above Discharge,1/2/2016,38.368
Above Discharge,1/2/2016,38.322
Above Discharge,1/2/2016,38.322
Above Discharge,1/2/2016,38.322
Above Discharge,1/2/2016,38.322
Above Discharge,1/2/2016,38.273
Above Discharge,1/2/2016,38.273
Above Discharge,1/2/2016,38.226
Above Discharge,1/2/2016,38.226
Above Discharge,1/2/2016,38.179
Above Discharge,1/2/2016,38.179
Above Discharge,1/2/2016,38.131
Above Discharge,1/2/2016,38.131
Above Discharge,1/2/2016,38.084
Above Discharge,1/2/2016,38.084
Above Discharge,1/2/2016,38.037
Above Discharge,1/2/2016,38.037
Above Discharge,1/2/2016,38.037
Above Discharge,1/2/2016,38.084
Above Discharge,1/2/2016,38.084
Above Discharge,1/2/2016,38.131
Above Discharge,1/2/2016,38.131
Above Discharge,1/2/2016,38.226
Above Discharge,1/2/2016,38.368
Above Discharge,1/2/2016,38.557
Above Discharge,1/2/2016,38.653
Above Discharge,1/2/2016,38.842
Above Discharge,1/2/2016,39.031
Above Discharge,1/2/2016,39.078
Above Discharge,1/2/2016,39.22
Above Discharge,1/2/2016,39.313
Above Discharge,1/2/2016,39.407
Above Discharge,1/2/2016,39.596
Above Discharge,1/2/2016,39.783
Above Discharge,1/2/2016,39.924
Above Discharge,1/2/2016,39.924
Above Discharge,1/2/2016,40.064
Above Discharge,1/2/2016,40.251
Above Discharge,1/2/2016,40.298
Above Discharge,1/2/2016,40.345
Above Discharge,1/2/2016,40.392
Above Discharge,1/2/2016,40.438
Above Discharge,1/2/2016,40.485
Above Discharge,1/2/2016,40.532
Above Discharge,1/2/2016,40.626
Above Discharge,1/2/2016,40.672
Above Discharge,1/2/2016,40.719
Above Discharge,1/2/2016,40.719
Above Discharge,1/2/2016,40.764
Above Discharge,1/2/2016,40.811
Above Discharge,1/2/2016,40.811
Above Discharge,1/2/2016,40.811
Above Discharge,1/2/2016,40.811
Above Discharge,1/2/2016,40.811
Above Discharge,1/2/2016,40.764
Above Discharge,1/2/2016,40.672
Above Discharge,1/2/2016,40.579
Above Discharge,1/2/2016,40.485
Above Discharge,1/2/2016,40.392
Above Discharge,1/2/2016,40.298
Above Discharge,1/2/2016,40.251
Above Discharge,1/2/2016,40.158
Above Discharge,1/2/2016,40.017
Above Discharge,1/2/2016,39.924
Above Discharge,1/2/2016,39.783
Above Discharge,1/2/2016,39.69
Above Discharge,1/2/2016,39.549
Above Discharge,1/2/2016,39.502
Above Discharge,1/2/2016,39.36
Above Discharge,1/2/2016,39.22
Above Discharge,1/2/2016,39.124
Above Discharge,1/2/2016,38.984
Above Discharge,1/2/2016,38.842
Above Discharge,1/2/2016,38.7
Above Discharge,1/2/2016,38.557
Above Discharge,1/2/2016,38.464
Above Discharge,1/2/2016,38.322
Above Discharge,1/3/2016,38.226
Above Discharge,1/3/2016,38.084
Above Discharge,1/3/2016,37.989
Above Discharge,1/3/2016,37.893
Above Discharge,1/3/2016,37.798
Above Discharge,1/3/2016,37.702
Above Discharge,1/3/2016,37.609
Above Discharge,1/3/2016,37.465
Above Discharge,1/3/2016,37.416
Above Discharge,1/3/2016,37.274
Above Discharge,1/3/2016,37.225
Above Discharge,1/3/2016,37.13
Above Discharge,1/3/2016,37.035
Above Discharge,1/3/2016,36.939
Above Discharge,1/3/2016,36.842
Above Discharge,1/3/2016,36.747
Above Discharge,1/3/2016,36.651
Above Discharge,1/3/2016,36.554
Above Discharge,1/3/2016,36.459
Above Discharge,1/3/2016,36.361
Above Discharge,1/3/2016,36.266
Above Discharge,1/3/2016,36.169
Above Discharge,1/3/2016,36.12
Above Discharge,1/3/2016,36.072
Above Discharge,1/3/2016,36.025
Above Discharge,1/3/2016,35.976
Above Discharge,1/3/2016,35.976
Above Discharge,1/3/2016,35.976
Above Discharge,1/3/2016,35.976
Above Discharge,1/3/2016,35.976
Above Discharge,1/3/2016,35.928
Above Discharge,1/3/2016,35.879
Above Discharge,1/3/2016,35.83
Above Discharge,1/3/2016,35.733
Above Discharge,1/3/2016,35.685
Above Discharge,1/3/2016,35.685
Above Discharge,1/3/2016,35.685
Above Discharge,1/3/2016,35.638
Above Discharge,1/3/2016,35.589
Above Discharge,1/3/2016,35.685
Above Discharge,1/3/2016,35.733
Above Discharge,1/3/2016,35.782
Above Discharge,1/3/2016,35.976
Above Discharge,1/3/2016,36.169
Above Discharge,1/3/2016,36.361
Above Discharge,1/3/2016,36.603
Above Discharge,1/3/2016,36.842
Above Discharge,1/3/2016,36.986
Above Discharge,1/3/2016,37.225
Above Discharge,1/3/2016,37.465
Above Discharge,1/3/2016,37.751
Above Discharge,1/3/2016,37.989
Above Discharge,1/3/2016,38.273
Above Discharge,1/3/2016,38.606
Above Discharge,1/3/2016,38.937
Above Discharge,1/3/2016,39.173
Above Discharge,1/3/2016,39.36
Above Discharge,1/3/2016,39.454
Above Discharge,1/3/2016,39.549
Above Discharge,1/3/2016,39.69
Above Discharge,1/3/2016,39.783
Above Discharge,1/3/2016,39.877
Above Discharge,1/3/2016,39.97
Above Discharge,1/3/2016,40.064
Above Discharge,1/3/2016,40.158
Above Discharge,1/3/2016,40.204
Above Discharge,1/3/2016,40.251
Above Discharge,1/3/2016,40.345
Above Discharge,1/3/2016,40.392
Above Discharge,1/3/2016,40.392
Above Discharge,1/3/2016,40.438
