"Plot Title: Chadron Creek Below Discharge"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719006, SEN S/N: 10719006)","Coupler Detached (LGR S/N: 10719006)","Coupler Attached (LGR S/N: 10719006)","Host Connected (LGR S/N: 10719006)","Stopped (LGR S/N: 10719006)","End Of File (LGR S/N: 10719006)"
1,05/27/16 01:45:00 PM,55.515,Logged,,,,
2,05/27/16 02:00:00 PM,55.558,,,,,
3,05/27/16 02:15:00 PM,55.602,,,,,
4,05/27/16 02:30:00 PM,55.733,,,,,
5,05/27/16 02:45:00 PM,55.819,,,,,
6,05/27/16 03:00:00 PM,55.949,,,,,
7,05/27/16 03:15:00 PM,56.079,,,,,
8,05/27/16 03:30:00 PM,56.122,,,,,
9,05/27/16 03:45:00 PM,56.165,,,,,
10,05/27/16 04:00:00 PM,55.949,,,,,
11,05/27/16 04:15:00 PM,55.863,,,,,
12,05/27/16 04:30:00 PM,55.906,,,,,
13,05/27/16 04:45:00 PM,55.906,,,,,
14,05/27/16 05:00:00 PM,55.949,,,,,
15,05/27/16 05:15:00 PM,55.992,,,,,
16,05/27/16 05:30:00 PM,56.035,,,,,
17,05/27/16 05:45:00 PM,56.035,,,,,
18,05/27/16 06:00:00 PM,56.035,,,,,
19,05/27/16 06:15:00 PM,55.949,,,,,
20,05/27/16 06:30:00 PM,55.992,,,,,
21,05/27/16 06:45:00 PM,55.992,,,,,
22,05/27/16 07:00:00 PM,55.992,,,,,
23,05/27/16 07:15:00 PM,56.035,,,,,
24,05/27/16 07:30:00 PM,55.992,,,,,
25,05/27/16 07:45:00 PM,55.949,,,,,
26,05/27/16 08:00:00 PM,55.863,,,,,
27,05/27/16 08:15:00 PM,55.776,,,,,
28,05/27/16 08:30:00 PM,55.647,,,,,
29,05/27/16 08:45:00 PM,55.472,,,,,
30,05/27/16 09:00:00 PM,55.299,,,,,
31,05/27/16 09:15:00 PM,55.168,,,,,
32,05/27/16 09:30:00 PM,54.995,,,,,
33,05/27/16 09:45:00 PM,54.865,,,,,
34,05/27/16 10:00:00 PM,54.648,,,,,
35,05/27/16 10:15:00 PM,54.516,,,,,
36,05/27/16 10:30:00 PM,54.343,,,,,
37,05/27/16 10:45:00 PM,54.212,,,,,
38,05/27/16 11:00:00 PM,54.037,,,,,
39,05/27/16 11:15:00 PM,53.865,,,,,
40,05/27/16 11:30:00 PM,53.776,,,,,
41,05/27/16 11:45:00 PM,53.690,,,,,
42,05/28/16 12:00:00 AM,53.559,,,,,
43,05/28/16 12:15:00 AM,53.472,,,,,
44,05/28/16 12:30:00 AM,53.341,,,,,
45,05/28/16 12:45:00 AM,53.253,,,,,
46,05/28/16 01:00:00 AM,53.209,,,,,
47,05/28/16 01:15:00 AM,53.121,,,,,
48,05/28/16 01:30:00 AM,53.078,,,,,
49,05/28/16 01:45:00 AM,52.992,,,,,
