"Plot Title: Chadron Creek Park Exit"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739550, SEN S/N: 10739550)","Coupler Detached (LGR S/N: 10739550)","Coupler Attached (LGR S/N: 10739550)","Host Connected (LGR S/N: 10739550)","Stopped (LGR S/N: 10739550)","End Of File (LGR S/N: 10739550)"
1,12/08/15 02:00:00 PM,47.826,Logged,,,,
2,12/08/15 02:15:00 PM,47.914,,,,,
3,12/08/15 02:30:00 PM,47.871,,,,,
4,12/08/15 02:45:00 PM,47.826,,,,,
5,12/08/15 03:00:00 PM,47.736,,,,,
6,12/08/15 03:15:00 PM,47.602,,,,,
7,12/08/15 03:30:00 PM,47.467,,,,,
8,12/08/15 03:45:00 PM,47.377,,,,,
9,12/08/15 04:00:00 PM,47.244,,,,,
10,12/08/15 04:15:00 PM,47.109,,,,,
11,12/08/15 04:30:00 PM,47.019,,,,,
12,12/08/15 04:45:00 PM,46.841,,,,,
13,12/08/15 05:00:00 PM,46.706,,,,,
14,12/08/15 05:15:00 PM,46.526,,,,,
15,12/08/15 05:30:00 PM,46.346,,,,,
16,12/08/15 05:45:00 PM,46.211,,,,,
17,12/08/15 06:00:00 PM,46.031,,,,,
18,12/08/15 06:15:00 PM,45.896,,,,,
19,12/08/15 06:30:00 PM,45.761,,,,,
20,12/08/15 06:45:00 PM,45.624,,,,,
21,12/08/15 07:00:00 PM,45.489,,,,,
22,12/08/15 07:15:00 PM,45.354,,,,,
23,12/08/15 07:30:00 PM,45.217,,,,,
24,12/08/15 07:45:00 PM,45.036,,,,,
25,12/08/15 08:00:00 PM,44.946,,,,,
26,12/08/15 08:15:00 PM,44.809,,,,,
27,12/08/15 08:30:00 PM,44.674,,,,,
28,12/08/15 08:45:00 PM,44.582,,,,,
29,12/08/15 09:00:00 PM,44.445,,,,,
30,12/08/15 09:15:00 PM,44.310,,,,,
31,12/08/15 09:30:00 PM,44.218,,,,,
32,12/08/15 09:45:00 PM,44.082,,,,,
33,12/08/15 10:00:00 PM,43.990,,,,,
34,12/08/15 10:15:00 PM,43.900,,,,,
35,12/08/15 10:30:00 PM,43.763,,,,,
36,12/08/15 10:45:00 PM,43.716,,,,,
37,12/08/15 11:00:00 PM,43.624,,,,,
38,12/08/15 11:15:00 PM,43.579,,,,,
39,12/08/15 11:30:00 PM,43.488,,,,,
40,12/08/15 11:45:00 PM,43.396,,,,,
41,12/09/15 12:00:00 AM,43.306,,,,,
42,12/09/15 12:15:00 AM,43.214,,,,,
43,12/09/15 12:30:00 AM,43.122,,,,,
44,12/09/15 12:45:00 AM,43.075,,,,,
45,12/09/15 01:00:00 AM,42.984,,,,,
46,12/09/15 01:15:00 AM,42.939,,,,,
47,12/09/15 01:30:00 AM,42.847,,,,,
48,12/09/15 01:45:00 AM,42.800,,,,,
49,12/09/15 02:00:00 AM,42.708,,,,,
50,12/09/15 02:15:00 AM,42.663,,,,,
51,12/09/15 02:30:00 AM,42.616,,,,,
52,12/09/15 02:45:00 AM,42.570,,,,,
53,12/09/15 03:00:00 AM,42.525,,,,,
54,12/09/15 03:15:00 AM,42.478,,,,,
55,12/09/15 03:30:00 AM,42.478,,,,,
56,12/09/15 03:45:00 AM,42.525,,,,,
