"Plot Title: Deadmans Creek"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10739552, SEN S/N: 10739552)","Coupler Detached (LGR S/N: 10739552)","Coupler Attached (LGR S/N: 10739552)","Host Connected (LGR S/N: 10739552)","Stopped (LGR S/N: 10739552)","End Of File (LGR S/N: 10739552)"
1,05/27/16 10:00:00 AM,12.147,Logged,,,,
2,05/27/16 10:15:00 AM,12.243,,,,,
3,05/27/16 10:30:00 AM,12.340,,,,,
4,05/27/16 10:45:00 AM,12.437,,,,,
5,05/27/16 11:00:00 AM,12.558,,,,,
6,05/27/16 11:15:00 AM,12.703,,,,,
7,05/27/16 11:30:00 AM,12.896,,,,,
8,05/27/16 11:45:00 AM,13.064,,,,,
9,05/27/16 12:00:00 PM,13.257,,,,,
10,05/27/16 12:15:00 PM,13.425,,,,,
11,05/27/16 12:30:00 PM,13.666,,,,,
12,05/27/16 12:45:00 PM,13.882,,,,,
13,05/27/16 01:00:00 PM,13.978,,,,,
14,05/27/16 01:15:00 PM,14.002,,,,,
15,05/27/16 01:30:00 PM,14.026,,,,,
16,05/27/16 01:45:00 PM,14.122,,,,,
17,05/27/16 02:00:00 PM,14.242,,,,,
18,05/27/16 02:15:00 PM,14.242,,,,,
19,05/27/16 02:30:00 PM,14.194,,,,,
20,05/27/16 02:45:00 PM,14.170,,,,,
21,05/27/16 03:00:00 PM,14.194,,,,,
22,05/27/16 03:15:00 PM,14.314,,,,,
23,05/27/16 03:30:00 PM,14.457,,,,,
24,05/27/16 03:45:00 PM,14.433,,,,,
25,05/27/16 04:00:00 PM,14.505,,,,,
26,05/27/16 04:15:00 PM,14.553,,,,,
27,05/27/16 04:30:00 PM,14.745,,,,,
28,05/27/16 04:45:00 PM,14.888,,,,,
29,05/27/16 05:00:00 PM,14.960,,,,,
30,05/27/16 05:15:00 PM,15.008,,,,,
31,05/27/16 05:30:00 PM,15.103,,,,,
32,05/27/16 05:45:00 PM,15.127,,,,,
33,05/27/16 06:00:00 PM,15.127,,,,,
34,05/27/16 06:15:00 PM,15.103,,,,,
35,05/27/16 06:30:00 PM,15.103,,,,,
36,05/27/16 06:45:00 PM,15.055,,,,,
37,05/27/16 07:00:00 PM,15.008,,,,,
38,05/27/16 07:15:00 PM,15.008,,,,,
39,05/27/16 07:30:00 PM,14.960,,,,,
40,05/27/16 07:45:00 PM,14.936,,,,,
41,05/27/16 08:00:00 PM,14.888,,,,,
42,05/27/16 08:15:00 PM,14.840,,,,,
43,05/27/16 08:30:00 PM,14.792,,,,,
44,05/27/16 08:45:00 PM,14.768,,,,,
45,05/27/16 09:00:00 PM,14.721,,,,,
46,05/27/16 09:15:00 PM,14.673,,,,,
47,05/27/16 09:30:00 PM,14.601,,,,,
48,05/27/16 09:45:00 PM,14.529,,,,,
49,05/27/16 10:00:00 PM,14.457,,,,,
50,05/27/16 10:15:00 PM,14.361,,,,,
51,05/27/16 10:30:00 PM,14.266,,,,,
52,05/27/16 10:45:00 PM,14.146,,,,,
53,05/27/16 11:00:00 PM,14.026,,,,,
54,05/27/16 11:15:00 PM,13.906,,,,,
55,05/27/16 11:30:00 PM,13.810,,,,,
56,05/27/16 11:45:00 PM,13.666,,,,,
57,05/28/16 12:00:00 AM,13.546,,,,,
58,05/28/16 12:15:00 AM,13.425,,,,,
59,05/28/16 12:30:00 AM,13.329,,,,,
60,05/28/16 12:45:00 AM,13.185,,,,,
61,05/28/16 01:00:00 AM,13.064,,,,,
62,05/28/16 01:15:00 AM,12.944,,,,,
63,05/28/16 01:30:00 AM,12.847,,,,,
64,05/28/16 01:45:00 AM,12.751,,,,,
65,05/28/16 02:00:00 AM,12.630,,,,,
66,05/28/16 02:15:00 AM,12.509,,,,,
67,05/28/16 02:30:00 AM,12.413,,,,,
68,05/28/16 02:45:00 AM,12.316,,,,,
69,05/28/16 03:00:00 AM,12.195,,,,,
70,05/28/16 03:15:00 AM,12.098,,,,,
71,05/28/16 03:30:00 AM,12.001,,,,,
72,05/28/16 03:45:00 AM,11.880,,,,,
73,05/28/16 04:00:00 AM,11.783,,,,,
74,05/28/16 04:15:00 AM,11.686,,,,,
75,05/28/16 04:30:00 AM,11.589,,,,,
76,05/28/16 04:45:00 AM,11.492,,,,,
77,05/28/16 05:00:00 AM,11.394,,,,,
78,05/28/16 05:15:00 AM,11.297,,,,,
79,05/28/16 05:30:00 AM,11.200,,,,,
80,05/28/16 05:45:00 AM,11.102,,,,,
81,05/28/16 06:00:00 AM,11.029,,,,,
82,05/28/16 06:15:00 AM,10.932,,,,,
83,05/28/16 06:30:00 AM,10.858,,,,,
84,05/28/16 06:45:00 AM,10.761,,,,,
85,05/28/16 07:00:00 AM,10.687,,,,,
86,05/28/16 07:15:00 AM,10.614,,,,,
87,05/28/16 07:30:00 AM,10.541,,,,,
88,05/28/16 07:45:00 AM,10.492,,,,,
89,05/28/16 08:00:00 AM,10.467,,,,,
90,05/28/16 08:15:00 AM,10.443,,,,,
91,05/28/16 08:30:00 AM,10.418,,,,,
92,05/28/16 08:45:00 AM,10.443,,,,,
93,05/28/16 09:00:00 AM,10.492,,,,,
94,05/28/16 09:15:00 AM,10.565,,,,,
95,05/28/16 09:30:00 AM,10.638,,,,,
96,05/28/16 09:45:00 AM,10.761,,,,,
97,05/28/16 10:00:00 AM,10.907,,,,,
98,05/28/16 10:15:00 AM,11.053,,,,,
99,05/28/16 10:30:00 AM,11.224,,,,,
100,05/28/16 10:45:00 AM,11.419,,,,,
101,05/28/16 11:00:00 AM,11.637,,,,,
102,05/28/16 11:15:00 AM,11.880,,,,,
103,05/28/16 11:30:00 AM,12.171,,,,,
104,05/28/16 11:45:00 AM,12.485,,,,,
105,05/28/16 12:00:00 PM,12.847,,,,,
106,05/28/16 12:15:00 PM,13.161,,,,,
107,05/28/16 12:30:00 PM,13.425,,,,,
108,05/28/16 12:45:00 PM,13.642,,,,,
109,05/28/16 01:00:00 PM,14.002,,,,,
110,05/28/16 01:15:00 PM,14.242,,,,,
111,05/28/16 01:30:00 PM,14.457,,,,,
112,05/28/16 01:45:00 PM,14.529,,,,,
113,05/28/16 02:00:00 PM,14.290,,,,,
114,05/28/16 02:15:00 PM,13.882,,,,,
115,05/28/16 02:30:00 PM,13.810,,,,,
116,05/28/16 02:45:00 PM,13.786,,,,,
117,05/28/16 03:00:00 PM,13.810,,,,,
118,05/28/16 03:15:00 PM,14.050,,,,,
