"Plot Title: Spotted Tail Creek 12-7-15 (1500)"
"#","Date Time, GMT-06:00","Max: Temperature, °F (LGR S/N: 10719011)","Coupler Detached (LGR S/N: 10719011)","Coupler Attached (LGR S/N: 10719011)","Host Connected (LGR S/N: 10719011)","Stopped (LGR S/N: 10719011)","End Of File (LGR S/N: 10719011)"
1,05/20/16 09:00:00 AM,64.117,,,,,
2,05/20/16 09:01:04 AM,,Logged,,,,
3,05/20/16 10:00:00 AM,58.109,,,,,
4,05/20/16 11:00:00 AM,59.572,,,,,
5,05/20/16 12:00:00 PM,60.991,,,,,
6,05/20/16 01:00:00 PM,62.276,,,,,
7,05/20/16 02:00:00 PM,63.347,,,,,
8,05/20/16 03:00:00 PM,63.604,,,,,
9,05/20/16 04:00:00 PM,63.648,,,,,
10,05/20/16 05:00:00 PM,63.648,,,,,
11,05/20/16 06:00:00 PM,63.518,,,,,
12,05/20/16 07:00:00 PM,63.090,,,,,
13,05/20/16 08:00:00 PM,62.748,,,,,
14,05/20/16 09:00:00 PM,62.362,,,,,
15,05/20/16 10:00:00 PM,61.720,,,,,
16,05/20/16 11:00:00 PM,61.119,,,,,
17,05/21/16 12:00:00 AM,60.561,,,,,
18,05/21/16 01:00:00 AM,60.003,,,,,
19,05/21/16 02:00:00 AM,59.572,,,,,
20,05/21/16 03:00:00 AM,59.099,,,,,
21,05/21/16 04:00:00 AM,58.669,,,,,
22,05/21/16 05:00:00 AM,58.411,,,,,
23,05/21/16 06:00:00 AM,58.152,,,,,
24,05/21/16 07:00:00 AM,57.979,,,,,
25,05/21/16 08:00:00 AM,58.023,,,,,
26,05/21/16 09:00:00 AM,58.282,,,,,
27,05/21/16 10:00:00 AM,58.971,,,,,
28,05/21/16 11:00:00 AM,60.217,,,,,
29,05/21/16 12:00:00 PM,61.804,,,,,
30,05/21/16 01:00:00 PM,63.347,,,,,
31,05/21/16 02:00:00 PM,64.546,,,,,
32,05/21/16 03:00:00 PM,65.230,,,,,
33,05/21/16 04:00:00 PM,65.444,,,,,
34,05/21/16 05:00:00 PM,65.316,,,,,
35,05/21/16 06:00:00 PM,65.145,,,,,
36,05/21/16 07:00:00 PM,64.546,,,,,
37,05/21/16 08:00:00 PM,63.862,,,,,
38,05/21/16 09:00:00 PM,63.219,,,,,
39,05/21/16 10:00:00 PM,62.577,,,,,
40,05/21/16 11:00:00 PM,62.019,,,,,
41,05/22/16 12:00:00 AM,61.677,,,,,
42,05/22/16 01:00:00 AM,61.248,,,,,
43,05/22/16 02:00:00 AM,60.948,,,,,
44,05/22/16 03:00:00 AM,60.604,,,,,
45,05/22/16 04:00:00 AM,60.046,,,,,
46,05/22/16 05:00:00 AM,59.401,,,,,
47,05/22/16 06:00:00 AM,58.712,,,,,
48,05/22/16 07:00:00 AM,58.109,,,,,
49,05/22/16 08:00:00 AM,58.152,,,,,
50,05/22/16 09:00:00 AM,58.885,,,,,
51,05/22/16 10:00:00 AM,59.959,,,,,
52,05/22/16 11:00:00 AM,61.376,,,,,
53,05/22/16 12:00:00 PM,62.791,,,,,
54,05/22/16 01:00:00 PM,64.117,,,,,
55,05/22/16 02:00:00 PM,65.230,,,,,
56,05/22/16 03:00:00 PM,66.173,,,,,
57,05/22/16 04:00:00 PM,66.558,,,,,
58,05/22/16 05:00:00 PM,66.558,,,,,
59,05/22/16 06:00:00 PM,65.872,,,,,
60,05/22/16 07:00:00 PM,64.717,,,,,
61,05/22/16 08:00:00 PM,63.775,,,,,
62,05/22/16 09:00:00 PM,62.791,,,,,
63,05/22/16 10:00:00 PM,62.148,,,,,
64,05/22/16 11:00:00 PM,61.547,,,,,
65,05/23/16 12:00:00 AM,60.775,,,,,
66,05/23/16 01:00:00 AM,60.089,,,,,
67,05/23/16 02:00:00 AM,59.529,,,,,
68,05/23/16 03:00:00 AM,58.928,,,,,
69,05/23/16 04:00:00 AM,58.195,,,,,
70,05/23/16 05:00:00 AM,57.420,,,,,
71,05/23/16 06:00:00 AM,56.685,,,,,
72,05/23/16 07:00:00 AM,56.122,,,,,
73,05/23/16 08:00:00 AM,56.165,,,,,
74,05/23/16 09:00:00 AM,56.901,,,,,
75,05/23/16 10:00:00 AM,57.850,,,,,
76,05/23/16 11:00:00 AM,59.056,,,,,
77,05/23/16 12:00:00 PM,60.217,,,,,
78,05/23/16 01:00:00 PM,61.205,,,,,
79,05/23/16 02:00:00 PM,61.547,,,,,
80,05/23/16 03:00:00 PM,61.290,,,,,
81,05/23/16 04:00:00 PM,61.119,,,,,
