"Plot Title: Spotted Tail Creek 12-7-15 (1500)"
"#","Date Time, GMT-06:00","Max: Temperature, °C (LGR S/N: 10719011)","Coupler Detached (LGR S/N: 10719011)","Coupler Attached (LGR S/N: 10719011)","Stopped (LGR S/N: 10719011)","End Of File (LGR S/N: 10719011)"
1,12/07/15 03:00:00 PM,11.248,,,,
2,12/07/15 03:01:16 PM,,Logged,,,
3,12/07/15 04:00:00 PM,11.589,,,,
4,12/07/15 05:00:00 PM,11.248,,,,
5,12/07/15 06:00:00 PM,11.078,,,,
6,12/07/15 07:00:00 PM,10.858,,,,
7,12/07/15 08:00:00 PM,10.932,,,,
8,12/07/15 09:00:00 PM,10.810,,,,
9,12/07/15 10:00:00 PM,10.345,,,,
10,12/07/15 11:00:00 PM,10.051,,,,
11,12/08/15 12:00:00 AM,9.952,,,,
12,12/08/15 01:00:00 AM,10.222,,,,
13,12/08/15 02:00:00 AM,10.100,,,,
14,12/08/15 03:00:00 AM,10.247,,,,
15,12/08/15 04:00:00 AM,10.222,,,,
16,12/08/15 05:00:00 AM,10.026,,,,
17,12/08/15 06:00:00 AM,10.296,,,,
18,12/08/15 07:00:00 AM,10.443,,,,
19,12/08/15 08:00:00 AM,10.418,,,,
20,12/08/15 09:00:00 AM,10.100,,,,
21,12/08/15 10:00:00 AM,10.590,,,,
22,12/08/15 11:00:00 AM,10.956,,,,
23,12/08/15 12:00:00 PM,11.224,,,,
24,12/08/15 01:00:00 PM,11.297,,,,
25,12/08/15 02:00:00 PM,11.832,,,,
26,12/08/15 03:00:00 PM,11.929,,,,
27,12/08/15 04:00:00 PM,11.807,,,,
28,12/08/15 05:00:00 PM,11.613,,,,
29,12/08/15 06:00:00 PM,11.492,,,,
30,12/08/15 07:00:00 PM,11.321,,,,
31,12/08/15 08:00:00 PM,11.321,,,,
32,12/08/15 09:00:00 PM,11.029,,,,
33,12/08/15 10:00:00 PM,11.321,,,,
34,12/08/15 11:00:00 PM,11.419,,,,
35,12/09/15 12:00:00 AM,11.759,,,,
36,12/09/15 01:00:00 AM,11.662,,,,
37,12/09/15 02:00:00 AM,12.001,,,,
38,12/09/15 03:00:00 AM,12.485,,,,
39,12/09/15 04:00:00 AM,12.437,,,,
40,12/09/15 05:00:00 AM,12.316,,,,
41,12/09/15 06:00:00 AM,12.703,,,,
42,12/09/15 07:00:00 AM,13.497,,,,
43,12/09/15 08:00:00 AM,13.570,,,,
44,12/09/15 09:00:00 AM,13.425,,,,
45,12/09/15 10:00:00 AM,13.353,,,,
