"Plot Title: East Ash Creek- USFS"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2406378, SEN S/N: 2406378)","Coupler Detached (LGR S/N: 2406378)","Coupler Attached (LGR S/N: 2406378)","Host Connected (LGR S/N: 2406378)","Stopped (LGR S/N: 2406378)","End Of File (LGR S/N: 2406378)"
1,05/27/16 12:00:00 PM,52.947,Logged,,,,
2,05/27/16 12:15:00 PM,52.992,,,,,
3,05/27/16 12:30:00 PM,52.992,,,,,
4,05/27/16 12:45:00 PM,53.209,,,,,
5,05/27/16 01:00:00 PM,53.820,,,,,
6,05/27/16 01:15:00 PM,54.952,,,,,
7,05/27/16 01:30:00 PM,55.256,,,,,
8,05/27/16 01:45:00 PM,54.865,,,,,
9,05/27/16 02:00:00 PM,54.777,,,,,
10,05/27/16 02:15:00 PM,54.691,,,,,
11,05/27/16 02:30:00 PM,54.691,,,,,
12,05/27/16 02:45:00 PM,55.038,,,,,
13,05/27/16 03:00:00 PM,55.125,,,,,
14,05/27/16 03:15:00 PM,55.125,,,,,
15,05/27/16 03:30:00 PM,55.429,,,,,
16,05/27/16 03:45:00 PM,55.602,,,,,
17,05/27/16 04:00:00 PM,55.647,,,,,
18,05/27/16 04:15:00 PM,55.733,,,,,
19,05/27/16 04:30:00 PM,55.992,,,,,
20,05/27/16 04:45:00 PM,56.340,,,,,
21,05/27/16 05:00:00 PM,56.208,,,,,
22,05/27/16 05:15:00 PM,56.079,,,,,
23,05/27/16 05:30:00 PM,55.949,,,,,
24,05/27/16 05:45:00 PM,55.863,,,,,
25,05/27/16 06:00:00 PM,55.819,,,,,
26,05/27/16 06:15:00 PM,55.819,,,,,
27,05/27/16 06:30:00 PM,55.733,,,,,
28,05/27/16 06:45:00 PM,55.647,,,,,
29,05/27/16 07:00:00 PM,55.733,,,,,
30,05/27/16 07:15:00 PM,55.558,,,,,
31,05/27/16 07:30:00 PM,55.342,,,,,
32,05/27/16 07:45:00 PM,55.125,,,,,
33,05/27/16 08:00:00 PM,54.952,,,,,
34,05/27/16 08:15:00 PM,54.691,,,,,
35,05/27/16 08:30:00 PM,54.430,,,,,
36,05/27/16 08:45:00 PM,54.126,,,,,
37,05/27/16 09:00:00 PM,53.820,,,,,
38,05/27/16 09:15:00 PM,53.559,,,,,
39,05/27/16 09:30:00 PM,53.298,,,,,
40,05/27/16 09:45:00 PM,53.035,,,,,
41,05/27/16 10:00:00 PM,52.772,,,,,
42,05/27/16 10:15:00 PM,52.509,,,,,
43,05/27/16 10:30:00 PM,52.246,,,,,
44,05/27/16 10:45:00 PM,52.029,,,,,
45,05/27/16 11:00:00 PM,51.809,,,,,
46,05/27/16 11:15:00 PM,51.589,,,,,
47,05/27/16 11:30:00 PM,51.370,,,,,
48,05/27/16 11:45:00 PM,51.193,,,,,
49,05/28/16 12:00:00 AM,50.974,,,,,
50,05/28/16 12:15:00 AM,50.797,,,,,
51,05/28/16 12:30:00 AM,50.576,,,,,
52,05/28/16 12:45:00 AM,50.400,,,,,
53,05/28/16 01:00:00 AM,50.268,,,,,
54,05/28/16 01:15:00 AM,50.180,,,,,
55,05/28/16 01:30:00 AM,50.092,,,,,
56,05/28/16 01:45:00 AM,50.002,,,,,
57,05/28/16 02:00:00 AM,49.959,,,,,
58,05/28/16 02:15:00 AM,49.825,,,,,
59,05/28/16 02:30:00 AM,49.692,,,,,
60,05/28/16 02:45:00 AM,49.516,,,,,
61,05/28/16 03:00:00 AM,49.383,,,,,
62,05/28/16 03:15:00 AM,49.249,,,,,
63,05/28/16 03:30:00 AM,49.073,,,,,
64,05/28/16 03:45:00 AM,48.895,,,,,
65,05/28/16 04:00:00 AM,48.762,,,,,
66,05/28/16 04:15:00 AM,48.628,,,,,
67,05/28/16 04:30:00 AM,48.450,,,,,
68,05/28/16 04:45:00 AM,48.272,,,,,
69,05/28/16 05:00:00 AM,48.137,,,,,
70,05/28/16 05:15:00 AM,47.959,,,,,
71,05/28/16 05:30:00 AM,47.826,,,,,
72,05/28/16 05:45:00 AM,47.691,,,,,
73,05/28/16 06:00:00 AM,47.557,,,,,
74,05/28/16 06:15:00 AM,47.422,,,,,
75,05/28/16 06:30:00 AM,47.289,,,,,
76,05/28/16 06:45:00 AM,47.199,,,,,
77,05/28/16 07:00:00 AM,47.109,,,,,
78,05/28/16 07:15:00 AM,47.019,,,,,
79,05/28/16 07:30:00 AM,46.931,,,,,
80,05/28/16 07:45:00 AM,46.886,,,,,
81,05/28/16 08:00:00 AM,46.886,,,,,
82,05/28/16 08:15:00 AM,46.931,,,,,
83,05/28/16 08:30:00 AM,46.974,,,,,
84,05/28/16 08:45:00 AM,47.064,,,,,
85,05/28/16 09:00:00 AM,47.289,,,,,
86,05/28/16 09:15:00 AM,47.647,,,,,
87,05/28/16 09:30:00 AM,47.914,,,,,
88,05/28/16 09:45:00 AM,48.227,,,,,
89,05/28/16 10:00:00 AM,48.717,,,,,
90,05/28/16 10:15:00 AM,49.383,,,,,
