"Plot Title: Evergreen #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719026, SEN S/N: 10719026)","Coupler Detached (LGR S/N: 10719026)","Coupler Attached (LGR S/N: 10719026)","Host Connected (LGR S/N: 10719026)","Stopped (LGR S/N: 10719026)","End Of File (LGR S/N: 10719026)"
1,11/05/15 03:45:00 PM,49.737,Logged,,,,
2,11/05/15 04:00:00 PM,49.692,,,,,
3,11/05/15 04:15:00 PM,49.692,,,,,
4,11/05/15 04:30:00 PM,49.692,,,,,
5,11/05/15 04:45:00 PM,49.649,,,,,
6,11/05/15 05:00:00 PM,49.604,,,,,
7,11/05/15 05:15:00 PM,49.561,,,,,
8,11/05/15 05:30:00 PM,49.516,,,,,
9,11/05/15 05:45:00 PM,49.383,,,,,
10,11/05/15 06:00:00 PM,49.294,,,,,
11,11/05/15 06:15:00 PM,49.204,,,,,
12,11/05/15 06:30:00 PM,49.073,,,,,
13,11/05/15 06:45:00 PM,48.938,,,,,
14,11/05/15 07:00:00 PM,48.805,,,,,
15,11/05/15 07:15:00 PM,48.672,,,,,
16,11/05/15 07:30:00 PM,48.493,,,,,
17,11/05/15 07:45:00 PM,48.315,,,,,
18,11/05/15 08:00:00 PM,48.137,,,,,
19,11/05/15 08:15:00 PM,48.004,,,,,
20,11/05/15 08:30:00 PM,47.826,,,,,
21,11/05/15 08:45:00 PM,47.736,,,,,
22,11/05/15 09:00:00 PM,47.647,,,,,
23,11/05/15 09:15:00 PM,47.512,,,,,
24,11/05/15 09:30:00 PM,47.467,,,,,
25,11/05/15 09:45:00 PM,47.377,,,,,
26,11/05/15 10:00:00 PM,47.289,,,,,
27,11/05/15 10:15:00 PM,47.244,,,,,
28,11/05/15 10:30:00 PM,47.154,,,,,
29,11/05/15 10:45:00 PM,47.109,,,,,
30,11/05/15 11:00:00 PM,47.019,,,,,
31,11/05/15 11:15:00 PM,47.019,,,,,
32,11/05/15 11:30:00 PM,46.974,,,,,
33,11/05/15 11:45:00 PM,46.931,,,,,
34,11/06/15 12:00:00 AM,46.841,,,,,
35,11/06/15 12:15:00 AM,46.841,,,,,
36,11/06/15 12:30:00 AM,46.796,,,,,
37,11/06/15 12:45:00 AM,46.706,,,,,
38,11/06/15 01:00:00 AM,46.661,,,,,
39,11/06/15 01:15:00 AM,46.571,,,,,
40,11/06/15 01:30:00 AM,46.481,,,,,
41,11/06/15 01:45:00 AM,46.436,,,,,
42,11/06/15 02:00:00 AM,46.301,,,,,
43,11/06/15 02:15:00 AM,46.256,,,,,
44,11/06/15 02:30:00 AM,46.121,,,,,
45,11/06/15 02:45:00 AM,46.076,,,,,
46,11/06/15 03:00:00 AM,45.986,,,,,
47,11/06/15 03:15:00 AM,45.851,,,,,
48,11/06/15 03:30:00 AM,45.761,,,,,
49,11/06/15 03:45:00 AM,45.714,,,,,
50,11/06/15 04:00:00 AM,45.669,,,,,
51,11/06/15 04:15:00 AM,45.579,,,,,
52,11/06/15 04:30:00 AM,45.489,,,,,
53,11/06/15 04:45:00 AM,45.399,,,,,
54,11/06/15 05:00:00 AM,45.307,,,,,
55,11/06/15 05:15:00 AM,45.262,,,,,
56,11/06/15 05:30:00 AM,45.172,,,,,
57,11/06/15 05:45:00 AM,45.036,,,,,
58,11/06/15 06:00:00 AM,44.991,,,,,
59,11/06/15 06:15:00 AM,44.946,,,,,
60,11/06/15 06:30:00 AM,44.901,,,,,
61,11/06/15 06:45:00 AM,44.856,,,,,
62,11/06/15 07:00:00 AM,44.764,,,,,
63,11/06/15 07:15:00 AM,44.764,,,,,
64,11/06/15 07:30:00 AM,44.674,,,,,
65,11/06/15 07:45:00 AM,44.674,,,,,
66,11/06/15 08:00:00 AM,44.627,,,,,
67,11/06/15 08:15:00 AM,44.582,,,,,
68,11/06/15 08:30:00 AM,44.582,,,,,
69,11/06/15 08:45:00 AM,44.537,,,,,
70,11/06/15 09:00:00 AM,44.492,,,,,
71,11/06/15 09:15:00 AM,44.445,,,,,
72,11/06/15 09:30:00 AM,44.445,,,,,
73,11/06/15 09:45:00 AM,44.445,,,,,
74,11/06/15 10:00:00 AM,44.445,,,,,
75,11/06/15 10:15:00 AM,44.537,,,,,
76,11/06/15 10:30:00 AM,44.582,,,,,
