"Plot Title: LP 3"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739558, SEN S/N: 10739558)","Coupler Detached (LGR S/N: 10739558)","Coupler Attached (LGR S/N: 10739558)","Host Connected (LGR S/N: 10739558)","Stopped (LGR S/N: 10739558)","End Of File (LGR S/N: 10739558)"
1,06/14/16 10:00:00 PM,61.720,Logged,,,,
2,06/14/16 10:15:00 PM,61.633,,,,,
3,06/14/16 10:30:00 PM,61.506,,,,,
4,06/14/16 10:45:00 PM,61.376,,,,,
5,06/14/16 11:00:00 PM,61.248,,,,,
6,06/14/16 11:15:00 PM,61.119,,,,,
7,06/14/16 11:30:00 PM,60.991,,,,,
8,06/14/16 11:45:00 PM,60.904,,,,,
9,06/15/16 12:00:00 AM,60.775,,,,,
10,06/15/16 12:15:00 AM,60.604,,,,,
11,06/15/16 12:30:00 AM,60.474,,,,,
12,06/15/16 12:45:00 AM,60.303,,,,,
13,06/15/16 01:00:00 AM,60.174,,,,,
14,06/15/16 01:15:00 AM,60.046,,,,,
15,06/15/16 01:30:00 AM,59.873,,,,,
16,06/15/16 01:45:00 AM,59.702,,,,,
17,06/15/16 02:00:00 AM,59.529,,,,,
18,06/15/16 02:15:00 AM,59.315,,,,,
19,06/15/16 02:30:00 AM,59.142,,,,,
20,06/15/16 02:45:00 AM,58.971,,,,,
21,06/15/16 03:00:00 AM,58.798,,,,,
22,06/15/16 03:15:00 AM,58.669,,,,,
23,06/15/16 03:30:00 AM,58.498,,,,,
24,06/15/16 03:45:00 AM,58.325,,,,,
25,06/15/16 04:00:00 AM,58.195,,,,,
26,06/15/16 04:15:00 AM,58.066,,,,,
27,06/15/16 04:30:00 AM,57.893,,,,,
28,06/15/16 04:45:00 AM,57.765,,,,,
29,06/15/16 05:00:00 AM,57.636,,,,,
30,06/15/16 05:15:00 AM,57.506,,,,,
31,06/15/16 05:30:00 AM,57.376,,,,,
32,06/15/16 05:45:00 AM,57.247,,,,,
33,06/15/16 06:00:00 AM,57.117,,,,,
34,06/15/16 06:15:00 AM,56.988,,,,,
35,06/15/16 06:30:00 AM,56.858,,,,,
36,06/15/16 06:45:00 AM,56.772,,,,,
37,06/15/16 07:00:00 AM,56.642,,,,,
38,06/15/16 07:15:00 AM,56.599,,,,,
39,06/15/16 07:30:00 AM,56.599,,,,,
40,06/15/16 07:45:00 AM,56.599,,,,,
41,06/15/16 08:00:00 AM,56.599,,,,,
42,06/15/16 08:15:00 AM,56.685,,,,,
43,06/15/16 08:30:00 AM,56.728,,,,,
44,06/15/16 08:45:00 AM,56.858,,,,,
45,06/15/16 09:00:00 AM,56.944,,,,,
46,06/15/16 09:15:00 AM,57.160,,,,,
47,06/15/16 09:30:00 AM,57.333,,,,,
48,06/15/16 09:45:00 AM,57.549,,,,,
49,06/15/16 10:00:00 AM,57.807,,,,,
50,06/15/16 10:15:00 AM,58.023,,,,,
51,06/15/16 10:30:00 AM,58.282,,,,,
52,06/15/16 10:45:00 AM,58.541,,,,,
53,06/15/16 11:00:00 AM,58.842,,,,,
54,06/15/16 11:15:00 AM,59.099,,,,,
55,06/15/16 11:30:00 AM,59.401,,,,,
56,06/15/16 11:45:00 AM,59.702,,,,,
57,06/15/16 12:00:00 PM,60.003,,,,,
58,06/15/16 12:15:00 PM,60.346,,,,,
59,06/15/16 12:30:00 PM,60.733,,,,,
60,06/15/16 12:45:00 PM,61.075,,,,,
61,06/15/16 01:00:00 PM,61.462,,,,,
62,06/15/16 01:15:00 PM,61.891,,,,,
63,06/15/16 01:30:00 PM,62.276,,,,,
64,06/15/16 01:45:00 PM,62.704,,,,,
65,06/15/16 02:00:00 PM,63.090,,,,,
66,06/15/16 02:15:00 PM,63.475,,,,,
67,06/15/16 02:30:00 PM,63.819,,,,,
68,06/15/16 02:45:00 PM,64.204,,,,,
69,06/15/16 03:00:00 PM,64.546,,,,,
70,06/15/16 03:15:00 PM,64.888,,,,,
71,06/15/16 03:30:00 PM,65.188,,,,,
72,06/15/16 03:45:00 PM,65.444,,,,,
73,06/15/16 04:00:00 PM,65.701,,,,,
74,06/15/16 04:15:00 PM,65.916,,,,,
75,06/15/16 04:30:00 PM,66.087,,,,,
76,06/15/16 04:45:00 PM,66.214,,,,,
77,06/15/16 05:00:00 PM,66.301,,,,,
78,06/15/16 05:15:00 PM,66.344,,,,,
79,06/15/16 05:30:00 PM,66.301,,,,,
80,06/15/16 05:45:00 PM,66.258,,,,,
81,06/15/16 06:00:00 PM,66.173,,,,,
82,06/15/16 06:15:00 PM,66.043,,,,,
83,06/15/16 06:30:00 PM,65.916,,,,,
84,06/15/16 06:45:00 PM,65.745,,,,,
85,06/15/16 07:00:00 PM,65.574,,,,,
86,06/15/16 07:15:00 PM,65.403,,,,,
87,06/15/16 07:30:00 PM,65.145,,,,,
88,06/15/16 07:45:00 PM,64.931,,,,,
89,06/15/16 08:00:00 PM,64.760,,,,,
90,06/15/16 08:15:00 PM,64.503,,,,,
91,06/15/16 08:30:00 PM,64.332,,,,,
92,06/15/16 08:45:00 PM,64.161,,,,,
93,06/15/16 09:00:00 PM,63.990,,,,,
94,06/15/16 09:15:00 PM,63.819,,,,,
95,06/15/16 09:30:00 PM,63.648,,,,,
96,06/15/16 09:45:00 PM,63.518,,,,,
97,06/15/16 10:00:00 PM,63.390,,,,,
98,06/15/16 10:15:00 PM,63.262,,,,,
99,06/15/16 10:30:00 PM,63.133,,,,,
100,06/15/16 10:45:00 PM,63.048,,,,,
101,06/15/16 11:00:00 PM,62.962,,,,,
102,06/15/16 11:15:00 PM,62.834,,,,,
103,06/15/16 11:30:00 PM,62.748,,,,,
104,06/15/16 11:45:00 PM,62.620,,,,,
105,06/16/16 12:00:00 AM,62.490,,,,,
106,06/16/16 12:15:00 AM,62.406,,,,,
107,06/16/16 12:30:00 AM,62.319,,,,,
108,06/16/16 12:45:00 AM,62.276,,,,,
109,06/16/16 01:00:00 AM,62.191,,,,,
110,06/16/16 01:15:00 AM,62.062,,,,,
111,06/16/16 01:30:00 AM,61.934,,,,,
112,06/16/16 01:45:00 AM,61.848,,,,,
113,06/16/16 02:00:00 AM,61.720,,,,,
114,06/16/16 02:15:00 AM,61.590,,,,,
115,06/16/16 02:30:00 AM,61.506,,,,,
116,06/16/16 02:45:00 AM,61.376,,,,,
117,06/16/16 03:00:00 AM,61.248,,,,,
118,06/16/16 03:15:00 AM,61.119,,,,,
119,06/16/16 03:30:00 AM,60.991,,,,,
120,06/16/16 03:45:00 AM,60.861,,,,,
121,06/16/16 04:00:00 AM,60.647,,,,,
122,06/16/16 04:15:00 AM,60.474,,,,,
123,06/16/16 04:30:00 AM,60.303,,,,,
124,06/16/16 04:45:00 AM,60.132,,,,,
125,06/16/16 05:00:00 AM,59.959,,,,,
126,06/16/16 05:15:00 AM,59.830,,,,,
127,06/16/16 05:30:00 AM,59.659,,,,,
