"Plot Title: Long Pine #4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719033, SEN S/N: 10719033)","Coupler Detached (LGR S/N: 10719033)","Coupler Attached (LGR S/N: 10719033)","Host Connected (LGR S/N: 10719033)","Stopped (LGR S/N: 10719033)","End Of File (LGR S/N: 10719033)"
1,06/16/16 10:00:00 AM,78.777,Logged,,,,
2,06/16/16 10:15:00 AM,74.511,,,,,
3,06/16/16 10:30:00 AM,72.480,,,,,
4,06/16/16 10:45:00 AM,74.163,,,,,
5,06/16/16 11:00:00 AM,79.128,,,,,
6,06/16/16 11:15:00 AM,83.287,,,,,
7,06/16/16 11:30:00 AM,85.172,,,,,
8,06/16/16 11:45:00 AM,85.939,,,,,
9,06/16/16 12:00:00 PM,85.802,,,,,
10,06/16/16 12:15:00 PM,79.700,,,,,
11,06/16/16 12:30:00 PM,75.290,,,,,
12,06/16/16 12:45:00 PM,79.435,,,,,
13,06/16/16 01:00:00 PM,83.691,,,,,
14,06/16/16 01:15:00 PM,81.466,,,,,
15,06/16/16 01:30:00 PM,79.173,,,,,
16,06/16/16 01:45:00 PM,83.959,,,,,
17,06/16/16 02:00:00 PM,88.993,,,,,
18,06/16/16 02:15:00 PM,89.316,,,,,
19,06/16/16 02:30:00 PM,91.263,,,,,
20,06/16/16 02:45:00 PM,94.419,,,,,
21,06/16/16 03:00:00 PM,97.354,,,,,
22,06/16/16 03:15:00 PM,98.872,,,,,
23,06/16/16 03:30:00 PM,98.676,,,,,
24,06/16/16 03:45:00 PM,98.479,,,,,
25,06/16/16 04:00:00 PM,98.233,,,,,
26,06/16/16 04:15:00 PM,97.990,,,,,
27,06/16/16 04:30:00 PM,98.038,,,,,
28,06/16/16 04:45:00 PM,98.184,,,,,
29,06/16/16 05:00:00 PM,97.551,,,,,
30,06/16/16 05:15:00 PM,98.823,,,,,
31,06/16/16 05:30:00 PM,100.908,,,,,
32,06/16/16 05:45:00 PM,104.360,,,,,
33,06/16/16 06:00:00 PM,107.708,,,,,
34,06/16/16 06:15:00 PM,109.857,,,,,
35,06/16/16 06:30:00 PM,110.838,,,,,
36,06/16/16 06:45:00 PM,110.127,,,,,
37,06/16/16 07:00:00 PM,109.423,,,,,
38,06/16/16 07:15:00 PM,109.045,,,,,
39,06/16/16 07:30:00 PM,108.831,,,,,
40,06/16/16 07:45:00 PM,108.509,,,,,
41,06/16/16 08:00:00 PM,108.081,,,,,
42,06/16/16 08:15:00 PM,107.602,,,,,
43,06/16/16 08:30:00 PM,106.914,,,,,
44,06/16/16 08:45:00 PM,106.021,,,,,
45,06/16/16 09:00:00 PM,104.979,,,,,
46,06/16/16 09:15:00 PM,103.845,,,,,
47,06/16/16 09:30:00 PM,102.519,,,,,
48,06/16/16 09:45:00 PM,101.257,,,,,
49,06/16/16 10:00:00 PM,99.910,,,,,
50,06/16/16 10:15:00 PM,98.577,,,,,
51,06/16/16 10:30:00 PM,97.306,,,,,
52,06/16/16 10:45:00 PM,96.145,,,,,
53,06/16/16 11:00:00 PM,94.944,,,,,
54,06/16/16 11:15:00 PM,93.801,,,,,
55,06/16/16 11:30:00 PM,92.714,,,,,
56,06/16/16 11:45:00 PM,91.683,,,,,
57,06/17/16 12:00:00 AM,90.750,,,,,
58,06/17/16 12:15:00 AM,89.870,,,,,
59,06/17/16 12:30:00 AM,88.993,,,,,
60,06/17/16 12:45:00 AM,88.214,,,,,
61,06/17/16 01:00:00 AM,87.391,,,,,
62,06/17/16 01:15:00 AM,86.664,,,,,
63,06/17/16 01:30:00 AM,85.939,,,,,
64,06/17/16 01:45:00 AM,85.262,,,,,
65,06/17/16 02:00:00 AM,84.632,,,,,
66,06/17/16 02:15:00 AM,84.004,,,,,
67,06/17/16 02:30:00 AM,83.422,,,,,
68,06/17/16 02:45:00 AM,82.841,,,,,
69,06/17/16 03:00:00 AM,82.263,,,,,
70,06/17/16 03:15:00 AM,81.730,,,,,
71,06/17/16 03:30:00 AM,81.199,,,,,
72,06/17/16 03:45:00 AM,80.625,,,,,
73,06/17/16 04:00:00 AM,80.096,,,,,
74,06/17/16 04:15:00 AM,79.567,,,,,
75,06/17/16 04:30:00 AM,79.084,,,,,
76,06/17/16 04:45:00 AM,78.602,,,,,
77,06/17/16 05:00:00 AM,78.208,,,,,
78,06/17/16 05:15:00 AM,77.815,,,,,
79,06/17/16 05:30:00 AM,77.421,,,,,
80,06/17/16 05:45:00 AM,77.072,,,,,
81,06/17/16 06:00:00 AM,76.725,,,,,
82,06/17/16 06:15:00 AM,76.375,,,,,
83,06/17/16 06:30:00 AM,76.114,,,,,
84,06/17/16 06:45:00 AM,75.942,,,,,
85,06/17/16 07:00:00 AM,75.853,,,,,
86,06/17/16 07:15:00 AM,75.853,,,,,
87,06/17/16 07:30:00 AM,75.898,,,,,
88,06/17/16 07:45:00 AM,76.028,,,,,
89,06/17/16 08:00:00 AM,76.332,,,,,
90,06/17/16 08:15:00 AM,76.899,,,,,
91,06/17/16 08:30:00 AM,77.684,,,,,
92,06/17/16 08:45:00 AM,78.777,,,,,
93,06/17/16 09:00:00 AM,80.316,,,,,
94,06/17/16 09:15:00 AM,82.486,,,,,
95,06/17/16 09:30:00 AM,84.182,,,,,
96,06/17/16 09:45:00 AM,85.307,,,,,
97,06/17/16 10:00:00 AM,86.119,,,,,
98,06/17/16 10:15:00 AM,87.073,,,,,
99,06/17/16 10:30:00 AM,88.122,,,,,
100,06/17/16 10:45:00 AM,89.224,,,,,
101,06/17/16 11:00:00 AM,90.379,,,,,
102,06/17/16 11:15:00 AM,91.636,,,,,
103,06/17/16 11:30:00 AM,92.950,,,,,
104,06/17/16 11:45:00 AM,94.372,,,,,
105,06/17/16 12:00:00 PM,95.806,,,,,
106,06/17/16 12:15:00 PM,97.257,,,,,
107,06/17/16 12:30:00 PM,98.724,,,,,
108,06/17/16 12:45:00 PM,100.207,,,,,
109,06/17/16 01:00:00 PM,101.559,,,,,
110,06/17/16 01:15:00 PM,102.823,,,,,
111,06/17/16 01:30:00 PM,104.000,,,,,
112,06/17/16 01:45:00 PM,105.188,,,,,
113,06/17/16 02:00:00 PM,106.336,,,,,
114,06/17/16 02:15:00 PM,107.496,,,,,
115,06/17/16 02:30:00 PM,108.723,,,,,
116,06/17/16 02:45:00 PM,109.801,,,,,
117,06/17/16 03:00:00 PM,110.782,,,,,
118,06/17/16 03:15:00 PM,111.884,,,,,
119,06/17/16 03:30:00 PM,112.829,,,,,
120,06/17/16 03:45:00 PM,113.446,,,,,
121,06/17/16 04:00:00 PM,114.237,,,,,
122,06/17/16 04:15:00 PM,114.978,,,,,
123,06/17/16 04:30:00 PM,115.264,,,,,
124,06/17/16 04:45:00 PM,115.435,,,,,
125,06/17/16 05:00:00 PM,115.207,,,,,
126,06/17/16 05:15:00 PM,115.207,,,,,
127,06/17/16 05:30:00 PM,115.781,,,,,
128,06/17/16 05:45:00 PM,117.351,,,,,
129,06/17/16 06:00:00 PM,119.127,,,,,
130,06/17/16 06:15:00 PM,120.331,,,,,
131,06/17/16 06:30:00 PM,120.513,,,,,
132,06/17/16 06:45:00 PM,119.426,,,,,
133,06/17/16 07:00:00 PM,118.294,,,,,
134,06/17/16 07:15:00 PM,117.351,,,,,
135,06/17/16 07:30:00 PM,116.476,,,,,
136,06/17/16 07:45:00 PM,115.551,,,,,
137,06/17/16 08:00:00 PM,114.579,,,,,
138,06/17/16 08:15:00 PM,113.446,,,,,
139,06/17/16 08:30:00 PM,112.161,,,,,
140,06/17/16 08:45:00 PM,110.838,,,,,
141,06/17/16 09:00:00 PM,109.477,,,,,
142,06/17/16 09:15:00 PM,108.028,,,,,
143,06/17/16 09:30:00 PM,106.441,,,,,
144,06/17/16 09:45:00 PM,103.948,,,,,
145,06/17/16 10:00:00 PM,101.257,,,,,
146,06/17/16 10:15:00 PM,98.872,,,,,
147,06/17/16 10:30:00 PM,96.724,,,,,
148,06/17/16 10:45:00 PM,94.800,,,,,
149,06/17/16 11:00:00 PM,93.139,,,,,
150,06/17/16 11:15:00 PM,91.589,,,,,
151,06/17/16 11:30:00 PM,90.100,,,,,
152,06/17/16 11:45:00 PM,88.718,,,,,
