"Plot Title: Monroe Creek 11-25-15 (1734)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739559, SEN S/N: 10739559)","Coupler Detached (LGR S/N: 10739559)","Coupler Attached (LGR S/N: 10739559)","Host Connected (LGR S/N: 10739559)","Stopped (LGR S/N: 10739559)","End Of File (LGR S/N: 10739559)"
1,05/26/16 03:04:22 PM,59.358,Logged,,,,
2,05/26/16 03:19:22 PM,57.290,,,,,
3,05/26/16 03:34:22 PM,57.290,,,,,
4,05/26/16 03:49:22 PM,57.333,,,,,
5,05/26/16 04:04:22 PM,57.290,,,,,
6,05/26/16 04:19:22 PM,57.204,,,,,
7,05/26/16 04:34:22 PM,57.160,,,,,
8,05/26/16 04:49:22 PM,57.074,,,,,
9,05/26/16 05:04:22 PM,57.074,,,,,
10,05/26/16 05:19:22 PM,57.074,,,,,
11,05/26/16 05:34:22 PM,57.031,,,,,
12,05/26/16 05:49:22 PM,57.031,,,,,
13,05/26/16 06:04:22 PM,56.988,,,,,
14,05/26/16 06:19:22 PM,56.944,,,,,
15,05/26/16 06:34:22 PM,56.944,,,,,
16,05/26/16 06:49:22 PM,56.901,,,,,
17,05/26/16 07:04:22 PM,56.772,,,,,
18,05/26/16 07:19:22 PM,56.685,,,,,
19,05/26/16 07:34:22 PM,56.556,,,,,
20,05/26/16 07:49:22 PM,56.383,,,,,
21,05/26/16 08:04:22 PM,56.122,,,,,
22,05/26/16 08:19:22 PM,55.992,,,,,
23,05/26/16 08:34:22 PM,55.776,,,,,
24,05/26/16 08:49:22 PM,55.602,,,,,
25,05/26/16 09:04:22 PM,55.386,,,,,
26,05/26/16 09:19:22 PM,55.168,,,,,
27,05/26/16 09:34:22 PM,54.952,,,,,
28,05/26/16 09:49:22 PM,54.777,,,,,
29,05/26/16 10:04:22 PM,54.561,,,,,
30,05/26/16 10:19:22 PM,54.343,,,,,
31,05/26/16 10:34:22 PM,54.169,,,,,
32,05/26/16 10:49:22 PM,53.951,,,,,
33,05/26/16 11:04:22 PM,53.733,,,,,
34,05/26/16 11:19:22 PM,53.559,,,,,
35,05/26/16 11:34:22 PM,53.341,,,,,
36,05/26/16 11:49:22 PM,53.166,,,,,
37,05/27/16 12:04:22 AM,52.947,,,,,
38,05/27/16 12:19:22 AM,52.772,,,,,
39,05/27/16 12:34:22 AM,52.641,,,,,
40,05/27/16 12:49:22 AM,52.509,,,,,
41,05/27/16 01:04:22 AM,52.423,,,,,
42,05/27/16 01:19:22 AM,52.291,,,,,
43,05/27/16 01:34:22 AM,52.115,,,,,
44,05/27/16 01:49:22 AM,52.029,,,,,
45,05/27/16 02:04:22 AM,51.984,,,,,
46,05/27/16 02:19:22 AM,51.895,,,,,
47,05/27/16 02:34:22 AM,51.809,,,,,
48,05/27/16 02:49:22 AM,51.764,,,,,
49,05/27/16 03:04:22 AM,51.721,,,,,
50,05/27/16 03:19:22 AM,51.678,,,,,
51,05/27/16 03:34:22 AM,51.633,,,,,
52,05/27/16 03:49:22 AM,51.633,,,,,
53,05/27/16 04:04:22 AM,51.544,,,,,
54,05/27/16 04:19:22 AM,51.501,,,,,
55,05/27/16 04:34:22 AM,51.458,,,,,
56,05/27/16 04:49:22 AM,51.370,,,,,
57,05/27/16 05:04:22 AM,51.282,,,,,
58,05/27/16 05:19:22 AM,51.193,,,,,
59,05/27/16 05:34:22 AM,51.105,,,,,
60,05/27/16 05:49:22 AM,51.017,,,,,
61,05/27/16 06:04:22 AM,50.929,,,,,
62,05/27/16 06:19:22 AM,50.886,,,,,
