"Plot Title: Niobrara HWY 71 11-25-15 (0944)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719007, SEN S/N: 10719007)","Coupler Detached (LGR S/N: 10719007)","Coupler Attached (LGR S/N: 10719007)","Host Connected (LGR S/N: 10719007)","Stopped (LGR S/N: 10719007)","End Of File (LGR S/N: 10719007)"
1,05/20/16 01:14:45 PM,64.332,Logged,,,,
2,05/20/16 01:29:45 PM,64.247,,,,,
3,05/20/16 01:44:45 PM,64.632,,,,,
4,05/20/16 01:59:45 PM,64.974,,,,,
5,05/20/16 02:14:45 PM,65.273,,,,,
6,05/20/16 02:29:45 PM,65.615,,,,,
7,05/20/16 02:44:45 PM,65.959,,,,,
8,05/20/16 02:59:45 PM,66.087,,,,,
9,05/20/16 03:14:45 PM,66.214,,,,,
10,05/20/16 03:29:45 PM,66.385,,,,,
11,05/20/16 03:44:45 PM,66.600,,,,,
12,05/20/16 03:59:45 PM,66.729,,,,,
13,05/20/16 04:14:45 PM,66.686,,,,,
14,05/20/16 04:29:45 PM,66.643,,,,,
15,05/20/16 04:44:45 PM,66.558,,,,,
16,05/20/16 04:59:45 PM,66.472,,,,,
17,05/20/16 05:14:45 PM,66.344,,,,,
18,05/20/16 05:29:45 PM,66.258,,,,,
19,05/20/16 05:44:45 PM,66.173,,,,,
20,05/20/16 05:59:45 PM,66.043,,,,,
21,05/20/16 06:14:45 PM,65.959,,,,,
22,05/20/16 06:29:45 PM,65.872,,,,,
23,05/20/16 06:44:45 PM,65.788,,,,,
24,05/20/16 06:59:45 PM,65.745,,,,,
25,05/20/16 07:14:45 PM,65.658,,,,,
26,05/20/16 07:29:45 PM,65.615,,,,,
27,05/20/16 07:44:45 PM,65.530,,,,,
28,05/20/16 07:59:45 PM,65.444,,,,,
29,05/20/16 08:14:45 PM,65.359,,,,,
30,05/20/16 08:29:45 PM,65.273,,,,,
31,05/20/16 08:44:45 PM,65.188,,,,,
32,05/20/16 08:59:45 PM,65.102,,,,,
33,05/20/16 09:14:45 PM,65.017,,,,,
34,05/20/16 09:29:45 PM,64.888,,,,,
35,05/20/16 09:44:45 PM,64.803,,,,,
36,05/20/16 09:59:45 PM,64.717,,,,,
37,05/20/16 10:14:45 PM,64.589,,,,,
38,05/20/16 10:29:45 PM,64.503,,,,,
39,05/20/16 10:44:45 PM,64.375,,,,,
40,05/20/16 10:59:45 PM,64.288,,,,,
41,05/20/16 11:14:45 PM,64.204,,,,,
42,05/20/16 11:29:45 PM,64.074,,,,,
43,05/20/16 11:44:45 PM,63.946,,,,,
44,05/20/16 11:59:45 PM,63.819,,,,,
45,05/21/16 12:14:45 AM,63.732,,,,,
46,05/21/16 12:29:45 AM,63.604,,,,,
47,05/21/16 12:44:45 AM,63.518,,,,,
48,05/21/16 12:59:45 AM,63.433,,,,,
49,05/21/16 01:14:45 AM,63.390,,,,,
50,05/21/16 01:29:45 AM,63.304,,,,,
51,05/21/16 01:44:45 AM,63.219,,,,,
52,05/21/16 01:59:45 AM,63.090,,,,,
53,05/21/16 02:14:45 AM,62.962,,,,,
54,05/21/16 02:29:45 AM,62.875,,,,,
55,05/21/16 02:44:45 AM,62.791,,,,,
56,05/21/16 02:59:45 AM,62.704,,,,,
57,05/21/16 03:14:45 AM,62.620,,,,,
58,05/21/16 03:29:45 AM,62.533,,,,,
59,05/21/16 03:44:45 AM,62.447,,,,,
60,05/21/16 03:59:45 AM,62.319,,,,,
61,05/21/16 04:14:45 AM,62.233,,,,,
62,05/21/16 04:29:45 AM,62.105,,,,,
63,05/21/16 04:44:45 AM,61.977,,,,,
64,05/21/16 04:59:45 AM,61.848,,,,,
65,05/21/16 05:14:45 AM,61.761,,,,,
66,05/21/16 05:29:45 AM,61.677,,,,,
67,05/21/16 05:44:45 AM,61.547,,,,,
68,05/21/16 05:59:45 AM,61.462,,,,,
69,05/21/16 06:14:45 AM,61.376,,,,,
70,05/21/16 06:29:45 AM,61.290,,,,,
71,05/21/16 06:44:45 AM,61.205,,,,,
72,05/21/16 06:59:45 AM,61.162,,,,,
73,05/21/16 07:14:45 AM,61.119,,,,,
74,05/21/16 07:29:45 AM,61.075,,,,,
75,05/21/16 07:44:45 AM,61.032,,,,,
76,05/21/16 07:59:45 AM,61.119,,,,,
77,05/21/16 08:14:45 AM,61.119,,,,,
78,05/21/16 08:29:45 AM,61.162,,,,,
79,05/21/16 08:44:45 AM,61.205,,,,,
80,05/21/16 08:59:45 AM,61.248,,,,,
81,05/21/16 09:14:45 AM,61.290,,,,,
82,05/21/16 09:29:45 AM,61.290,,,,,
83,05/21/16 09:44:45 AM,61.290,,,,,
84,05/21/16 09:59:45 AM,61.290,,,,,
85,05/21/16 10:14:45 AM,61.248,,,,,
86,05/21/16 10:29:45 AM,61.248,,,,,
87,05/21/16 10:44:45 AM,61.290,,,,,
88,05/21/16 10:59:45 AM,61.376,,,,,
89,05/21/16 11:14:45 AM,61.462,,,,,
90,05/21/16 11:29:45 AM,61.462,,,,,
91,05/21/16 11:44:45 AM,61.462,,,,,
92,05/21/16 11:59:45 AM,61.462,,,,,
93,05/21/16 12:14:45 PM,61.462,,,,,
94,05/21/16 12:29:45 PM,61.506,,,,,
95,05/21/16 12:44:45 PM,61.506,,,,,
96,05/21/16 12:59:45 PM,61.506,,,,,
97,05/21/16 01:14:45 PM,61.462,,,,,
98,05/21/16 01:29:45 PM,61.462,,,,,
99,05/21/16 01:44:45 PM,61.419,,,,,
100,05/21/16 01:59:45 PM,61.462,,,,,
101,05/21/16 02:14:45 PM,61.547,,,,,
102,05/21/16 02:29:45 PM,61.590,,,,,
103,05/21/16 02:44:45 PM,61.590,,,,,
104,05/21/16 02:59:45 PM,61.633,,,,,
105,05/21/16 03:14:45 PM,61.633,,,,,
106,05/21/16 03:29:45 PM,61.720,,,,,
107,05/21/16 03:44:45 PM,61.848,,,,,
108,05/21/16 03:59:45 PM,62.019,,,,,
109,05/21/16 04:14:45 PM,62.105,,,,,
110,05/21/16 04:29:45 PM,62.276,,,,,
111,05/21/16 04:44:45 PM,62.362,,,,,
112,05/21/16 04:59:45 PM,62.490,,,,,
113,05/21/16 05:14:45 PM,62.620,,,,,
114,05/21/16 05:29:45 PM,62.748,,,,,
115,05/21/16 05:44:45 PM,62.791,,,,,
116,05/21/16 05:59:45 PM,62.791,,,,,
117,05/21/16 06:14:45 PM,62.748,,,,,
118,05/21/16 06:29:45 PM,62.704,,,,,
119,05/21/16 06:44:45 PM,62.620,,,,,
120,05/21/16 06:59:45 PM,62.533,,,,,
121,05/21/16 07:14:45 PM,62.490,,,,,
122,05/21/16 07:29:45 PM,62.406,,,,,
123,05/21/16 07:44:45 PM,62.319,,,,,
124,05/21/16 07:59:45 PM,62.233,,,,,
125,05/21/16 08:14:45 PM,62.191,,,,,
126,05/21/16 08:29:45 PM,62.062,,,,,
127,05/21/16 08:44:45 PM,61.977,,,,,
128,05/21/16 08:59:45 PM,61.848,,,,,
129,05/21/16 09:14:45 PM,61.720,,,,,
130,05/21/16 09:29:45 PM,61.633,,,,,
131,05/21/16 09:44:45 PM,61.506,,,,,
132,05/21/16 09:59:45 PM,61.419,,,,,
133,05/21/16 10:14:45 PM,61.376,,,,,
134,05/21/16 10:29:45 PM,61.290,,,,,
135,05/21/16 10:44:45 PM,61.205,,,,,
136,05/21/16 10:59:45 PM,61.162,,,,,
137,05/21/16 11:14:45 PM,61.119,,,,,
138,05/21/16 11:29:45 PM,61.075,,,,,
139,05/21/16 11:44:45 PM,61.075,,,,,
140,05/21/16 11:59:45 PM,61.075,,,,,
141,05/22/16 12:14:45 AM,61.032,,,,,
142,05/22/16 12:29:45 AM,61.032,,,,,
143,05/22/16 12:44:45 AM,60.991,,,,,
144,05/22/16 12:59:45 AM,60.991,,,,,
145,05/22/16 01:14:45 AM,60.948,,,,,
146,05/22/16 01:29:45 AM,60.861,,,,,
147,05/22/16 01:44:45 AM,60.818,,,,,
148,05/22/16 01:59:45 AM,60.818,,,,,
149,05/22/16 02:14:45 AM,60.818,,,,,
150,05/22/16 02:29:45 AM,60.818,,,,,
151,05/22/16 02:44:45 AM,60.775,,,,,
152,05/22/16 02:59:45 AM,60.733,,,,,
153,05/22/16 03:14:45 AM,60.690,,,,,
154,05/22/16 03:29:45 AM,60.647,,,,,
155,05/22/16 03:44:45 AM,60.561,,,,,
156,05/22/16 03:59:45 AM,60.517,,,,,
157,05/22/16 04:14:45 AM,60.474,,,,,
158,05/22/16 04:29:45 AM,60.390,,,,,
159,05/22/16 04:44:45 AM,60.303,,,,,
160,05/22/16 04:59:45 AM,60.217,,,,,
161,05/22/16 05:14:45 AM,60.132,,,,,
162,05/22/16 05:29:45 AM,60.046,,,,,
163,05/22/16 05:44:45 AM,59.959,,,,,
164,05/22/16 05:59:45 AM,59.873,,,,,
165,05/22/16 06:14:45 AM,59.745,,,,,
166,05/22/16 06:29:45 AM,59.659,,,,,
167,05/22/16 06:44:45 AM,59.572,,,,,
168,05/22/16 06:59:45 AM,59.529,,,,,
169,05/22/16 07:14:45 AM,59.529,,,,,
170,05/22/16 07:29:45 AM,59.529,,,,,
171,05/22/16 07:44:45 AM,59.572,,,,,
172,05/22/16 07:59:45 AM,59.616,,,,,
173,05/22/16 08:14:45 AM,59.702,,,,,
174,05/22/16 08:29:45 AM,59.788,,,,,
175,05/22/16 08:44:45 AM,59.916,,,,,
176,05/22/16 08:59:45 AM,60.089,,,,,
177,05/22/16 09:14:45 AM,60.303,,,,,
178,05/22/16 09:29:45 AM,60.561,,,,,
179,05/22/16 09:44:45 AM,60.818,,,,,
180,05/22/16 09:59:45 AM,61.075,,,,,
181,05/22/16 10:14:45 AM,61.419,,,,,
182,05/22/16 10:29:45 AM,61.761,,,,,
183,05/22/16 10:44:45 AM,62.105,,,,,
184,05/22/16 10:59:45 AM,62.447,,,,,
185,05/22/16 11:14:45 AM,62.834,,,,,
186,05/22/16 11:29:45 AM,63.176,,,,,
187,05/22/16 11:44:45 AM,63.561,,,,,
188,05/22/16 11:59:45 AM,63.946,,,,,
189,05/22/16 12:14:45 PM,64.332,,,,,
190,05/22/16 12:29:45 PM,64.717,,,,,
191,05/22/16 12:44:45 PM,65.145,,,,,
192,05/22/16 12:59:45 PM,65.530,,,,,
193,05/22/16 01:14:45 PM,65.916,,,,,
194,05/22/16 01:29:45 PM,66.258,,,,,
195,05/22/16 01:44:45 PM,66.643,,,,,
196,05/22/16 01:59:45 PM,66.985,,,,,
197,05/22/16 02:14:45 PM,67.329,,,,,
198,05/22/16 02:29:45 PM,67.627,,,,,
199,05/22/16 02:44:45 PM,67.928,,,,,
200,05/22/16 02:59:45 PM,68.227,,,,,
201,05/22/16 03:14:45 PM,68.484,,,,,
202,05/22/16 03:29:45 PM,68.742,,,,,
203,05/22/16 03:44:45 PM,68.999,,,,,
204,05/22/16 03:59:45 PM,69.213,,,,,
205,05/22/16 04:14:45 PM,69.386,,,,,
206,05/22/16 04:29:45 PM,69.600,,,,,
207,05/22/16 04:44:45 PM,69.728,,,,,
208,05/22/16 04:59:45 PM,69.858,,,,,
