"Plot Title: Niobrara River HWY 385 11-25-15 (0845)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739560, SEN S/N: 10739560)","Coupler Detached (LGR S/N: 10739560)","Coupler Attached (LGR S/N: 10739560)","Host Connected (LGR S/N: 10739560)","Stopped (LGR S/N: 10739560)","End Of File (LGR S/N: 10739560)"
1,05/20/16 12:15:25 PM,66.686,Logged,,,,
2,05/20/16 12:30:25 PM,62.191,,,,,
3,05/20/16 12:45:25 PM,62.661,,,,,
4,05/20/16 01:00:25 PM,63.390,,,,,
5,05/20/16 01:15:25 PM,64.074,,,,,
6,05/20/16 01:30:25 PM,64.674,,,,,
7,05/20/16 01:45:25 PM,65.316,,,,,
8,05/20/16 02:00:25 PM,65.959,,,,,
9,05/20/16 02:15:25 PM,66.515,,,,,
10,05/20/16 02:30:25 PM,66.985,,,,,
11,05/20/16 02:45:25 PM,67.413,,,,,
12,05/20/16 03:00:25 PM,67.885,,,,,
13,05/20/16 03:15:25 PM,68.400,,,,,
14,05/20/16 03:30:25 PM,68.698,,,,,
15,05/20/16 03:45:25 PM,69.042,,,,,
16,05/20/16 04:00:25 PM,69.343,,,,,
17,05/20/16 04:15:25 PM,69.643,,,,,
18,05/20/16 04:30:25 PM,69.600,,,,,
19,05/20/16 04:45:25 PM,69.471,,,,,
20,05/20/16 05:00:25 PM,69.343,,,,,
21,05/20/16 05:15:25 PM,69.129,,,,,
22,05/20/16 05:30:25 PM,68.913,,,,,
23,05/20/16 05:45:25 PM,68.698,,,,,
24,05/20/16 06:00:25 PM,68.400,,,,,
25,05/20/16 06:15:25 PM,68.099,,,,,
26,05/20/16 06:30:25 PM,67.757,,,,,
27,05/20/16 06:45:25 PM,67.456,,,,,
28,05/20/16 07:00:25 PM,67.158,,,,,
29,05/20/16 07:15:25 PM,66.814,,,,,
30,05/20/16 07:30:25 PM,66.429,,,,,
31,05/20/16 07:45:25 PM,66.000,,,,,
32,05/20/16 08:00:25 PM,65.574,,,,,
33,05/20/16 08:15:25 PM,65.102,,,,,
34,05/20/16 08:30:25 PM,64.632,,,,,
35,05/20/16 08:45:25 PM,64.161,,,,,
36,05/20/16 09:00:25 PM,63.648,,,,,
37,05/20/16 09:15:25 PM,63.176,,,,,
38,05/20/16 09:30:25 PM,62.748,,,,,
39,05/20/16 09:45:25 PM,62.276,,,,,
40,05/20/16 10:00:25 PM,61.804,,,,,
41,05/20/16 10:15:25 PM,61.376,,,,,
42,05/20/16 10:30:25 PM,60.904,,,,,
43,05/20/16 10:45:25 PM,60.474,,,,,
44,05/20/16 11:00:25 PM,60.003,,,,,
45,05/20/16 11:15:25 PM,59.572,,,,,
46,05/20/16 11:30:25 PM,59.185,,,,,
47,05/20/16 11:45:25 PM,58.755,,,,,
48,05/21/16 12:00:25 AM,58.411,,,,,
49,05/21/16 12:15:25 AM,57.979,,,,,
50,05/21/16 12:30:25 AM,57.592,,,,,
51,05/21/16 12:45:25 AM,57.204,,,,,
52,05/21/16 01:00:25 AM,56.858,,,,,
53,05/21/16 01:15:25 AM,56.599,,,,,
54,05/21/16 01:30:25 AM,56.340,,,,,
55,05/21/16 01:45:25 AM,56.165,,,,,
56,05/21/16 02:00:25 AM,55.992,,,,,
57,05/21/16 02:15:25 AM,55.863,,,,,
58,05/21/16 02:30:25 AM,55.690,,,,,
59,05/21/16 02:45:25 AM,55.558,,,,,
60,05/21/16 03:00:25 AM,55.429,,,,,
61,05/21/16 03:15:25 AM,55.299,,,,,
62,05/21/16 03:30:25 AM,55.213,,,,,
63,05/21/16 03:45:25 AM,55.125,,,,,
64,05/21/16 04:00:25 AM,54.995,,,,,
65,05/21/16 04:15:25 AM,54.952,,,,,
66,05/21/16 04:30:25 AM,54.865,,,,,
67,05/21/16 04:45:25 AM,54.820,,,,,
68,05/21/16 05:00:25 AM,54.777,,,,,
69,05/21/16 05:15:25 AM,54.734,,,,,
70,05/21/16 05:30:25 AM,54.691,,,,,
71,05/21/16 05:45:25 AM,54.648,,,,,
72,05/21/16 06:00:25 AM,54.604,,,,,
73,05/21/16 06:15:25 AM,54.561,,,,,
74,05/21/16 06:30:25 AM,54.516,,,,,
75,05/21/16 06:45:25 AM,54.473,,,,,
76,05/21/16 07:00:25 AM,54.473,,,,,
77,05/21/16 07:15:25 AM,54.473,,,,,
78,05/21/16 07:30:25 AM,54.473,,,,,
79,05/21/16 07:45:25 AM,54.516,,,,,
80,05/21/16 08:00:25 AM,54.604,,,,,
81,05/21/16 08:15:25 AM,54.691,,,,,
82,05/21/16 08:30:25 AM,54.777,,,,,
83,05/21/16 08:45:25 AM,54.865,,,,,
84,05/21/16 09:00:25 AM,54.995,,,,,
85,05/21/16 09:15:25 AM,55.081,,,,,
86,05/21/16 09:30:25 AM,55.213,,,,,
87,05/21/16 09:45:25 AM,55.299,,,,,
88,05/21/16 10:00:25 AM,55.429,,,,,
89,05/21/16 10:15:25 AM,55.558,,,,,
90,05/21/16 10:30:25 AM,55.647,,,,,
91,05/21/16 10:45:25 AM,55.819,,,,,
92,05/21/16 11:00:25 AM,55.992,,,,,
93,05/21/16 11:15:25 AM,56.165,,,,,
94,05/21/16 11:30:25 AM,56.383,,,,,
95,05/21/16 11:45:25 AM,56.556,,,,,
96,05/21/16 12:00:25 PM,56.685,,,,,
97,05/21/16 12:15:25 PM,56.901,,,,,
98,05/21/16 12:30:25 PM,57.074,,,,,
99,05/21/16 12:45:25 PM,57.333,,,,,
100,05/21/16 01:00:25 PM,57.636,,,,,
101,05/21/16 01:15:25 PM,57.765,,,,,
102,05/21/16 01:30:25 PM,57.850,,,,,
103,05/21/16 01:45:25 PM,57.979,,,,,
104,05/21/16 02:00:25 PM,58.152,,,,,
105,05/21/16 02:15:25 PM,58.325,,,,,
106,05/21/16 02:30:25 PM,58.455,,,,,
107,05/21/16 02:45:25 PM,58.582,,,,,
108,05/21/16 03:00:25 PM,58.755,,,,,
109,05/21/16 03:15:25 PM,58.885,,,,,
110,05/21/16 03:30:25 PM,58.971,,,,,
111,05/21/16 03:45:25 PM,59.056,,,,,
112,05/21/16 04:00:25 PM,59.185,,,,,
113,05/21/16 04:15:25 PM,59.272,,,,,
114,05/21/16 04:30:25 PM,59.358,,,,,
115,05/21/16 04:45:25 PM,59.445,,,,,
116,05/21/16 05:00:25 PM,59.486,,,,,
117,05/21/16 05:15:25 PM,59.486,,,,,
118,05/21/16 05:30:25 PM,59.486,,,,,
119,05/21/16 05:45:25 PM,59.445,,,,,
120,05/21/16 06:00:25 PM,59.358,,,,,
121,05/21/16 06:15:25 PM,59.315,,,,,
122,05/21/16 06:30:25 PM,59.272,,,,,
123,05/21/16 06:45:25 PM,59.185,,,,,
124,05/21/16 07:00:25 PM,59.142,,,,,
125,05/21/16 07:15:25 PM,59.056,,,,,
126,05/21/16 07:30:25 PM,58.928,,,,,
127,05/21/16 07:45:25 PM,58.842,,,,,
128,05/21/16 08:00:25 PM,58.712,,,,,
129,05/21/16 08:15:25 PM,58.626,,,,,
130,05/21/16 08:30:25 PM,58.498,,,,,
