"Plot Title: Niobrara River- Pink Schoolhouse"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9783605, SEN S/N: 9783605)","Coupler Detached (LGR S/N: 9783605)","Coupler Attached (LGR S/N: 9783605)","Host Connected (LGR S/N: 9783605)","Stopped (LGR S/N: 9783605)","End Of File (LGR S/N: 9783605)"
1,05/20/16 03:00:00 PM,66.900,Logged,,,,
2,05/20/16 03:15:00 PM,67.285,,,,,
3,05/20/16 03:30:00 PM,67.757,,,,,
4,05/20/16 03:45:00 PM,68.099,,,,,
5,05/20/16 04:00:00 PM,68.484,,,,,
6,05/20/16 04:15:00 PM,68.828,,,,,
7,05/20/16 04:30:00 PM,69.170,,,,,
8,05/20/16 04:45:00 PM,69.343,,,,,
9,05/20/16 05:00:00 PM,69.343,,,,,
10,05/20/16 05:15:00 PM,69.343,,,,,
11,05/20/16 05:30:00 PM,69.343,,,,,
12,05/20/16 05:45:00 PM,69.256,,,,,
13,05/20/16 06:00:00 PM,69.256,,,,,
14,05/20/16 06:15:00 PM,69.256,,,,,
15,05/20/16 06:30:00 PM,69.170,,,,,
16,05/20/16 06:45:00 PM,69.085,,,,,
17,05/20/16 07:00:00 PM,69.042,,,,,
18,05/20/16 07:15:00 PM,68.956,,,,,
19,05/20/16 07:30:00 PM,68.913,,,,,
20,05/20/16 07:45:00 PM,68.828,,,,,
21,05/20/16 08:00:00 PM,68.742,,,,,
22,05/20/16 08:15:00 PM,68.614,,,,,
23,05/20/16 08:30:00 PM,68.443,,,,,
24,05/20/16 08:45:00 PM,68.227,,,,,
25,05/20/16 09:00:00 PM,68.013,,,,,
26,05/20/16 09:15:00 PM,67.798,,,,,
27,05/20/16 09:30:00 PM,67.543,,,,,
28,05/20/16 09:45:00 PM,67.329,,,,,
29,05/20/16 10:00:00 PM,67.071,,,,,
30,05/20/16 10:15:00 PM,66.814,,,,,
31,05/20/16 10:30:00 PM,66.558,,,,,
32,05/20/16 10:45:00 PM,66.301,,,,,
33,05/20/16 11:00:00 PM,66.087,,,,,
34,05/20/16 11:15:00 PM,65.872,,,,,
35,05/20/16 11:30:00 PM,65.658,,,,,
36,05/20/16 11:45:00 PM,65.444,,,,,
37,05/21/16 12:00:00 AM,65.188,,,,,
38,05/21/16 12:15:00 AM,64.974,,,,,
39,05/21/16 12:30:00 AM,64.760,,,,,
40,05/21/16 12:45:00 AM,64.589,,,,,
41,05/21/16 01:00:00 AM,64.375,,,,,
42,05/21/16 01:15:00 AM,64.204,,,,,
43,05/21/16 01:30:00 AM,64.033,,,,,
44,05/21/16 01:45:00 AM,63.819,,,,,
45,05/21/16 02:00:00 AM,63.648,,,,,
46,05/21/16 02:15:00 AM,63.518,,,,,
47,05/21/16 02:30:00 AM,63.390,,,,,
48,05/21/16 02:45:00 AM,63.262,,,,,
49,05/21/16 03:00:00 AM,63.219,,,,,
50,05/21/16 03:15:00 AM,63.090,,,,,
51,05/21/16 03:30:00 AM,63.005,,,,,
52,05/21/16 03:45:00 AM,62.919,,,,,
53,05/21/16 04:00:00 AM,62.834,,,,,
54,05/21/16 04:15:00 AM,62.791,,,,,
55,05/21/16 04:30:00 AM,62.704,,,,,
56,05/21/16 04:45:00 AM,62.661,,,,,
57,05/21/16 05:00:00 AM,62.577,,,,,
58,05/21/16 05:15:00 AM,62.533,,,,,
59,05/21/16 05:30:00 AM,62.447,,,,,
60,05/21/16 05:45:00 AM,62.406,,,,,
61,05/21/16 06:00:00 AM,62.362,,,,,
62,05/21/16 06:15:00 AM,62.276,,,,,
63,05/21/16 06:30:00 AM,62.233,,,,,
64,05/21/16 06:45:00 AM,62.191,,,,,
65,05/21/16 07:00:00 AM,62.105,,,,,
66,05/21/16 07:15:00 AM,62.062,,,,,
67,05/21/16 07:30:00 AM,61.977,,,,,
68,05/21/16 07:45:00 AM,61.934,,,,,
69,05/21/16 08:00:00 AM,61.848,,,,,
70,05/21/16 08:15:00 AM,61.804,,,,,
71,05/21/16 08:30:00 AM,61.804,,,,,
72,05/21/16 08:45:00 AM,61.848,,,,,
73,05/21/16 09:00:00 AM,61.891,,,,,
74,05/21/16 09:15:00 AM,61.977,,,,,
75,05/21/16 09:30:00 AM,62.062,,,,,
76,05/21/16 09:45:00 AM,62.062,,,,,
77,05/21/16 10:00:00 AM,62.019,,,,,
78,05/21/16 10:15:00 AM,62.019,,,,,
79,05/21/16 10:30:00 AM,61.977,,,,,
80,05/21/16 10:45:00 AM,62.019,,,,,
81,05/21/16 11:00:00 AM,61.977,,,,,
82,05/21/16 11:15:00 AM,61.977,,,,,
83,05/21/16 11:30:00 AM,62.019,,,,,
84,05/21/16 11:45:00 AM,62.062,,,,,
85,05/21/16 12:00:00 PM,62.105,,,,,
86,05/21/16 12:15:00 PM,62.191,,,,,
87,05/21/16 12:30:00 PM,62.447,,,,,
88,05/21/16 12:45:00 PM,62.533,,,,,
89,05/21/16 01:00:00 PM,62.620,,,,,
90,05/21/16 01:15:00 PM,62.748,,,,,
91,05/21/16 01:30:00 PM,62.834,,,,,
92,05/21/16 01:45:00 PM,63.005,,,,,
93,05/21/16 02:00:00 PM,63.133,,,,,
94,05/21/16 02:15:00 PM,63.219,,,,,
95,05/21/16 02:30:00 PM,63.219,,,,,
96,05/21/16 02:45:00 PM,63.347,,,,,
97,05/21/16 03:00:00 PM,63.433,,,,,
98,05/21/16 03:15:00 PM,63.561,,,,,
99,05/21/16 03:30:00 PM,63.604,,,,,
100,05/21/16 03:45:00 PM,63.775,,,,,
101,05/21/16 04:00:00 PM,63.990,,,,,
102,05/21/16 04:15:00 PM,64.117,,,,,
103,05/21/16 04:30:00 PM,64.288,,,,,
104,05/21/16 04:45:00 PM,64.503,,,,,
