"Plot Title: Pine Creek Middle"
"#","Date Time, GMT-06:00","Max: Temperature, °F (LGR S/N: 10719014)","Coupler Detached (LGR S/N: 10719014)","Coupler Attached (LGR S/N: 10719014)","Host Connected (LGR S/N: 10719014)","Stopped (LGR S/N: 10719014)","End Of File (LGR S/N: 10719014)"
1,12/08/15 06:00:00 PM,39.877,Logged,,,,
2,12/08/15 07:00:00 PM,39.078,,,,,
3,12/08/15 08:00:00 PM,38.795,,,,,
4,12/08/15 09:00:00 PM,38.464,,,,,
5,12/08/15 10:00:00 PM,38.084,,,,,
6,12/08/15 11:00:00 PM,37.702,,,,,
7,12/09/15 12:00:00 AM,37.321,,,,,
8,12/09/15 01:00:00 AM,37.035,,,,,
9,12/09/15 02:00:00 AM,36.747,,,,,
10,12/09/15 03:00:00 AM,36.554,,,,,
11,12/09/15 04:00:00 AM,36.361,,,,,
12,12/09/15 05:00:00 AM,36.266,,,,,
13,12/09/15 06:00:00 AM,36.169,,,,,
14,12/09/15 07:00:00 AM,36.120,,,,,
15,12/09/15 08:00:00 AM,36.072,,,,,
16,12/09/15 09:00:00 AM,36.025,,,,,
17,12/09/15 10:00:00 AM,36.025,,,,,
18,12/09/15 11:00:00 AM,36.266,,,,,
19,12/09/15 12:00:00 PM,36.747,,,,,
20,12/09/15 01:00:00 PM,37.369,,,,,
21,12/09/15 02:00:00 PM,38.084,,,,,
22,12/09/15 03:00:00 PM,38.748,,,,,
23,12/09/15 04:00:00 PM,39.124,,,,,
24,12/09/15 05:00:00 PM,39.360,,,,,
25,12/09/15 06:00:00 PM,39.407,,,,,
26,12/09/15 07:00:00 PM,39.407,,,,,
27,12/09/15 08:00:00 PM,39.267,,,,,
28,12/09/15 09:00:00 PM,39.031,,,,,
29,12/09/15 10:00:00 PM,38.842,,,,,
30,12/09/15 11:00:00 PM,38.653,,,,,
31,12/10/15 12:00:00 AM,38.511,,,,,
32,12/10/15 01:00:00 AM,38.368,,,,,
33,12/10/15 02:00:00 AM,38.273,,,,,
34,12/10/15 03:00:00 AM,38.131,,,,,
35,12/10/15 04:00:00 AM,37.989,,,,,
36,12/10/15 05:00:00 AM,37.893,,,,,
37,12/10/15 06:00:00 AM,37.702,,,,,
38,12/10/15 07:00:00 AM,37.513,,,,,
39,12/10/15 08:00:00 AM,37.321,,,,,
40,12/10/15 09:00:00 AM,37.130,,,,,
41,12/10/15 10:00:00 AM,36.939,,,,,
42,12/10/15 11:00:00 AM,36.795,,,,,
43,12/10/15 12:00:00 PM,36.891,,,,,
44,12/10/15 01:00:00 PM,37.179,,,,,
45,12/10/15 02:00:00 PM,37.560,,,,,
46,12/10/15 03:00:00 PM,37.893,,,,,
47,12/10/15 04:00:00 PM,38.179,,,,,
48,12/10/15 05:00:00 PM,38.368,,,,,
49,12/10/15 06:00:00 PM,38.464,,,,,
50,12/10/15 07:00:00 PM,38.464,,,,,
51,12/10/15 08:00:00 PM,38.415,,,,,
52,12/10/15 09:00:00 PM,38.322,,,,,
53,12/10/15 10:00:00 PM,38.226,,,,,
54,12/10/15 11:00:00 PM,38.131,,,,,
55,12/11/15 12:00:00 AM,37.989,,,,,
56,12/11/15 01:00:00 AM,37.893,,,,,
57,12/11/15 02:00:00 AM,37.798,,,,,
58,12/11/15 03:00:00 AM,37.702,,,,,
59,12/11/15 04:00:00 AM,37.609,,,,,
60,12/11/15 05:00:00 AM,37.465,,,,,
61,12/11/15 06:00:00 AM,37.321,,,,,
62,12/11/15 07:00:00 AM,37.179,,,,,
63,12/11/15 08:00:00 AM,37.035,,,,,
64,12/11/15 09:00:00 AM,36.939,,,,,
65,12/11/15 10:00:00 AM,36.795,,,,,
66,12/11/15 11:00:00 AM,36.698,,,,,
67,12/11/15 12:00:00 PM,36.842,,,,,
68,12/11/15 01:00:00 PM,37.081,,,,,
69,12/11/15 02:00:00 PM,37.465,,,,,
70,12/11/15 03:00:00 PM,37.846,,,,,
71,12/11/15 04:00:00 PM,38.226,,,,,
72,12/11/15 05:00:00 PM,38.511,,,,,
73,12/11/15 06:00:00 PM,38.653,,,,,
74,12/11/15 07:00:00 PM,38.700,,,,,
75,12/11/15 08:00:00 PM,38.653,,,,,
76,12/11/15 09:00:00 PM,38.557,,,,,
77,12/11/15 10:00:00 PM,38.415,,,,,
78,12/11/15 11:00:00 PM,38.273,,,,,
79,12/12/15 12:00:00 AM,38.179,,,,,
80,12/12/15 01:00:00 AM,38.037,,,,,
81,12/12/15 02:00:00 AM,37.942,,,,,
82,12/12/15 03:00:00 AM,37.846,,,,,
83,12/12/15 04:00:00 AM,37.798,,,,,
84,12/12/15 05:00:00 AM,37.702,,,,,
85,12/12/15 06:00:00 AM,37.609,,,,,
86,12/12/15 07:00:00 AM,37.513,,,,,
87,12/12/15 08:00:00 AM,37.465,,,,,
88,12/12/15 09:00:00 AM,37.369,,,,,
89,12/12/15 10:00:00 AM,37.321,,,,,
90,12/12/15 11:00:00 AM,37.225,,,,,
91,12/12/15 12:00:00 PM,37.179,,,,,
