"Plot Title: Pine Creek South"
"#","Date Time, GMT-06:00","Avg: Temperature, °F (LGR S/N: 10719012)","Coupler Detached (LGR S/N: 10719012)","Coupler Attached (LGR S/N: 10719012)","Host Connected (LGR S/N: 10719012)","Stopped (LGR S/N: 10719012)","End Of File (LGR S/N: 10719012)"
1,12/08/15 06:00:00 PM,35.029,Logged,,,,
2,12/08/15 07:00:00 PM,34.468,,,,,
3,12/08/15 08:00:00 PM,34.112,,,,,
4,12/08/15 09:00:00 PM,33.965,,,,,
5,12/08/15 10:00:00 PM,33.891,,,,,
6,12/08/15 11:00:00 PM,33.855,,,,,
7,12/09/15 12:00:00 AM,33.831,,,,,
8,12/09/15 01:00:00 AM,33.831,,,,,
9,12/09/15 02:00:00 AM,33.818,,,,,
10,12/09/15 03:00:00 AM,33.843,,,,,
11,12/09/15 04:00:00 AM,33.916,,,,,
12,12/09/15 05:00:00 AM,34.015,,,,,
13,12/09/15 06:00:00 AM,34.149,,,,,
14,12/09/15 07:00:00 AM,34.211,,,,,
15,12/09/15 08:00:00 AM,34.187,,,,,
16,12/09/15 09:00:00 AM,34.406,,,,,
17,12/09/15 10:00:00 AM,35.066,,,,,
18,12/09/15 11:00:00 AM,36.193,,,,,
19,12/09/15 12:00:00 PM,37.345,,,,,
20,12/09/15 01:00:00 PM,38.107,,,,,
21,12/09/15 02:00:00 PM,38.345,,,,,
22,12/09/15 03:00:00 PM,37.977,,,,,
23,12/09/15 04:00:00 PM,37.369,,,,,
24,12/09/15 05:00:00 PM,36.687,,,,,
25,12/09/15 06:00:00 PM,36.072,,,,,
26,12/09/15 07:00:00 PM,35.637,,,,,
27,12/09/15 08:00:00 PM,35.431,,,,,
28,12/09/15 09:00:00 PM,35.407,,,,,
29,12/09/15 10:00:00 PM,35.480,,,,,
30,12/09/15 11:00:00 PM,35.528,,,,,
31,12/10/15 12:00:00 AM,35.468,,,,,
32,12/10/15 01:00:00 AM,35.273,,,,,
33,12/10/15 02:00:00 AM,35.298,,,,,
34,12/10/15 03:00:00 AM,35.273,,,,,
35,12/10/15 04:00:00 AM,34.993,,,,,
36,12/10/15 05:00:00 AM,34.639,,,,,
37,12/10/15 06:00:00 AM,34.345,,,,,
38,12/10/15 07:00:00 AM,34.149,,,,,
39,12/10/15 08:00:00 AM,33.990,,,,,
