"Plot Title: Plum #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719017, SEN S/N: 10719017)","Coupler Detached (LGR S/N: 10719017)","Coupler Attached (LGR S/N: 10719017)","Host Connected (LGR S/N: 10719017)","Stopped (LGR S/N: 10719017)","End Of File (LGR S/N: 10719017)"
1,11/05/15 06:15:00 PM,50.135,Logged,,,,
2,11/05/15 06:30:00 PM,49.825,,,,,
3,11/05/15 06:45:00 PM,49.737,,,,,
4,11/05/15 07:00:00 PM,49.649,,,,,
5,11/05/15 07:15:00 PM,49.604,,,,,
6,11/05/15 07:30:00 PM,49.516,,,,,
7,11/05/15 07:45:00 PM,49.471,,,,,
8,11/05/15 08:00:00 PM,49.428,,,,,
9,11/05/15 08:15:00 PM,49.338,,,,,
10,11/05/15 08:30:00 PM,49.249,,,,,
11,11/05/15 08:45:00 PM,49.161,,,,,
12,11/05/15 09:00:00 PM,49.073,,,,,
13,11/05/15 09:15:00 PM,48.938,,,,,
14,11/05/15 09:30:00 PM,48.805,,,,,
15,11/05/15 09:45:00 PM,48.672,,,,,
16,11/05/15 10:00:00 PM,48.493,,,,,
17,11/05/15 10:15:00 PM,48.360,,,,,
18,11/05/15 10:30:00 PM,48.182,,,,,
19,11/05/15 10:45:00 PM,48.004,,,,,
20,11/05/15 11:00:00 PM,47.871,,,,,
21,11/05/15 11:15:00 PM,47.691,,,,,
22,11/05/15 11:30:00 PM,47.602,,,,,
23,11/05/15 11:45:00 PM,47.512,,,,,
24,11/06/15 12:00:00 AM,47.422,,,,,
25,11/06/15 12:15:00 AM,47.289,,,,,
26,11/06/15 12:30:00 AM,47.154,,,,,
27,11/06/15 12:45:00 AM,47.019,,,,,
28,11/06/15 01:00:00 AM,46.931,,,,,
29,11/06/15 01:15:00 AM,46.841,,,,,
30,11/06/15 01:30:00 AM,46.706,,,,,
31,11/06/15 01:45:00 AM,46.661,,,,,
32,11/06/15 02:00:00 AM,46.571,,,,,
33,11/06/15 02:15:00 AM,46.481,,,,,
34,11/06/15 02:30:00 AM,46.391,,,,,
35,11/06/15 02:45:00 AM,46.301,,,,,
36,11/06/15 03:00:00 AM,46.211,,,,,
37,11/06/15 03:15:00 AM,46.121,,,,,
38,11/06/15 03:30:00 AM,46.031,,,,,
39,11/06/15 03:45:00 AM,45.986,,,,,
40,11/06/15 04:00:00 AM,45.941,,,,,
41,11/06/15 04:15:00 AM,45.896,,,,,
42,11/06/15 04:30:00 AM,45.806,,,,,
43,11/06/15 04:45:00 AM,45.714,,,,,
44,11/06/15 05:00:00 AM,45.579,,,,,
45,11/06/15 05:15:00 AM,45.489,,,,,
46,11/06/15 05:30:00 AM,45.399,,,,,
47,11/06/15 05:45:00 AM,45.262,,,,,
48,11/06/15 06:00:00 AM,45.172,,,,,
49,11/06/15 06:15:00 AM,45.082,,,,,
50,11/06/15 06:30:00 AM,44.991,,,,,
51,11/06/15 06:45:00 AM,44.901,,,,,
52,11/06/15 07:00:00 AM,44.856,,,,,
53,11/06/15 07:15:00 AM,44.764,,,,,
54,11/06/15 07:30:00 AM,44.674,,,,,
55,11/06/15 07:45:00 AM,44.627,,,,,
56,11/06/15 08:00:00 AM,44.582,,,,,
57,11/06/15 08:15:00 AM,44.492,,,,,
58,11/06/15 08:30:00 AM,44.445,,,,,
59,11/06/15 08:45:00 AM,44.355,,,,,
60,11/06/15 09:00:00 AM,44.310,,,,,
61,11/06/15 09:15:00 AM,44.218,,,,,
62,11/06/15 09:30:00 AM,44.173,,,,,
63,11/06/15 09:45:00 AM,44.127,,,,,
64,11/06/15 10:00:00 AM,44.082,,,,,
65,11/06/15 10:15:00 AM,44.127,,,,,
66,11/06/15 10:30:00 AM,44.173,,,,,
