"Plot Title: PL#3"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739549, SEN S/N: 10739549)","Coupler Detached (LGR S/N: 10739549)","Coupler Attached (LGR S/N: 10739549)","Host Connected (LGR S/N: 10739549)","Stopped (LGR S/N: 10739549)","End Of File (LGR S/N: 10739549)"
1,06/13/16 08:00:00 PM,74.986,Logged,,,,
2,06/13/16 08:15:00 PM,74.856,,,,,
3,06/13/16 08:30:00 PM,74.770,,,,,
4,06/13/16 08:45:00 PM,74.640,,,,,
5,06/13/16 09:00:00 PM,74.424,,,,,
6,06/13/16 09:15:00 PM,74.338,,,,,
7,06/13/16 09:30:00 PM,74.163,,,,,
8,06/13/16 09:45:00 PM,74.034,,,,,
9,06/13/16 10:00:00 PM,73.904,,,,,
10,06/13/16 10:15:00 PM,73.731,,,,,
11,06/13/16 10:30:00 PM,73.602,,,,,
12,06/13/16 10:45:00 PM,73.429,,,,,
13,06/13/16 11:00:00 PM,73.299,,,,,
14,06/13/16 11:15:00 PM,73.170,,,,,
15,06/13/16 11:30:00 PM,72.997,,,,,
16,06/13/16 11:45:00 PM,72.826,,,,,
17,06/14/16 12:00:00 AM,72.696,,,,,
18,06/14/16 12:15:00 AM,72.523,,,,,
19,06/14/16 12:30:00 AM,72.394,,,,,
20,06/14/16 12:45:00 AM,72.221,,,,,
21,06/14/16 01:00:00 AM,72.093,,,,,
22,06/14/16 01:15:00 AM,71.964,,,,,
23,06/14/16 01:30:00 AM,71.791,,,,,
24,06/14/16 01:45:00 AM,71.577,,,,,
25,06/14/16 02:00:00 AM,71.404,,,,,
26,06/14/16 02:15:00 AM,71.231,,,,,
27,06/14/16 02:30:00 AM,71.017,,,,,
28,06/14/16 02:45:00 AM,70.846,,,,,
29,06/14/16 03:00:00 AM,70.587,,,,,
30,06/14/16 03:15:00 AM,70.416,,,,,
31,06/14/16 03:30:00 AM,70.201,,,,,
32,06/14/16 03:45:00 AM,69.985,,,,,
33,06/14/16 04:00:00 AM,69.814,,,,,
34,06/14/16 04:15:00 AM,69.643,,,,,
35,06/14/16 04:30:00 AM,69.427,,,,,
36,06/14/16 04:45:00 AM,69.256,,,,,
37,06/14/16 05:00:00 AM,69.085,,,,,
38,06/14/16 05:15:00 AM,68.913,,,,,
39,06/14/16 05:30:00 AM,68.742,,,,,
40,06/14/16 05:45:00 AM,68.614,,,,,
41,06/14/16 06:00:00 AM,68.484,,,,,
42,06/14/16 06:15:00 AM,68.313,,,,,
43,06/14/16 06:30:00 AM,68.185,,,,,
44,06/14/16 06:45:00 AM,68.099,,,,,
45,06/14/16 07:00:00 AM,67.971,,,,,
46,06/14/16 07:15:00 AM,67.842,,,,,
47,06/14/16 07:30:00 AM,67.757,,,,,
48,06/14/16 07:45:00 AM,67.627,,,,,
49,06/14/16 08:00:00 AM,67.543,,,,,
50,06/14/16 08:15:00 AM,67.500,,,,,
51,06/14/16 08:30:00 AM,67.456,,,,,
52,06/14/16 08:45:00 AM,67.413,,,,,
53,06/14/16 09:00:00 AM,67.372,,,,,
54,06/14/16 09:15:00 AM,67.413,,,,,
55,06/14/16 09:30:00 AM,67.500,,,,,
