Plot Title: Plum #9							
#	"Date Time, GMT-05:00"	"Temp, °F (LGR S/N: 10719025, SEN S/N: 10719025)"	Coupler Detached (LGR S/N: 10719025)	Coupler Attached (LGR S/N: 10719025)	Host Connected (LGR S/N: 10719025)	Stopped (LGR S/N: 10719025)	End Of File (LGR S/N: 10719025)
1	6/14/2016 10:00	64.674	Logged				
2	6/14/2016 10:15	65.23					
3	6/14/2016 10:30	65.745					
4	6/14/2016 10:45	66.344					
5	6/14/2016 11:00	66.943					
6	6/14/2016 11:15	67.5					
7	6/14/2016 11:30	67.928					
8	6/14/2016 11:45	68.4					
9	6/14/2016 12:00	69.042					
10	6/14/2016 12:15	69.6					
11	6/14/2016 12:30	70.158					
12	6/14/2016 12:45	70.587					
13	6/14/2016 13:00	71.017					
14	6/14/2016 13:15	71.49					
15	6/14/2016 13:30	72.221					
16	6/14/2016 13:45	72.869					
17	6/14/2016 14:00	73.558					
18	6/14/2016 14:15	74.077					
19	6/14/2016 14:30	74.206					
20	6/14/2016 14:45	74.511					
21	6/14/2016 15:00	73.947					
22	6/14/2016 15:15	73.515					
23	6/14/2016 15:30	73.818					
24	6/14/2016 15:45	74.12					
25	6/14/2016 16:00	74.511					
26	6/14/2016 16:15	74.25					
27	6/14/2016 16:30	73.602					
28	6/14/2016 16:45	72.739					
29	6/14/2016 17:00	72.05					
30	6/14/2016 17:15	71.274					
31	6/14/2016 17:30	68.913					
32	6/14/2016 17:45	69.386					
33	6/14/2016 18:00	69.858					
34	6/14/2016 18:15	70.029					
35	6/14/2016 18:30	70.201					
36	6/14/2016 18:45	70.201					
37	6/14/2016 19:00	70.201					
38	6/14/2016 19:15	69.942					
39	6/14/2016 19:30	69.6					
40	6/14/2016 19:45	69.213					
41	6/14/2016 20:00	68.871					
42	6/14/2016 20:15	68.527					
43	6/14/2016 20:30	68.142					
44	6/14/2016 20:45	67.714					
45	6/14/2016 21:00	67.372					
46	6/14/2016 21:15	66.985					
47	6/14/2016 21:30	66.686					
48	6/14/2016 21:45	66.385					
49	6/14/2016 22:00	66.087					
50	6/14/2016 22:15	65.872					
51	6/14/2016 22:30	65.615					
52	6/14/2016 22:45	65.403					
53	6/14/2016 23:00	65.188					
54	6/14/2016 23:15	64.974					
55	6/14/2016 23:30	64.803					
56	6/14/2016 23:45	64.589					
57	6/15/2016 0:00	64.332					
58	6/15/2016 0:15	64.117					
59	6/15/2016 0:30	63.903					
60	6/15/2016 0:45	63.732					
61	6/15/2016 1:00	63.518					
62	6/15/2016 1:15	63.304					
63	6/15/2016 1:30	63.09					
64	6/15/2016 1:45	62.875					
65	6/15/2016 2:00	62.661					
66	6/15/2016 2:15	62.49					
67	6/15/2016 2:30	62.276					
68	6/15/2016 2:45	62.105					
69	6/15/2016 3:00	61.934					
70	6/15/2016 3:15	61.761					
71	6/15/2016 3:30	61.59					
72	6/15/2016 3:45	61.419					
73	6/15/2016 4:00	61.29					
74	6/15/2016 4:15	61.119					
75	6/15/2016 4:30	60.991					
76	6/15/2016 4:45	60.818					
77	6/15/2016 5:00	60.69					
78	6/15/2016 5:15	60.561					
79	6/15/2016 5:30	60.474					
80	6/15/2016 5:45	60.346					
81	6/15/2016 6:00	60.217					
82	6/15/2016 6:15	60.089					
83	6/15/2016 6:30	60.003					
84	6/15/2016 6:45	59.916					
85	6/15/2016 7:00	59.83					
86	6/15/2016 7:15	59.788					
87	6/15/2016 7:30	59.83					
88	6/15/2016 7:45	59.873					
89	6/15/2016 8:00	60.003					
90	6/15/2016 8:15	60.217					
91	6/15/2016 8:30	60.517					
92	6/15/2016 8:45	60.904					
93	6/15/2016 9:00	61.29					
94	6/15/2016 9:15	61.761					
95	6/15/2016 9:30	62.319					
96	6/15/2016 9:45	62.875					
97	6/15/2016 10:00	63.518					
98	6/15/2016 10:15	64.161					
99	6/15/2016 10:30	64.803					
100	6/15/2016 10:45	65.487					
101	6/15/2016 11:00	66.173					
102	6/15/2016 11:15	66.9					
103	6/15/2016 11:30	67.586					
104	6/15/2016 11:45	68.27					
105	6/15/2016 12:00	68.956					
106	6/15/2016 12:15	69.685					
107	6/15/2016 12:30	70.372					
108	6/15/2016 12:45	71.103					
109	6/15/2016 13:00	71.834					
110	6/15/2016 13:15	72.523					
111	6/15/2016 13:30	73.17					
112	6/15/2016 13:45	73.731					
113	6/15/2016 14:00	74.25					
114	6/15/2016 14:15	74.727					
115	6/15/2016 14:30	75.16					
116	6/15/2016 14:45	75.508					
117	6/15/2016 15:00	75.853					
118	6/15/2016 15:15	76.158					
119	6/15/2016 15:30	76.419					
120	6/15/2016 15:45	76.636					
121	6/15/2016 16:00	76.811					
122	6/15/2016 16:15	76.854					
123	6/15/2016 16:30	76.854					
124	6/15/2016 16:45	76.811					
125	6/15/2016 17:00	76.681					
126	6/15/2016 17:15	76.507					
127	6/15/2016 17:30	76.289					
128	6/15/2016 17:45	76.028					
129	6/15/2016 18:00	75.681					
130	6/15/2016 18:15	75.333					
131	6/15/2016 18:30	74.899					
132	6/15/2016 18:45	74.424					
133	6/15/2016 19:00	73.904					
134	6/15/2016 19:15	73.342					
135	6/15/2016 19:30	72.783					
136	6/15/2016 19:45	72.221					
137	6/15/2016 20:00	71.62					
138	6/15/2016 20:15	71.017					
139	6/15/2016 20:30	70.416					
140	6/15/2016 20:45	69.771					
141	6/15/2016 21:00	69.17					
142	6/15/2016 21:15	68.571					
143	6/15/2016 21:30	68.013					
144	6/15/2016 21:45	67.543					
145	6/15/2016 22:00	67.071					
146	6/15/2016 22:15	66.686					
147	6/15/2016 22:30	66.344					
148	6/15/2016 22:45	66.043					
149	6/15/2016 23:00	65.788					
150	6/15/2016 23:15	65.53					
151	6/15/2016 23:30	65.316					
152	6/15/2016 23:45	65.145					
153	6/16/2016 0:00	64.974					
154	6/16/2016 0:15	64.803					
155	6/16/2016 0:30	64.589					
156	6/16/2016 0:45	64.459					
157	6/16/2016 1:00	64.247					
158	6/16/2016 1:15	64.074					
159	6/16/2016 1:30	63.946					
160	6/16/2016 1:45	63.775					
161	6/16/2016 2:00	63.648					
162	6/16/2016 2:15	63.518					
163	6/16/2016 2:30	63.347					
164	6/16/2016 2:45	63.219					
165	6/16/2016 3:00	63.09					
166	6/16/2016 3:15	62.919					
167	6/16/2016 3:30	62.791					
168	6/16/2016 3:45	62.661					
169	6/16/2016 4:00	62.533					
170	6/16/2016 4:15	62.406					
171	6/16/2016 4:30	62.276					
172	6/16/2016 4:45	62.148					
173	6/16/2016 5:00	61.977					
174	6/16/2016 5:15	61.848					
175	6/16/2016 5:30	61.677					
176	6/16/2016 5:45	61.462					
177	6/16/2016 6:00	61.29					
178	6/16/2016 6:15	61.162					
179	6/16/2016 6:30	60.991					
180	6/16/2016 6:45	60.904					
181	6/16/2016 7:00	60.818					
182	6/16/2016 7:15	60.733					
183	6/16/2016 7:30	60.733					
184	6/16/2016 7:45	60.775					
185	6/16/2016 8:00	60.861					
186	6/16/2016 8:15	61.032					
187	6/16/2016 8:30	61.333					
188	6/16/2016 8:45	61.677					
189	6/16/2016 9:00	62.105					
190	6/16/2016 9:15	62.62					
191	6/16/2016 9:30	63.133					
192	6/16/2016 9:45	63.775					
193	6/16/2016 10:00	64.418					
194	6/16/2016 10:15	65.059					
195	6/16/2016 10:30	65.788					
196	6/16/2016 10:45	66.515					
197	6/16/2016 11:00	67.242					
198	6/16/2016 11:15	67.971					
199	6/16/2016 11:30	68.698					
200	6/16/2016 11:45	69.471					
201	6/16/2016 12:00	70.201					
202	6/16/2016 12:15	70.93					
203	6/16/2016 12:30	71.661					
204	6/16/2016 12:45	72.351					
205	6/16/2016 13:00	73.04					
206	6/16/2016 13:15	73.731					
207	6/16/2016 13:30	74.338					
208	6/16/2016 13:45	74.899					
209	6/16/2016 14:00	75.463					
210	6/16/2016 14:15	75.942					
211	6/16/2016 14:30	76.375					
212	6/16/2016 14:45	76.768					
213	6/16/2016 15:00	77.117					
214	6/16/2016 15:15	77.421					
215	6/16/2016 15:30	77.639					
216	6/16/2016 15:45	77.727					
217	6/16/2016 16:00	77.815					
218	6/16/2016 16:15	77.859					
219	6/16/2016 16:30	77.815					
220	6/16/2016 16:45	77.727					
221	6/16/2016 17:00	77.596					
222	6/16/2016 17:15	77.378					
223	6/16/2016 17:30	77.117					
224	6/16/2016 17:45	76.811					
225	6/16/2016 18:00	76.464					
226	6/16/2016 18:15	76.028					
227	6/16/2016 18:30	75.551					
228	6/16/2016 18:45	75.029					
229	6/16/2016 19:00	74.467					
230	6/16/2016 19:15	73.861					
231	6/16/2016 19:30	73.256					
232	6/16/2016 19:45	72.653					
233	6/16/2016 20:00	72.05					
234	6/16/2016 20:15	71.447					
235	6/16/2016 20:30	70.803					
236	6/16/2016 20:45	70.201					
237	6/16/2016 21:00	69.6					
238	6/16/2016 21:15	68.999					
239	6/16/2016 21:30	68.443					
240	6/16/2016 21:45	67.928					
241	6/16/2016 22:00	67.456					
242	6/16/2016 22:15	66.985					
243	6/16/2016 22:30	66.6					
244	6/16/2016 22:45	66.258					
245	6/16/2016 23:00	65.916					
246	6/16/2016 23:15	65.658					
247	6/16/2016 23:30	65.487					
248	6/16/2016 23:45	65.359					
249	6/17/2016 0:00	65.273					
250	6/17/2016 0:15	65.188					
251	6/17/2016 0:30	65.102					
252	6/17/2016 0:45	65.017					
253	6/17/2016 1:00	64.888					
254	6/17/2016 1:15	64.76					
255	6/17/2016 1:30	64.674					
256	6/17/2016 1:45	64.546					
257	6/17/2016 2:00	64.418					
258	6/17/2016 2:15	64.288					
259	6/17/2016 2:30	64.161					
260	6/17/2016 2:45	63.99					
261	6/17/2016 3:00	63.819					
262	6/17/2016 3:15	63.689					
263	6/17/2016 3:30	63.518					
264	6/17/2016 3:45	63.39					
265	6/17/2016 4:00	63.219					
266	6/17/2016 4:15	63.09					
267	6/17/2016 4:30	62.962					
268	6/17/2016 4:45	62.834					
269	6/17/2016 5:00	62.661					
270	6/17/2016 5:15	62.533					
271	6/17/2016 5:30	62.406					
272	6/17/2016 5:45	62.233					
273	6/17/2016 6:00	62.105					
274	6/17/2016 6:15	61.977					
275	6/17/2016 6:30	61.891					
276	6/17/2016 6:45	61.848					
277	6/17/2016 7:00	61.761					
278	6/17/2016 7:15	61.761					
279	6/17/2016 7:30	61.761					
280	6/17/2016 7:45	61.848					
281	6/17/2016 8:00	61.977					
282	6/17/2016 8:15	62.105					
283	6/17/2016 8:30	62.362					
284	6/17/2016 8:45	62.661					
285	6/17/2016 9:00	63.048					
286	6/17/2016 9:15	63.475					
287	6/17/2016 9:30	63.903					
288	6/17/2016 9:45	64.332					
289	6/17/2016 10:00	64.845					
290	6/17/2016 10:15	65.23					
291	6/17/2016 10:30	65.574					
292	6/17/2016 10:45	65.872					
293	6/17/2016 11:00	66.344					
294	6/17/2016 11:15	66.9					
295	6/17/2016 11:30	67.456					
296	6/17/2016 11:45	68.227					
297	6/17/2016 12:00	69.042					
298	6/17/2016 12:15	69.771					
299	6/17/2016 12:30	70.543					
300	6/17/2016 12:45	71.231					
301	6/17/2016 13:00	71.92					
302	6/17/2016 13:15	72.61					
303	6/17/2016 13:30	73.256					
304	6/17/2016 13:45	73.947					
305	6/17/2016 14:00	74.25					
306	6/17/2016 14:15	74.597					
307	6/17/2016 14:30	74.856					
308	6/17/2016 14:45	74.986					
309	6/17/2016 15:00	75.594					
310	6/17/2016 15:15	75.942					
311	6/17/2016 15:30	76.55					
312	6/17/2016 15:45	76.725					
313	6/17/2016 16:00	76.464					
314	6/17/2016 16:15	76.203					
315	6/17/2016 16:30	75.898					
316	6/17/2016 16:45	75.637					
317	6/17/2016 17:00	75.463					
318	6/17/2016 17:15	75.16					
319	6/17/2016 17:30	74.856					
320	6/17/2016 17:45	74.554					
321	6/17/2016 18:00	74.206					
322	6/17/2016 18:15	73.947					
323	6/17/2016 18:30	73.602					
324	6/17/2016 18:45	73.213					
325	6/17/2016 19:00	72.869					
326	6/17/2016 19:15	72.437					
327	6/17/2016 19:30	71.964					
328	6/17/2016 19:45	71.49					
329	6/17/2016 20:00	70.974					
330	6/17/2016 20:15	70.459					
331	6/17/2016 20:30	69.942					
332	6/17/2016 20:45	69.427					
333	6/17/2016 21:00	68.913					
334	6/17/2016 21:15	68.356					
335	6/17/2016 21:30	67.798					
336	6/17/2016 21:45	67.285					
337	6/17/2016 22:00	66.857					
338	6/17/2016 22:15	66.429					
339	6/17/2016 22:30	66.043					
340	6/17/2016 22:45	65.701					
341	6/17/2016 23:00	65.403					
342	6/17/2016 23:15	65.145					
343	6/17/2016 23:30	64.931					
344	6/17/2016 23:45	64.717					
345	6/18/2016 0:00	64.546					
346	6/18/2016 0:15	64.332					
347	6/18/2016 0:30	64.161					
348	6/18/2016 0:45	63.99					
349	6/18/2016 1:00	63.775					
350	6/18/2016 1:15	63.604					
351	6/18/2016 1:30	63.475					
352	6/18/2016 1:45	63.304					
353	6/18/2016 2:00	63.176					
354	6/18/2016 2:15	63.048					
355	6/18/2016 2:30	62.919					
356	6/18/2016 2:45	62.748					
357	6/18/2016 3:00	62.62					
358	6/18/2016 3:15	62.447					
359	6/18/2016 3:30	62.276					
360	6/18/2016 3:45	62.105					
361	6/18/2016 4:00	61.934					
362	6/18/2016 4:15	61.761					
363	6/18/2016 4:30	61.59					
364	6/18/2016 4:45	61.462					
365	6/18/2016 5:00	61.333					
366	6/18/2016 5:15	61.205					
367	6/18/2016 5:30	61.075					
368	6/18/2016 5:45	60.948					
369	6/18/2016 6:00	60.775					
370	6/18/2016 6:15	60.647					
371	6/18/2016 6:30	60.517					
372	6/18/2016 6:45	60.39					
373	6/18/2016 7:00	60.303					
374	6/18/2016 7:15	60.26					
375	6/18/2016 7:30	60.303					
376	6/18/2016 7:45	60.346					
377	6/18/2016 8:00	60.39					
378	6/18/2016 8:15	60.517					
379	6/18/2016 8:30	60.775					
380	6/18/2016 8:45	61.119					
381	6/18/2016 9:00	61.59					
382	6/18/2016 9:15	62.105					
383	6/18/2016 9:30	62.661					
384	6/18/2016 9:45	63.304					
385	6/18/2016 10:00	63.99					
386	6/18/2016 10:15	64.674					
387	6/18/2016 10:30	65.403					
388	6/18/2016 10:45	66.13					
389	6/18/2016 11:00	66.9					
390	6/18/2016 11:15	67.627					
391	6/18/2016 11:30	68.356					
392	6/18/2016 11:45	69.042					
393	6/18/2016 12:00	69.771					
394	6/18/2016 12:15	70.459					
395	6/18/2016 12:30	71.103					
396	6/18/2016 12:45	71.964					
397	6/18/2016 13:00	72.007					
398	6/18/2016 13:15	71.704					
399	6/18/2016 13:30	71.877					
400	6/18/2016 13:45	72.739					
401	6/18/2016 14:00	73.342					
402	6/18/2016 14:15	73.861					
403	6/18/2016 14:30	74.597					
404	6/18/2016 14:45	75.247					
405	6/18/2016 15:00	75.853					
406	6/18/2016 15:15	76.203					
407	6/18/2016 15:30	76.246					
408	6/18/2016 15:45	76.158					
409	6/18/2016 16:00	76.246					
410	6/18/2016 16:15	76.332					
411	6/18/2016 16:30	76.375					
412	6/18/2016 16:45	76.332					
413	6/18/2016 17:00	76.114					
414	6/18/2016 17:15	75.942					
415	6/18/2016 17:30	75.681					
416	6/18/2016 17:45	75.376					
417	6/18/2016 18:00	75.029					
418	6/18/2016 18:15	74.597					
419	6/18/2016 18:30	74.077					
420	6/18/2016 18:45	73.558					
421	6/18/2016 19:00	72.997					
422	6/18/2016 19:15	72.394					
423	6/18/2016 19:30	71.748					
424	6/18/2016 19:45	71.103					
425	6/18/2016 20:00	70.502					
426	6/18/2016 20:15	69.858					
427	6/18/2016 20:30	69.256					
428	6/18/2016 20:45	68.614					
429	6/18/2016 21:00	68.013					
430	6/18/2016 21:15	67.413					
431	6/18/2016 21:30	66.857					
432	6/18/2016 21:45	66.385					
433	6/18/2016 22:00	65.959					
434	6/18/2016 22:15	65.574					
435	6/18/2016 22:30	65.23					
436	6/18/2016 22:45	64.931					
437	6/18/2016 23:00	64.717					
438	6/18/2016 23:15	64.546					
439	6/18/2016 23:30	64.418					
440	6/18/2016 23:45	64.288					
441	6/19/2016 0:00	64.204					
442	6/19/2016 0:15	64.117					
443	6/19/2016 0:30	64.033					
444	6/19/2016 0:45	63.903					
445	6/19/2016 1:00	63.819					
446	6/19/2016 1:15	63.689					
447	6/19/2016 1:30	63.604					
448	6/19/2016 1:45	63.518					
449	6/19/2016 2:00	63.433					
450	6/19/2016 2:15	63.304					
451	6/19/2016 2:30	63.219					
452	6/19/2016 2:45	63.133					
453	6/19/2016 3:00	63.005					
454	6/19/2016 3:15	62.875					
455	6/19/2016 3:30	62.748					
456	6/19/2016 3:45	62.62					
457	6/19/2016 4:00	62.447					
458	6/19/2016 4:15	62.319					
459	6/19/2016 4:30	62.148					
460	6/19/2016 4:45	62.019					
461	6/19/2016 5:00	61.848					
462	6/19/2016 5:15	61.677					
463	6/19/2016 5:30	61.547					
464	6/19/2016 5:45	61.376					
465	6/19/2016 6:00	61.205					
466	6/19/2016 6:15	61.075					
467	6/19/2016 6:30	60.991					
468	6/19/2016 6:45	60.904					
469	6/19/2016 7:00	60.861					
470	6/19/2016 7:15	60.818					
471	6/19/2016 7:30	60.861					
472	6/19/2016 7:45	60.991					
473	6/19/2016 8:00	61.162					
474	6/19/2016 8:15	61.419					
475	6/19/2016 8:30	61.761					
476	6/19/2016 8:45	62.233					
477	6/19/2016 9:00	62.748					
478	6/19/2016 9:15	63.347					
479	6/19/2016 9:30	63.946					
480	6/19/2016 9:45	64.503					
481	6/19/2016 10:00	65.23					
482	6/19/2016 10:15	65.959					
483	6/19/2016 10:30	66.686					
484	6/19/2016 10:45	67.456					
485	6/19/2016 11:00	68.27					
486	6/19/2016 11:15	69.085					
487	6/19/2016 11:30	69.858					
488	6/19/2016 11:45	70.673					
489	6/19/2016 12:00	71.49					
490	6/19/2016 12:15	72.221					
491	6/19/2016 12:30	72.955					
492	6/19/2016 12:45	73.688					
493	6/19/2016 13:00	74.381					
494	6/19/2016 13:15	75.029					
495	6/19/2016 13:30	75.681					
496	6/19/2016 13:45	76.246					
497	6/19/2016 14:00	76.768					
498	6/19/2016 14:15	77.247					
499	6/19/2016 14:30	77.596					
500	6/19/2016 14:45	77.945					
501	6/19/2016 15:00	78.208					
502	6/19/2016 15:15	78.427					
503	6/19/2016 15:30	78.559					
504	6/19/2016 15:45	78.602					
505	6/19/2016 16:00	78.645					
506	6/19/2016 16:15	78.645					
507	6/19/2016 16:30	78.559					
508	6/19/2016 16:45	78.471					
509	6/19/2016 17:00	78.251					
510	6/19/2016 17:15	77.945					
511	6/19/2016 17:30	77.421					
512	6/19/2016 17:45	76.636					
513	6/19/2016 18:00	76.203					
514	6/19/2016 18:15	75.637					
515	6/19/2016 18:30	75.029					
516	6/19/2016 18:45	74.338					
517	6/19/2016 19:00	73.645					
518	6/19/2016 19:15	72.997					
519	6/19/2016 19:30	72.351					
520	6/19/2016 19:45	71.748					
521	6/19/2016 20:00	71.19					
522	6/19/2016 20:15	70.673					
523	6/19/2016 20:30	70.158					
524	6/19/2016 20:45	69.685					
525	6/19/2016 21:00	69.129					
526	6/19/2016 21:15	68.527					
527	6/19/2016 21:30	67.971					
528	6/19/2016 21:45	67.372					
529	6/19/2016 22:00	66.857					
530	6/19/2016 22:15	66.301					
531	6/19/2016 22:30	65.829					
532	6/19/2016 22:45	65.444					
533	6/19/2016 23:00	65.059					
534	6/19/2016 23:15	64.76					
535	6/19/2016 23:30	64.459					
536	6/19/2016 23:45	64.204					
537	6/20/2016 0:00	63.903					
538	6/20/2016 0:15	63.648					
539	6/20/2016 0:30	63.433					
540	6/20/2016 0:45	63.219					
541	6/20/2016 1:00	63.048					
542	6/20/2016 1:15	62.875					
543	6/20/2016 1:30	62.704					
544	6/20/2016 1:45	62.577					
545	6/20/2016 2:00	62.406					
546	6/20/2016 2:15	62.319					
547	6/20/2016 2:30	62.233					
548	6/20/2016 2:45	62.233					
549	6/20/2016 3:00	62.233					
550	6/20/2016 3:15	62.191					
551	6/20/2016 3:30	62.191					
552	6/20/2016 3:45	62.148					
553	6/20/2016 4:00	62.105					
554	6/20/2016 4:15	62.019					
555	6/20/2016 4:30	61.934					
556	6/20/2016 4:45	61.804					
557	6/20/2016 5:00	61.59					
558	6/20/2016 5:15	61.376					
559	6/20/2016 5:30	61.205					
560	6/20/2016 5:45	61.032					
561	6/20/2016 6:00	60.818					
562	6/20/2016 6:15	60.647					
563	6/20/2016 6:30	60.474					
564	6/20/2016 6:45	60.346					
565	6/20/2016 7:00	60.217					
566	6/20/2016 7:15	60.089					
567	6/20/2016 7:30	60.046					
568	6/20/2016 7:45	60.003					
569	6/20/2016 8:00	59.959					
570	6/20/2016 8:15	60.003					
571	6/20/2016 8:30	60.003					
572	6/20/2016 8:45	60.046					
573	6/20/2016 9:00	60.217					
574	6/20/2016 9:15	60.39					
575	6/20/2016 9:30	60.647					
576	6/20/2016 9:45	60.948					
577	6/20/2016 10:00	61.205					
578	6/20/2016 10:15	61.547					
579	6/20/2016 10:30	62.062					
580	6/20/2016 10:45	62.661					
581	6/20/2016 11:00	63.347					
582	6/20/2016 11:15	63.903					
583	6/20/2016 11:30	64.375					
584	6/20/2016 11:45	64.803					
585	6/20/2016 12:00	65.145					
586	6/20/2016 12:15	65.53					
587	6/20/2016 12:30	66.301					
588	6/20/2016 12:45	67.242					
589	6/20/2016 13:00	67.928					
590	6/20/2016 13:15	68.227					
591	6/20/2016 13:30	68.099					
592	6/20/2016 13:45	68.614					
593	6/20/2016 14:00	68.913					
594	6/20/2016 14:15	68.956					
595	6/20/2016 14:30	69.085					
596	6/20/2016 14:45	69.129					
597	6/20/2016 15:00	69.3					
598	6/20/2016 15:15	69.427					
599	6/20/2016 15:30	69.471					
600	6/20/2016 15:45	69.514					
601	6/20/2016 16:00	69.514					
602	6/20/2016 16:15	69.728					
603	6/20/2016 16:30	69.942					
604	6/20/2016 16:45	70.243					
605	6/20/2016 17:00	70.543					
606	6/20/2016 17:15	70.673					
607	6/20/2016 17:30	70.673					
608	6/20/2016 17:45	70.543					
609	6/20/2016 18:00	70.372					
610	6/20/2016 18:15	70.158					
611	6/20/2016 18:30	69.901					
612	6/20/2016 18:45	69.471					
613	6/20/2016 19:00	68.999					
614	6/20/2016 19:15	68.443					
615	6/20/2016 19:30	67.842					
616	6/20/2016 19:45	67.242					
617	6/20/2016 20:00	66.643					
618	6/20/2016 20:15	66.043					
619	6/20/2016 20:30	65.403					
620	6/20/2016 20:45	64.803					
621	6/20/2016 21:00	64.161					
622	6/20/2016 21:15	63.561					
623	6/20/2016 21:30	63.005					
624	6/20/2016 21:45	62.533					
625	6/20/2016 22:00	62.062					
626	6/20/2016 22:15	61.633					
627	6/20/2016 22:30	61.248					
628	6/20/2016 22:45	60.904					
629	6/20/2016 23:00	60.604					
630	6/20/2016 23:15	60.303					
631	6/20/2016 23:30	60.046					
632	6/20/2016 23:45	59.83					
633	6/21/2016 0:00	59.616					
634	6/21/2016 0:15	59.445					
635	6/21/2016 0:30	59.272					
636	6/21/2016 0:45	59.099					
637	6/21/2016 1:00	58.971					
638	6/21/2016 1:15	58.842					
639	6/21/2016 1:30	58.712					
640	6/21/2016 1:45	58.582					
641	6/21/2016 2:00	58.455					
642	6/21/2016 2:15	58.368					
643	6/21/2016 2:30	58.239					
644	6/21/2016 2:45	58.152					
645	6/21/2016 3:00	58.066					
646	6/21/2016 3:15	57.979					
647	6/21/2016 3:30	57.893					
648	6/21/2016 3:45	57.807					
649	6/21/2016 4:00	57.722					
650	6/21/2016 4:15	57.636					
651	6/21/2016 4:30	57.592					
652	6/21/2016 4:45	57.506					
653	6/21/2016 5:00	57.463					
654	6/21/2016 5:15	57.42					
655	6/21/2016 5:30	57.376					
656	6/21/2016 5:45	57.29					
657	6/21/2016 6:00	57.247					
658	6/21/2016 6:15	57.204					
659	6/21/2016 6:30	57.204					
660	6/21/2016 6:45	57.16					
661	6/21/2016 7:00	57.204					
662	6/21/2016 7:15	57.247					
663	6/21/2016 7:30	57.333					
664	6/21/2016 7:45	57.463					
665	6/21/2016 8:00	57.679					
666	6/21/2016 8:15	57.979					
667	6/21/2016 8:30	58.325					
668	6/21/2016 8:45	58.755					
669	6/21/2016 9:00	59.272					
670	6/21/2016 9:15	59.788					
671	6/21/2016 9:30	60.39					
672	6/21/2016 9:45	60.991					
673	6/21/2016 10:00	61.677					
674	6/21/2016 10:15	62.447					
675	6/21/2016 10:30	63.176					
676	6/21/2016 10:45	63.99					
