"Plot Title: Sand Draw #2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719040, SEN S/N: 10719040)","Coupler Detached (LGR S/N: 10719040)","Coupler Attached (LGR S/N: 10719040)","Host Connected (LGR S/N: 10719040)","Stopped (LGR S/N: 10719040)","End Of File (LGR S/N: 10719040)"
1,06/13/16 08:00:00 PM,74.813,Logged,,,,
2,06/13/16 08:15:00 PM,74.554,,,,,
3,06/13/16 08:30:00 PM,74.250,,,,,
4,06/13/16 08:45:00 PM,73.990,,,,,
5,06/13/16 09:00:00 PM,73.731,,,,,
6,06/13/16 09:15:00 PM,73.472,,,,,
7,06/13/16 09:30:00 PM,73.213,,,,,
8,06/13/16 09:45:00 PM,72.955,,,,,
9,06/13/16 10:00:00 PM,72.653,,,,,
10,06/13/16 10:15:00 PM,72.351,,,,,
11,06/13/16 10:30:00 PM,72.007,,,,,
12,06/13/16 10:45:00 PM,71.704,,,,,
13,06/13/16 11:00:00 PM,71.447,,,,,
14,06/13/16 11:15:00 PM,71.190,,,,,
15,06/13/16 11:30:00 PM,70.930,,,,,
16,06/13/16 11:45:00 PM,70.630,,,,,
17,06/14/16 12:00:00 AM,70.416,,,,,
18,06/14/16 12:15:00 AM,70.158,,,,,
19,06/14/16 12:30:00 AM,69.942,,,,,
20,06/14/16 12:45:00 AM,69.728,,,,,
21,06/14/16 01:00:00 AM,69.471,,,,,
22,06/14/16 01:15:00 AM,69.300,,,,,
23,06/14/16 01:30:00 AM,69.042,,,,,
24,06/14/16 01:45:00 AM,68.828,,,,,
25,06/14/16 02:00:00 AM,68.571,,,,,
26,06/14/16 02:15:00 AM,68.313,,,,,
27,06/14/16 02:30:00 AM,68.056,,,,,
28,06/14/16 02:45:00 AM,67.798,,,,,
29,06/14/16 03:00:00 AM,67.586,,,,,
30,06/14/16 03:15:00 AM,67.329,,,,,
31,06/14/16 03:30:00 AM,67.114,,,,,
32,06/14/16 03:45:00 AM,66.900,,,,,
33,06/14/16 04:00:00 AM,66.643,,,,,
34,06/14/16 04:15:00 AM,66.429,,,,,
35,06/14/16 04:30:00 AM,66.214,,,,,
36,06/14/16 04:45:00 AM,66.000,,,,,
37,06/14/16 05:00:00 AM,65.788,,,,,
38,06/14/16 05:15:00 AM,65.615,,,,,
39,06/14/16 05:30:00 AM,65.444,,,,,
40,06/14/16 05:45:00 AM,65.273,,,,,
41,06/14/16 06:00:00 AM,65.102,,,,,
42,06/14/16 06:15:00 AM,64.931,,,,,
43,06/14/16 06:30:00 AM,64.760,,,,,
44,06/14/16 06:45:00 AM,64.632,,,,,
45,06/14/16 07:00:00 AM,64.459,,,,,
46,06/14/16 07:15:00 AM,64.332,,,,,
47,06/14/16 07:30:00 AM,64.161,,,,,
48,06/14/16 07:45:00 AM,64.033,,,,,
49,06/14/16 08:00:00 AM,63.990,,,,,
50,06/14/16 08:15:00 AM,63.946,,,,,
51,06/14/16 08:30:00 AM,63.946,,,,,
52,06/14/16 08:45:00 AM,63.946,,,,,
53,06/14/16 09:00:00 AM,64.074,,,,,
54,06/14/16 09:15:00 AM,64.204,,,,,
55,06/14/16 09:30:00 AM,64.332,,,,,
56,06/14/16 09:45:00 AM,64.546,,,,,
57,06/14/16 10:00:00 AM,64.803,,,,,
58,06/14/16 10:15:00 AM,65.102,,,,,
59,06/14/16 10:30:00 AM,65.444,,,,,
60,06/14/16 10:45:00 AM,65.829,,,,,
61,06/14/16 11:00:00 AM,66.130,,,,,
62,06/14/16 11:15:00 AM,66.429,,,,,
63,06/14/16 11:30:00 AM,66.814,,,,,
64,06/14/16 11:45:00 AM,66.985,,,,,
65,06/14/16 12:00:00 PM,67.199,,,,,
66,06/14/16 12:15:00 PM,67.757,,,,,
67,06/14/16 12:30:00 PM,68.356,,,,,
68,06/14/16 12:45:00 PM,68.913,,,,,
69,06/14/16 01:00:00 PM,69.514,,,,,
70,06/14/16 01:15:00 PM,70.115,,,,,
71,06/14/16 01:30:00 PM,70.587,,,,,
72,06/14/16 01:45:00 PM,71.190,,,,,
73,06/14/16 02:00:00 PM,71.577,,,,,
74,06/14/16 02:15:00 PM,72.007,,,,,
75,06/14/16 02:30:00 PM,72.394,,,,,
76,06/14/16 02:45:00 PM,72.653,,,,,
77,06/14/16 03:00:00 PM,73.083,,,,,
78,06/14/16 03:15:00 PM,73.386,,,,,
79,06/14/16 03:30:00 PM,73.386,,,,,
80,06/14/16 03:45:00 PM,73.602,,,,,
81,06/14/16 04:00:00 PM,73.990,,,,,
82,06/14/16 04:15:00 PM,74.295,,,,,
83,06/14/16 04:30:00 PM,74.424,,,,,
84,06/14/16 04:45:00 PM,74.381,,,,,
85,06/14/16 05:00:00 PM,74.206,,,,,
86,06/14/16 05:15:00 PM,73.774,,,,,
87,06/14/16 05:30:00 PM,73.472,,,,,
88,06/14/16 05:45:00 PM,73.213,,,,,
89,06/14/16 06:00:00 PM,73.299,,,,,
90,06/14/16 06:15:00 PM,73.386,,,,,
91,06/14/16 06:30:00 PM,73.472,,,,,
92,06/14/16 06:45:00 PM,73.429,,,,,
93,06/14/16 07:00:00 PM,73.299,,,,,
94,06/14/16 07:15:00 PM,73.040,,,,,
95,06/14/16 07:30:00 PM,72.739,,,,,
96,06/14/16 07:45:00 PM,72.437,,,,,
97,06/14/16 08:00:00 PM,72.178,,,,,
98,06/14/16 08:15:00 PM,71.964,,,,,
99,06/14/16 08:30:00 PM,71.834,,,,,
100,06/14/16 08:45:00 PM,71.704,,,,,
101,06/14/16 09:00:00 PM,71.620,,,,,
102,06/14/16 09:15:00 PM,71.490,,,,,
103,06/14/16 09:30:00 PM,71.361,,,,,
104,06/14/16 09:45:00 PM,71.146,,,,,
105,06/14/16 10:00:00 PM,70.887,,,,,
106,06/14/16 10:15:00 PM,70.587,,,,,
107,06/14/16 10:30:00 PM,70.243,,,,,
108,06/14/16 10:45:00 PM,69.901,,,,,
109,06/14/16 11:00:00 PM,69.557,,,,,
110,06/14/16 11:15:00 PM,69.213,,,,,
111,06/14/16 11:30:00 PM,68.913,,,,,
112,06/14/16 11:45:00 PM,68.657,,,,,
113,06/15/16 12:00:00 AM,68.400,,,,,
114,06/15/16 12:15:00 AM,68.142,,,,,
115,06/15/16 12:30:00 AM,67.885,,,,,
116,06/15/16 12:45:00 AM,67.586,,,,,
117,06/15/16 01:00:00 AM,67.329,,,,,
118,06/15/16 01:15:00 AM,67.158,,,,,
119,06/15/16 01:30:00 AM,66.985,,,,,
