"Plot Title: Snake Upper End "
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719043, SEN S/N: 10719043)","Coupler Detached (LGR S/N: 10719043)","Coupler Attached (LGR S/N: 10719043)","Stopped (LGR S/N: 10719043)","End Of File (LGR S/N: 10719043)"
1,06/17/16 12:00:00 AM,74.077,Logged,,,
2,06/17/16 12:15:00 AM,73.731,,,,
3,06/17/16 12:30:00 AM,73.342,,,,
4,06/17/16 12:45:00 AM,72.955,,,,
5,06/17/16 01:00:00 AM,72.567,,,,
6,06/17/16 01:15:00 AM,72.221,,,,
7,06/17/16 01:30:00 AM,71.877,,,,
8,06/17/16 01:45:00 AM,71.533,,,,
9,06/17/16 02:00:00 AM,71.231,,,,
10,06/17/16 02:15:00 AM,70.887,,,,
11,06/17/16 02:30:00 AM,70.543,,,,
12,06/17/16 02:45:00 AM,70.243,,,,
13,06/17/16 03:00:00 AM,69.942,,,,
14,06/17/16 03:15:00 AM,69.600,,,,
15,06/17/16 03:30:00 AM,69.300,,,,
16,06/17/16 03:45:00 AM,69.042,,,,
17,06/17/16 04:00:00 AM,68.742,,,,
18,06/17/16 04:15:00 AM,68.484,,,,
19,06/17/16 04:30:00 AM,68.227,,,,
20,06/17/16 04:45:00 AM,67.928,,,,
21,06/17/16 05:00:00 AM,67.714,,,,
22,06/17/16 05:15:00 AM,67.456,,,,
23,06/17/16 05:30:00 AM,67.242,,,,
24,06/17/16 05:45:00 AM,67.071,,,,
25,06/17/16 06:00:00 AM,66.857,,,,
26,06/17/16 06:15:00 AM,66.643,,,,
27,06/17/16 06:30:00 AM,66.472,,,,
28,06/17/16 06:45:00 AM,66.344,,,,
29,06/17/16 07:00:00 AM,66.214,,,,
30,06/17/16 07:15:00 AM,66.087,,,,
31,06/17/16 07:30:00 AM,66.000,,,,
32,06/17/16 07:45:00 AM,65.959,,,,
33,06/17/16 08:00:00 AM,66.000,,,,
34,06/17/16 08:15:00 AM,66.043,,,,
35,06/17/16 08:30:00 AM,66.173,,,,
36,06/17/16 08:45:00 AM,66.344,,,,
37,06/17/16 09:00:00 AM,66.515,,,,
38,06/17/16 09:15:00 AM,66.772,,,,
39,06/17/16 09:30:00 AM,67.071,,,,
40,06/17/16 09:45:00 AM,67.456,,,,
41,06/17/16 10:00:00 AM,67.971,,,,
42,06/17/16 10:15:00 AM,68.527,,,,
43,06/17/16 10:30:00 AM,69.085,,,,
44,06/17/16 10:45:00 AM,69.728,,,,
45,06/17/16 11:00:00 AM,70.459,,,,
46,06/17/16 11:15:00 AM,71.146,,,,
47,06/17/16 11:30:00 AM,71.964,,,,
48,06/17/16 11:45:00 AM,72.696,,,,
49,06/17/16 12:00:00 PM,73.472,,,,
50,06/17/16 12:15:00 PM,74.120,,,,
51,06/17/16 12:30:00 PM,74.986,,,,
52,06/17/16 12:45:00 PM,75.767,,,,
53,06/17/16 01:00:00 PM,76.593,,,,
54,06/17/16 01:15:00 PM,77.378,,,,
55,06/17/16 01:30:00 PM,77.990,,,,
56,06/17/16 01:45:00 PM,78.953,,,,
57,06/17/16 02:00:00 PM,79.347,,,,
58,06/17/16 02:15:00 PM,79.920,,,,
59,06/17/16 02:30:00 PM,80.580,,,,
60,06/17/16 02:45:00 PM,81.244,,,,
61,06/17/16 03:00:00 PM,81.597,,,,
62,06/17/16 03:15:00 PM,81.687,,,,
63,06/17/16 03:30:00 PM,81.997,,,,
64,06/17/16 03:45:00 PM,82.441,,,,
65,06/17/16 04:00:00 PM,82.308,,,,
66,06/17/16 04:15:00 PM,82.441,,,,
67,06/17/16 04:30:00 PM,82.308,,,,
68,06/17/16 04:45:00 PM,82.175,,,,
69,06/17/16 05:00:00 PM,82.085,,,,
70,06/17/16 05:15:00 PM,81.819,,,,
71,06/17/16 05:30:00 PM,81.554,,,,
72,06/17/16 05:45:00 PM,81.199,,,,
73,06/17/16 06:00:00 PM,80.935,,,,
74,06/17/16 06:15:00 PM,80.625,,,,
75,06/17/16 06:30:00 PM,80.272,,,,
76,06/17/16 06:45:00 PM,79.876,,,,
77,06/17/16 07:00:00 PM,79.480,,,,
78,06/17/16 07:15:00 PM,79.084,,,,
79,06/17/16 07:30:00 PM,78.690,,,,
80,06/17/16 07:45:00 PM,78.296,,,,
81,06/17/16 08:00:00 PM,77.990,,,,
82,06/17/16 08:15:00 PM,77.596,,,,
83,06/17/16 08:30:00 PM,77.203,,,,
84,06/17/16 08:45:00 PM,76.811,,,,
85,06/17/16 09:00:00 PM,76.419,,,,
86,06/17/16 09:15:00 PM,76.028,,,,
87,06/17/16 09:30:00 PM,75.681,,,,
88,06/17/16 09:45:00 PM,75.376,,,,
89,06/17/16 10:00:00 PM,75.074,,,,
90,06/17/16 10:15:00 PM,74.813,,,,
91,06/17/16 10:30:00 PM,74.554,,,,
92,06/17/16 10:45:00 PM,74.250,,,,
93,06/17/16 11:00:00 PM,73.861,,,,
94,06/17/16 11:15:00 PM,73.472,,,,
95,06/17/16 11:30:00 PM,73.170,,,,
96,06/17/16 11:45:00 PM,72.869,,,,
97,06/18/16 12:00:00 AM,72.523,,,,
98,06/18/16 12:15:00 AM,72.136,,,,
99,06/18/16 12:30:00 AM,71.791,,,,
100,06/18/16 12:45:00 AM,71.447,,,,
101,06/18/16 01:00:00 AM,71.060,,,,
102,06/18/16 01:15:00 AM,70.759,,,,
103,06/18/16 01:30:00 AM,70.416,,,,
104,06/18/16 01:45:00 AM,70.072,,,,
105,06/18/16 02:00:00 AM,69.728,,,,
106,06/18/16 02:15:00 AM,69.386,,,,
107,06/18/16 02:30:00 AM,69.042,,,,
108,06/18/16 02:45:00 AM,68.742,,,,
109,06/18/16 03:00:00 AM,68.443,,,,
110,06/18/16 03:15:00 AM,68.270,,,,
111,06/18/16 03:30:00 AM,68.056,,,,
112,06/18/16 03:45:00 AM,67.798,,,,
113,06/18/16 04:00:00 AM,67.586,,,,
114,06/18/16 04:15:00 AM,67.329,,,,
115,06/18/16 04:30:00 AM,67.114,,,,
116,06/18/16 04:45:00 AM,66.900,,,,
117,06/18/16 05:00:00 AM,66.643,,,,
118,06/18/16 05:15:00 AM,66.472,,,,
119,06/18/16 05:30:00 AM,66.301,,,,
120,06/18/16 05:45:00 AM,66.087,,,,
121,06/18/16 06:00:00 AM,65.916,,,,
122,06/18/16 06:15:00 AM,65.745,,,,
123,06/18/16 06:30:00 AM,65.615,,,,
124,06/18/16 06:45:00 AM,65.444,,,,
125,06/18/16 07:00:00 AM,65.403,,,,
126,06/18/16 07:15:00 AM,65.316,,,,
127,06/18/16 07:30:00 AM,65.273,,,,
128,06/18/16 07:45:00 AM,65.273,,,,
129,06/18/16 08:00:00 AM,65.273,,,,
130,06/18/16 08:15:00 AM,65.403,,,,
131,06/18/16 08:30:00 AM,65.530,,,,
132,06/18/16 08:45:00 AM,65.745,,,,
133,06/18/16 09:00:00 AM,66.000,,,,
134,06/18/16 09:15:00 AM,66.301,,,,
135,06/18/16 09:30:00 AM,66.643,,,,
136,06/18/16 09:45:00 AM,67.028,,,,
137,06/18/16 10:00:00 AM,67.500,,,,
138,06/18/16 10:15:00 AM,67.971,,,,
139,06/18/16 10:30:00 AM,68.571,,,,
140,06/18/16 10:45:00 AM,69.213,,,,
141,06/18/16 11:00:00 AM,69.814,,,,
142,06/18/16 11:15:00 AM,70.587,,,,
143,06/18/16 11:30:00 AM,71.361,,,,
144,06/18/16 11:45:00 AM,72.136,,,,
145,06/18/16 12:00:00 PM,72.826,,,,
146,06/18/16 12:15:00 PM,73.558,,,,
147,06/18/16 12:30:00 PM,74.424,,,,
148,06/18/16 12:45:00 PM,75.247,,,,
149,06/18/16 01:00:00 PM,76.203,,,,
150,06/18/16 01:15:00 PM,77.029,,,,
151,06/18/16 01:30:00 PM,77.815,,,,
152,06/18/16 01:45:00 PM,78.602,,,,
153,06/18/16 02:00:00 PM,79.261,,,,
154,06/18/16 02:15:00 PM,79.920,,,,
155,06/18/16 02:30:00 PM,80.492,,,,
156,06/18/16 02:45:00 PM,81.111,,,,
157,06/18/16 03:00:00 PM,81.421,,,,
158,06/18/16 03:15:00 PM,81.730,,,,
159,06/18/16 03:30:00 PM,81.997,,,,
160,06/18/16 03:45:00 PM,82.175,,,,
161,06/18/16 04:00:00 PM,82.396,,,,
162,06/18/16 04:15:00 PM,82.308,,,,
163,06/18/16 04:30:00 PM,82.218,,,,
164,06/18/16 04:45:00 PM,82.042,,,,
165,06/18/16 05:00:00 PM,81.687,,,,
166,06/18/16 05:15:00 PM,81.376,,,,
167,06/18/16 05:30:00 PM,81.023,,,,
168,06/18/16 05:45:00 PM,80.580,,,,
169,06/18/16 06:00:00 PM,80.227,,,,
170,06/18/16 06:15:00 PM,79.700,,,,
171,06/18/16 06:30:00 PM,79.173,,,,
172,06/18/16 06:45:00 PM,78.733,,,,
173,06/18/16 07:00:00 PM,78.208,,,,
174,06/18/16 07:15:00 PM,77.684,,,,
175,06/18/16 07:30:00 PM,77.247,,,,
176,06/18/16 07:45:00 PM,76.811,,,,
177,06/18/16 08:00:00 PM,76.289,,,,
178,06/18/16 08:15:00 PM,75.853,,,,
179,06/18/16 08:30:00 PM,75.420,,,,
180,06/18/16 08:45:00 PM,74.943,,,,
181,06/18/16 09:00:00 PM,74.554,,,,
182,06/18/16 09:15:00 PM,74.206,,,,
183,06/18/16 09:30:00 PM,73.818,,,,
184,06/18/16 09:45:00 PM,73.472,,,,
185,06/18/16 10:00:00 PM,73.126,,,,
186,06/18/16 10:15:00 PM,72.783,,,,
187,06/18/16 10:30:00 PM,72.480,,,,
188,06/18/16 10:45:00 PM,72.136,,,,
189,06/18/16 11:00:00 PM,71.791,,,,
190,06/18/16 11:15:00 PM,71.447,,,,
191,06/18/16 11:30:00 PM,71.146,,,,
192,06/18/16 11:45:00 PM,70.846,,,,
193,06/19/16 12:00:00 AM,70.587,,,,
194,06/19/16 12:15:00 AM,70.329,,,,
195,06/19/16 12:30:00 AM,70.072,,,,
196,06/19/16 12:45:00 AM,69.771,,,,
197,06/19/16 01:00:00 AM,69.514,,,,
198,06/19/16 01:15:00 AM,69.300,,,,
199,06/19/16 01:30:00 AM,69.042,,,,
200,06/19/16 01:45:00 AM,68.828,,,,
201,06/19/16 02:00:00 AM,68.614,,,,
202,06/19/16 02:15:00 AM,68.400,,,,
203,06/19/16 02:30:00 AM,68.185,,,,
204,06/19/16 02:45:00 AM,67.971,,,,
205,06/19/16 03:00:00 AM,67.757,,,,
206,06/19/16 03:15:00 AM,67.543,,,,
207,06/19/16 03:30:00 AM,67.372,,,,
208,06/19/16 03:45:00 AM,67.199,,,,
209,06/19/16 04:00:00 AM,67.028,,,,
210,06/19/16 04:15:00 AM,66.857,,,,
211,06/19/16 04:30:00 AM,66.729,,,,
212,06/19/16 04:45:00 AM,66.600,,,,
213,06/19/16 05:00:00 AM,66.472,,,,
214,06/19/16 05:15:00 AM,66.344,,,,
215,06/19/16 05:30:00 AM,66.214,,,,
216,06/19/16 05:45:00 AM,66.087,,,,
217,06/19/16 06:00:00 AM,66.043,,,,
218,06/19/16 06:15:00 AM,66.000,,,,
219,06/19/16 06:30:00 AM,65.959,,,,
220,06/19/16 06:45:00 AM,65.872,,,,
221,06/19/16 07:00:00 AM,65.959,,,,
222,06/19/16 07:15:00 AM,66.000,,,,
223,06/19/16 07:30:00 AM,66.087,,,,
224,06/19/16 07:45:00 AM,66.214,,,,
225,06/19/16 08:00:00 AM,66.385,,,,
226,06/19/16 08:15:00 AM,66.600,,,,
227,06/19/16 08:30:00 AM,66.857,,,,
228,06/19/16 08:45:00 AM,67.199,,,,
229,06/19/16 09:00:00 AM,67.586,,,,
230,06/19/16 09:15:00 AM,67.971,,,,
231,06/19/16 09:30:00 AM,68.400,,,,
232,06/19/16 09:45:00 AM,68.913,,,,
233,06/19/16 10:00:00 AM,69.471,,,,
234,06/19/16 10:15:00 AM,70.072,,,,
235,06/19/16 10:30:00 AM,70.887,,,,
236,06/19/16 10:45:00 AM,71.533,,,,
237,06/19/16 11:00:00 AM,72.394,,,,
238,06/19/16 11:15:00 AM,73.256,,,,
239,06/19/16 11:30:00 AM,73.386,,,,
240,06/19/16 11:45:00 AM,74.467,,,,
241,06/19/16 12:00:00 PM,75.290,,,,
242,06/19/16 12:15:00 PM,76.114,,,,
243,06/19/16 12:30:00 PM,76.593,,,,
244,06/19/16 12:45:00 PM,77.553,,,,
245,06/19/16 01:00:00 PM,78.471,,,,
246,06/19/16 01:15:00 PM,79.216,,,,
247,06/19/16 01:30:00 PM,80.051,,,,
248,06/19/16 01:45:00 PM,80.890,,,,
249,06/19/16 02:00:00 PM,81.642,,,,
250,06/19/16 02:15:00 PM,81.997,,,,
251,06/19/16 02:30:00 PM,82.753,,,,
252,06/19/16 02:45:00 PM,83.064,,,,
253,06/19/16 03:00:00 PM,83.601,,,,
254,06/19/16 03:15:00 PM,83.869,,,,
255,06/19/16 03:30:00 PM,84.049,,,,
256,06/19/16 03:45:00 PM,83.824,,,,
257,06/19/16 04:00:00 PM,84.182,,,,
258,06/19/16 04:15:00 PM,84.182,,,,
259,06/19/16 04:30:00 PM,84.227,,,,
260,06/19/16 04:45:00 PM,84.004,,,,
261,06/19/16 05:00:00 PM,83.779,,,,
262,06/19/16 05:15:00 PM,83.556,,,,
263,06/19/16 05:30:00 PM,83.287,,,,
264,06/19/16 05:45:00 PM,82.976,,,,
265,06/19/16 06:00:00 PM,82.753,,,,
266,06/19/16 06:15:00 PM,82.441,,,,
267,06/19/16 06:30:00 PM,82.042,,,,
268,06/19/16 06:45:00 PM,81.642,,,,
269,06/19/16 07:00:00 PM,81.288,,,,
270,06/19/16 07:15:00 PM,80.890,,,,
271,06/19/16 07:30:00 PM,80.492,,,,
272,06/19/16 07:45:00 PM,80.051,,,,
273,06/19/16 08:00:00 PM,79.700,,,,
274,06/19/16 08:15:00 PM,79.392,,,,
275,06/19/16 08:30:00 PM,78.910,,,,
276,06/19/16 08:45:00 PM,78.559,,,,
277,06/19/16 09:00:00 PM,78.165,,,,
278,06/19/16 09:15:00 PM,77.727,,,,
279,06/19/16 09:30:00 PM,77.378,,,,
280,06/19/16 09:45:00 PM,76.986,,,,
281,06/19/16 10:00:00 PM,76.550,,,,
282,06/19/16 10:15:00 PM,76.158,,,,
283,06/19/16 10:30:00 PM,75.767,,,,
284,06/19/16 10:45:00 PM,75.420,,,,
285,06/19/16 11:00:00 PM,75.117,,,,
286,06/19/16 11:15:00 PM,74.727,,,,
287,06/19/16 11:30:00 PM,74.295,,,,
288,06/19/16 11:45:00 PM,73.990,,,,
289,06/20/16 12:00:00 AM,73.688,,,,
290,06/20/16 12:15:00 AM,73.342,,,,
291,06/20/16 12:30:00 AM,73.040,,,,
292,06/20/16 12:45:00 AM,72.696,,,,
293,06/20/16 01:00:00 AM,72.394,,,,
294,06/20/16 01:15:00 AM,72.050,,,,
295,06/20/16 01:30:00 AM,71.748,,,,
296,06/20/16 01:45:00 AM,71.447,,,,
297,06/20/16 02:00:00 AM,71.146,,,,
298,06/20/16 02:15:00 AM,70.803,,,,
299,06/20/16 02:30:00 AM,70.502,,,,
300,06/20/16 02:45:00 AM,70.243,,,,
301,06/20/16 03:00:00 AM,69.985,,,,
302,06/20/16 03:15:00 AM,69.643,,,,
303,06/20/16 03:30:00 AM,69.343,,,,
304,06/20/16 03:45:00 AM,69.085,,,,
305,06/20/16 04:00:00 AM,68.871,,,,
306,06/20/16 04:15:00 AM,68.614,,,,
307,06/20/16 04:30:00 AM,68.313,,,,
308,06/20/16 04:45:00 AM,68.056,,,,
309,06/20/16 05:00:00 AM,67.757,,,,
310,06/20/16 05:15:00 AM,67.456,,,,
311,06/20/16 05:30:00 AM,67.199,,,,
312,06/20/16 05:45:00 AM,66.943,,,,
313,06/20/16 06:00:00 AM,66.686,,,,
314,06/20/16 06:15:00 AM,66.472,,,,
315,06/20/16 06:30:00 AM,66.214,,,,
316,06/20/16 06:45:00 AM,66.087,,,,
317,06/20/16 07:00:00 AM,65.916,,,,
318,06/20/16 07:15:00 AM,65.788,,,,
319,06/20/16 07:30:00 AM,65.658,,,,
320,06/20/16 07:45:00 AM,65.615,,,,
321,06/20/16 08:00:00 AM,65.574,,,,
322,06/20/16 08:15:00 AM,65.530,,,,
323,06/20/16 08:30:00 AM,65.615,,,,
324,06/20/16 08:45:00 AM,65.615,,,,
325,06/20/16 09:00:00 AM,65.658,,,,
326,06/20/16 09:15:00 AM,65.788,,,,
327,06/20/16 09:30:00 AM,65.959,,,,
328,06/20/16 09:45:00 AM,66.173,,,,
