"Plot Title: West Ash- USFS"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9783603, SEN S/N: 9783603)","Coupler Detached (LGR S/N: 9783603)","Coupler Attached (LGR S/N: 9783603)","Host Connected (LGR S/N: 9783603)","Stopped (LGR S/N: 9783603)","End Of File (LGR S/N: 9783603)"
1,05/27/16 11:00:00 AM,52.903,Logged,,,,
2,05/27/16 11:15:00 AM,53.384,,,,,
3,05/27/16 11:30:00 AM,53.820,,,,,
4,05/27/16 11:45:00 AM,54.300,,,,,
5,05/27/16 12:00:00 PM,54.604,,,,,
6,05/27/16 12:15:00 PM,54.820,,,,,
7,05/27/16 12:30:00 PM,54.952,,,,,
8,05/27/16 12:45:00 PM,54.952,,,,,
9,05/27/16 01:00:00 PM,55.776,,,,,
10,05/27/16 01:15:00 PM,56.426,,,,,
11,05/27/16 01:30:00 PM,56.295,,,,,
12,05/27/16 01:45:00 PM,56.035,,,,,
13,05/27/16 02:00:00 PM,55.906,,,,,
14,05/27/16 02:15:00 PM,55.733,,,,,
15,05/27/16 02:30:00 PM,55.819,,,,,
16,05/27/16 02:45:00 PM,55.906,,,,,
17,05/27/16 03:00:00 PM,56.079,,,,,
18,05/27/16 03:15:00 PM,56.295,,,,,
19,05/27/16 03:30:00 PM,56.685,,,,,
20,05/27/16 03:45:00 PM,56.901,,,,,
21,05/27/16 04:00:00 PM,56.988,,,,,
22,05/27/16 04:15:00 PM,57.031,,,,,
23,05/27/16 04:30:00 PM,56.988,,,,,
24,05/27/16 04:45:00 PM,56.988,,,,,
25,05/27/16 05:00:00 PM,56.944,,,,,
26,05/27/16 05:15:00 PM,56.772,,,,,
27,05/27/16 05:30:00 PM,56.599,,,,,
28,05/27/16 05:45:00 PM,56.426,,,,,
29,05/27/16 06:00:00 PM,56.251,,,,,
30,05/27/16 06:15:00 PM,56.165,,,,,
31,05/27/16 06:30:00 PM,56.079,,,,,
32,05/27/16 06:45:00 PM,55.992,,,,,
33,05/27/16 07:00:00 PM,55.863,,,,,
34,05/27/16 07:15:00 PM,55.602,,,,,
35,05/27/16 07:30:00 PM,55.342,,,,,
36,05/27/16 07:45:00 PM,55.125,,,,,
37,05/27/16 08:00:00 PM,54.865,,,,,
38,05/27/16 08:15:00 PM,54.648,,,,,
39,05/27/16 08:30:00 PM,54.387,,,,,
40,05/27/16 08:45:00 PM,54.255,,,,,
41,05/27/16 09:00:00 PM,54.037,,,,,
42,05/27/16 09:15:00 PM,53.820,,,,,
43,05/27/16 09:30:00 PM,53.559,,,,,
44,05/27/16 09:45:00 PM,53.341,,,,,
45,05/27/16 10:00:00 PM,53.121,,,,,
46,05/27/16 10:15:00 PM,52.903,,,,,
47,05/27/16 10:30:00 PM,52.772,,,,,
48,05/27/16 10:45:00 PM,52.597,,,,,
49,05/27/16 11:00:00 PM,52.423,,,,,
50,05/27/16 11:15:00 PM,52.246,,,,,
51,05/27/16 11:30:00 PM,52.072,,,,,
52,05/27/16 11:45:00 PM,51.895,,,,,
53,05/28/16 12:00:00 AM,51.678,,,,,
54,05/28/16 12:15:00 AM,51.501,,,,,
55,05/28/16 12:30:00 AM,51.370,,,,,
56,05/28/16 12:45:00 AM,51.193,,,,,
57,05/28/16 01:00:00 AM,51.062,,,,,
58,05/28/16 01:15:00 AM,50.929,,,,,
59,05/28/16 01:30:00 AM,50.752,,,,,
60,05/28/16 01:45:00 AM,50.664,,,,,
61,05/28/16 02:00:00 AM,50.576,,,,,
62,05/28/16 02:15:00 AM,50.488,,,,,
63,05/28/16 02:30:00 AM,50.356,,,,,
64,05/28/16 02:45:00 AM,50.223,,,,,
65,05/28/16 03:00:00 AM,50.092,,,,,
66,05/28/16 03:15:00 AM,49.959,,,,,
67,05/28/16 03:30:00 AM,49.870,,,,,
68,05/28/16 03:45:00 AM,49.737,,,,,
69,05/28/16 04:00:00 AM,49.649,,,,,
70,05/28/16 04:15:00 AM,49.516,,,,,
71,05/28/16 04:30:00 AM,49.428,,,,,
72,05/28/16 04:45:00 AM,49.338,,,,,
73,05/28/16 05:00:00 AM,49.249,,,,,
74,05/28/16 05:15:00 AM,49.116,,,,,
75,05/28/16 05:30:00 AM,48.983,,,,,
76,05/28/16 05:45:00 AM,48.895,,,,,
77,05/28/16 06:00:00 AM,48.805,,,,,
78,05/28/16 06:15:00 AM,48.672,,,,,
79,05/28/16 06:30:00 AM,48.538,,,,,
80,05/28/16 06:45:00 AM,48.450,,,,,
81,05/28/16 07:00:00 AM,48.405,,,,,
82,05/28/16 07:15:00 AM,48.315,,,,,
83,05/28/16 07:30:00 AM,48.272,,,,,
84,05/28/16 07:45:00 AM,48.182,,,,,
85,05/28/16 08:00:00 AM,48.137,,,,,
86,05/28/16 08:15:00 AM,48.137,,,,,
87,05/28/16 08:30:00 AM,48.137,,,,,
88,05/28/16 08:45:00 AM,48.182,,,,,
89,05/28/16 09:00:00 AM,48.272,,,,,
90,05/28/16 09:15:00 AM,48.360,,,,,
91,05/28/16 09:30:00 AM,48.538,,,,,
92,05/28/16 09:45:00 AM,48.805,,,,,
93,05/28/16 10:00:00 AM,49.204,,,,,
94,05/28/16 10:15:00 AM,49.692,,,,,
95,05/28/16 10:30:00 AM,50.223,,,,,
96,05/28/16 10:45:00 AM,50.841,,,,,
97,05/28/16 11:00:00 AM,51.413,,,,,
98,05/28/16 11:15:00 AM,52.160,,,,,
99,05/28/16 11:30:00 AM,52.772,,,,,
100,05/28/16 11:45:00 AM,53.427,,,,,
101,05/28/16 12:00:00 PM,54.300,,,,,
102,05/28/16 12:15:00 PM,55.125,,,,,
103,05/28/16 12:30:00 PM,55.906,,,,,
104,05/28/16 12:45:00 PM,56.642,,,,,
105,05/28/16 01:00:00 PM,57.376,,,,,
106,05/28/16 01:15:00 PM,57.936,,,,,
107,05/28/16 01:30:00 PM,58.455,,,,,
108,05/28/16 01:45:00 PM,58.885,,,,,
109,05/28/16 02:00:00 PM,59.056,,,,,
110,05/28/16 02:15:00 PM,59.014,,,,,
111,05/28/16 02:30:00 PM,58.885,,,,,
112,05/28/16 02:45:00 PM,58.541,,,,,
113,05/28/16 03:00:00 PM,58.195,,,,,
114,05/28/16 03:15:00 PM,57.807,,,,,
115,05/28/16 03:30:00 PM,57.549,,,,,
116,05/28/16 03:45:00 PM,57.376,,,,,
117,05/28/16 04:00:00 PM,57.463,,,,,
118,05/28/16 04:15:00 PM,57.679,,,,,
119,05/28/16 04:30:00 PM,57.979,,,,,
120,05/28/16 04:45:00 PM,58.239,,,,,
121,05/28/16 05:00:00 PM,58.239,,,,,
122,05/28/16 05:15:00 PM,58.066,,,,,
