"Plot Title: Andrew 11-25-15 (1316)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739556, SEN S/N: 10739556)","Coupler Detached (LGR S/N: 10739556)","Coupler Attached (LGR S/N: 10739556)","Host Connected (LGR S/N: 10739556)","Stopped (LGR S/N: 10739556)","End Of File (LGR S/N: 10739556)"
1,05/26/16 06:01:59 PM,62.019,Logged,,,,
2,05/26/16 06:16:59 PM,61.677,,,,,
3,05/26/16 06:31:59 PM,61.333,,,,,
4,05/26/16 06:46:59 PM,61.075,,,,,
5,05/26/16 07:01:59 PM,60.904,,,,,
6,05/26/16 07:16:59 PM,60.733,,,,,
7,05/26/16 07:31:59 PM,60.604,,,,,
8,05/26/16 07:46:59 PM,60.433,,,,,
9,05/26/16 08:01:59 PM,60.303,,,,,
10,05/26/16 08:16:59 PM,60.217,,,,,
11,05/26/16 08:31:59 PM,60.089,,,,,
12,05/26/16 08:46:59 PM,59.959,,,,,
13,05/26/16 09:01:59 PM,59.830,,,,,
14,05/26/16 09:16:59 PM,59.702,,,,,
15,05/26/16 09:31:59 PM,59.572,,,,,
16,05/26/16 09:46:59 PM,59.445,,,,,
17,05/26/16 10:01:59 PM,59.315,,,,,
18,05/26/16 10:16:59 PM,59.185,,,,,
19,05/26/16 10:31:59 PM,59.056,,,,,
20,05/26/16 10:46:59 PM,58.928,,,,,
21,05/26/16 11:01:59 PM,58.798,,,,,
22,05/26/16 11:16:59 PM,58.669,,,,,
23,05/26/16 11:31:59 PM,58.582,,,,,
24,05/26/16 11:46:59 PM,58.455,,,,,
25,05/27/16 12:01:59 AM,58.368,,,,,
26,05/27/16 12:16:59 AM,58.239,,,,,
27,05/27/16 12:31:59 AM,58.152,,,,,
28,05/27/16 12:46:59 AM,58.066,,,,,
29,05/27/16 01:01:59 AM,57.979,,,,,
30,05/27/16 01:16:59 AM,57.893,,,,,
31,05/27/16 01:31:59 AM,57.807,,,,,
32,05/27/16 01:46:59 AM,57.722,,,,,
33,05/27/16 02:01:59 AM,57.636,,,,,
34,05/27/16 02:16:59 AM,57.549,,,,,
35,05/27/16 02:31:59 AM,57.463,,,,,
36,05/27/16 02:46:59 AM,57.376,,,,,
37,05/27/16 03:01:59 AM,57.290,,,,,
38,05/27/16 03:16:59 AM,57.204,,,,,
39,05/27/16 03:31:59 AM,57.117,,,,,
40,05/27/16 03:46:59 AM,57.031,,,,,
41,05/27/16 04:01:59 AM,56.944,,,,,
42,05/27/16 04:16:59 AM,56.858,,,,,
43,05/27/16 04:31:59 AM,56.772,,,,,
44,05/27/16 04:46:59 AM,56.685,,,,,
45,05/27/16 05:01:59 AM,56.599,,,,,
46,05/27/16 05:16:59 AM,56.512,,,,,
47,05/27/16 05:31:59 AM,56.426,,,,,
48,05/27/16 05:46:59 AM,56.383,,,,,
49,05/27/16 06:01:59 AM,56.295,,,,,
50,05/27/16 06:16:59 AM,56.165,,,,,
51,05/27/16 06:31:59 AM,56.122,,,,,
52,05/27/16 06:46:59 AM,56.035,,,,,
53,05/27/16 07:01:59 AM,55.949,,,,,
54,05/27/16 07:16:59 AM,55.906,,,,,
55,05/27/16 07:31:59 AM,55.863,,,,,
56,05/27/16 07:46:59 AM,55.863,,,,,
57,05/27/16 08:01:59 AM,55.819,,,,,
58,05/27/16 08:16:59 AM,55.776,,,,,
59,05/27/16 08:31:59 AM,55.733,,,,,
60,05/27/16 08:46:59 AM,55.733,,,,,
61,05/27/16 09:01:59 AM,55.690,,,,,
62,05/27/16 09:16:59 AM,55.690,,,,,
63,05/27/16 09:31:59 AM,55.733,,,,,
64,05/27/16 09:46:59 AM,55.819,,,,,
