"Plot Title: Willow #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719034, SEN S/N: 10719034)","Coupler Detached (LGR S/N: 10719034)","Coupler Attached (LGR S/N: 10719034)","Host Connected (LGR S/N: 10719034)","Stopped (LGR S/N: 10719034)","End Of File (LGR S/N: 10719034)"
1,06/14/16 09:00:00 PM,65.444,Logged,,,,
2,06/14/16 09:15:00 PM,65.188,,,,,
3,06/14/16 09:30:00 PM,64.931,,,,,
4,06/14/16 09:45:00 PM,64.674,,,,,
5,06/14/16 10:00:00 PM,64.459,,,,,
6,06/14/16 10:15:00 PM,64.204,,,,,
7,06/14/16 10:30:00 PM,63.990,,,,,
8,06/14/16 10:45:00 PM,63.819,,,,,
9,06/14/16 11:00:00 PM,63.648,,,,,
10,06/14/16 11:15:00 PM,63.648,,,,,
11,06/14/16 11:30:00 PM,63.518,,,,,
12,06/14/16 11:45:00 PM,63.304,,,,,
13,06/15/16 12:00:00 AM,63.133,,,,,
14,06/15/16 12:15:00 AM,63.048,,,,,
15,06/15/16 12:30:00 AM,62.962,,,,,
16,06/15/16 12:45:00 AM,62.875,,,,,
17,06/15/16 01:00:00 AM,62.875,,,,,
18,06/15/16 01:15:00 AM,62.875,,,,,
19,06/15/16 01:30:00 AM,62.834,,,,,
20,06/15/16 01:45:00 AM,62.791,,,,,
21,06/15/16 02:00:00 AM,62.704,,,,,
22,06/15/16 02:15:00 AM,62.577,,,,,
23,06/15/16 02:30:00 AM,62.406,,,,,
24,06/15/16 02:45:00 AM,62.233,,,,,
25,06/15/16 03:00:00 AM,62.062,,,,,
26,06/15/16 03:15:00 AM,61.891,,,,,
27,06/15/16 03:30:00 AM,61.720,,,,,
28,06/15/16 03:45:00 AM,61.547,,,,,
29,06/15/16 04:00:00 AM,61.376,,,,,
30,06/15/16 04:15:00 AM,61.162,,,,,
31,06/15/16 04:30:00 AM,60.991,,,,,
32,06/15/16 04:45:00 AM,60.818,,,,,
33,06/15/16 05:00:00 AM,60.647,,,,,
34,06/15/16 05:15:00 AM,60.474,,,,,
35,06/15/16 05:30:00 AM,60.303,,,,,
36,06/15/16 05:45:00 AM,60.132,,,,,
37,06/15/16 06:00:00 AM,59.959,,,,,
38,06/15/16 06:15:00 AM,59.830,,,,,
39,06/15/16 06:30:00 AM,59.702,,,,,
40,06/15/16 06:45:00 AM,59.616,,,,,
41,06/15/16 07:00:00 AM,59.616,,,,,
42,06/15/16 07:15:00 AM,59.572,,,,,
43,06/15/16 07:30:00 AM,59.616,,,,,
44,06/15/16 07:45:00 AM,59.702,,,,,
45,06/15/16 08:00:00 AM,59.788,,,,,
46,06/15/16 08:15:00 AM,59.873,,,,,
47,06/15/16 08:30:00 AM,60.003,,,,,
48,06/15/16 08:45:00 AM,60.089,,,,,
49,06/15/16 09:00:00 AM,60.217,,,,,
50,06/15/16 09:15:00 AM,60.390,,,,,
51,06/15/16 09:30:00 AM,60.604,,,,,
52,06/15/16 09:45:00 AM,60.861,,,,,
53,06/15/16 10:00:00 AM,61.162,,,,,
54,06/15/16 10:15:00 AM,61.462,,,,,
55,06/15/16 10:30:00 AM,61.804,,,,,
56,06/15/16 10:45:00 AM,62.105,,,,,
57,06/15/16 11:00:00 AM,62.447,,,,,
58,06/15/16 11:15:00 AM,62.834,,,,,
59,06/15/16 11:30:00 AM,63.262,,,,,
60,06/15/16 11:45:00 AM,63.732,,,,,
61,06/15/16 12:00:00 PM,64.204,,,,,
62,06/15/16 12:15:00 PM,64.717,,,,,
63,06/15/16 12:30:00 PM,65.316,,,,,
64,06/15/16 12:45:00 PM,65.959,,,,,
65,06/15/16 01:00:00 PM,66.558,,,,,
66,06/15/16 01:15:00 PM,67.199,,,,,
67,06/15/16 01:30:00 PM,67.842,,,,,
68,06/15/16 01:45:00 PM,68.443,,,,,
69,06/15/16 02:00:00 PM,69.042,,,,,
70,06/15/16 02:15:00 PM,69.600,,,,,
71,06/15/16 02:30:00 PM,70.115,,,,,
72,06/15/16 02:45:00 PM,70.630,,,,,
73,06/15/16 03:00:00 PM,71.103,,,,,
74,06/15/16 03:15:00 PM,71.533,,,,,
75,06/15/16 03:30:00 PM,71.877,,,,,
76,06/15/16 03:45:00 PM,72.178,,,,,
77,06/15/16 04:00:00 PM,72.437,,,,,
78,06/15/16 04:15:00 PM,72.567,,,,,
79,06/15/16 04:30:00 PM,72.696,,,,,
80,06/15/16 04:45:00 PM,72.696,,,,,
81,06/15/16 05:00:00 PM,72.610,,,,,
82,06/15/16 05:15:00 PM,72.437,,,,,
83,06/15/16 05:30:00 PM,72.221,,,,,
84,06/15/16 05:45:00 PM,71.964,,,,,
85,06/15/16 06:00:00 PM,71.704,,,,,
86,06/15/16 06:15:00 PM,71.404,,,,,
87,06/15/16 06:30:00 PM,71.103,,,,,
88,06/15/16 06:45:00 PM,70.803,,,,,
89,06/15/16 07:00:00 PM,70.502,,,,,
90,06/15/16 07:15:00 PM,70.201,,,,,
91,06/15/16 07:30:00 PM,69.901,,,,,
92,06/15/16 07:45:00 PM,69.600,,,,,
93,06/15/16 08:00:00 PM,69.300,,,,,
94,06/15/16 08:15:00 PM,69.042,,,,,
95,06/15/16 08:30:00 PM,68.742,,,,,
96,06/15/16 08:45:00 PM,68.443,,,,,
97,06/15/16 09:00:00 PM,68.142,,,,,
98,06/15/16 09:15:00 PM,67.842,,,,,
99,06/15/16 09:30:00 PM,67.500,,,,,
100,06/15/16 09:45:00 PM,67.199,,,,,
101,06/15/16 10:00:00 PM,66.900,,,,,
102,06/15/16 10:15:00 PM,66.600,,,,,
103,06/15/16 10:30:00 PM,66.344,,,,,
104,06/15/16 10:45:00 PM,66.087,,,,,
105,06/15/16 11:00:00 PM,65.872,,,,,
106,06/15/16 11:15:00 PM,65.615,,,,,
107,06/15/16 11:30:00 PM,65.403,,,,,
108,06/15/16 11:45:00 PM,65.188,,,,,
109,06/16/16 12:00:00 AM,65.017,,,,,
110,06/16/16 12:15:00 AM,64.845,,,,,
111,06/16/16 12:30:00 AM,64.674,,,,,
112,06/16/16 12:45:00 AM,64.503,,,,,
113,06/16/16 01:00:00 AM,64.332,,,,,
114,06/16/16 01:15:00 AM,64.161,,,,,
115,06/16/16 01:30:00 AM,63.990,,,,,
116,06/16/16 01:45:00 AM,63.819,,,,,
117,06/16/16 02:00:00 AM,63.689,,,,,
118,06/16/16 02:15:00 AM,63.561,,,,,
119,06/16/16 02:30:00 AM,63.433,,,,,
120,06/16/16 02:45:00 AM,63.304,,,,,
121,06/16/16 03:00:00 AM,63.176,,,,,
122,06/16/16 03:15:00 AM,63.090,,,,,
123,06/16/16 03:30:00 AM,62.962,,,,,
124,06/16/16 03:45:00 AM,62.875,,,,,
125,06/16/16 04:00:00 AM,62.791,,,,,
126,06/16/16 04:15:00 AM,62.704,,,,,
127,06/16/16 04:30:00 AM,62.620,,,,,
128,06/16/16 04:45:00 AM,62.533,,,,,
129,06/16/16 05:00:00 AM,62.406,,,,,
130,06/16/16 05:15:00 AM,62.319,,,,,
131,06/16/16 05:30:00 AM,62.233,,,,,
132,06/16/16 05:45:00 AM,62.148,,,,,
133,06/16/16 06:00:00 AM,62.019,,,,,
134,06/16/16 06:15:00 AM,61.934,,,,,
135,06/16/16 06:30:00 AM,61.891,,,,,
136,06/16/16 06:45:00 AM,61.804,,,,,
137,06/16/16 07:00:00 AM,61.761,,,,,
138,06/16/16 07:15:00 AM,61.677,,,,,
139,06/16/16 07:30:00 AM,61.633,,,,,
140,06/16/16 07:45:00 AM,61.590,,,,,
141,06/16/16 08:00:00 AM,61.547,,,,,
142,06/16/16 08:15:00 AM,61.547,,,,,
143,06/16/16 08:30:00 AM,61.633,,,,,
144,06/16/16 08:45:00 AM,61.677,,,,,
145,06/16/16 09:00:00 AM,61.848,,,,,
146,06/16/16 09:15:00 AM,62.019,,,,,
147,06/16/16 09:30:00 AM,62.233,,,,,
148,06/16/16 09:45:00 AM,62.533,,,,,
149,06/16/16 10:00:00 AM,62.834,,,,,
150,06/16/16 10:15:00 AM,63.219,,,,,
151,06/16/16 10:30:00 AM,63.604,,,,,
152,06/16/16 10:45:00 AM,63.990,,,,,
153,06/16/16 11:00:00 AM,64.418,,,,,
154,06/16/16 11:15:00 AM,64.845,,,,,
155,06/16/16 11:30:00 AM,65.316,,,,,
156,06/16/16 11:45:00 AM,65.829,,,,,
157,06/16/16 12:00:00 PM,66.344,,,,,
158,06/16/16 12:15:00 PM,66.900,,,,,
159,06/16/16 12:30:00 PM,67.500,,,,,
160,06/16/16 12:45:00 PM,68.142,,,,,
161,06/16/16 01:00:00 PM,68.785,,,,,
162,06/16/16 01:15:00 PM,69.427,,,,,
163,06/16/16 01:30:00 PM,70.072,,,,,
164,06/16/16 01:45:00 PM,70.673,,,,,
165,06/16/16 02:00:00 PM,71.231,,,,,
166,06/16/16 02:15:00 PM,71.791,,,,,
167,06/16/16 02:30:00 PM,72.307,,,,,
168,06/16/16 02:45:00 PM,72.826,,,,,
169,06/16/16 03:00:00 PM,73.256,,,,,
170,06/16/16 03:15:00 PM,73.645,,,,,
171,06/16/16 03:30:00 PM,73.990,,,,,
172,06/16/16 03:45:00 PM,74.250,,,,,
173,06/16/16 04:00:00 PM,74.467,,,,,
174,06/16/16 04:15:00 PM,74.554,,,,,
175,06/16/16 04:30:00 PM,74.597,,,,,
176,06/16/16 04:45:00 PM,74.554,,,,,
177,06/16/16 05:00:00 PM,74.424,,,,,
178,06/16/16 05:15:00 PM,74.250,,,,,
179,06/16/16 05:30:00 PM,74.034,,,,,
180,06/16/16 05:45:00 PM,73.731,,,,,
181,06/16/16 06:00:00 PM,73.429,,,,,
182,06/16/16 06:15:00 PM,73.083,,,,,
183,06/16/16 06:30:00 PM,72.739,,,,,
184,06/16/16 06:45:00 PM,72.437,,,,,
185,06/16/16 07:00:00 PM,72.136,,,,,
186,06/16/16 07:15:00 PM,71.791,,,,,
187,06/16/16 07:30:00 PM,71.490,,,,,
188,06/16/16 07:45:00 PM,71.146,,,,,
189,06/16/16 08:00:00 PM,70.887,,,,,
190,06/16/16 08:15:00 PM,70.587,,,,,
191,06/16/16 08:30:00 PM,70.286,,,,,
192,06/16/16 08:45:00 PM,69.985,,,,,
193,06/16/16 09:00:00 PM,69.685,,,,,
194,06/16/16 09:15:00 PM,69.386,,,,,
195,06/16/16 09:30:00 PM,69.042,,,,,
196,06/16/16 09:45:00 PM,68.742,,,,,
197,06/16/16 10:00:00 PM,68.400,,,,,
198,06/16/16 10:15:00 PM,68.099,,,,,
