Plot Title: AID #1							
#	"Date Time, GMT-05:00"	"Temp, °F (LGR S/N: 10719030, SEN S/N: 10719030)"	Coupler Detached (LGR S/N: 10719030)	Coupler Attached (LGR S/N: 10719030)	Host Connected (LGR S/N: 10719030)	Stopped (LGR S/N: 10719030)	End Of File (LGR S/N: 10719030)
4561	8/1/2016 0:00	78.865					
4562	8/1/2016 0:15	78.559					
4563	8/1/2016 0:30	78.427			67.798	74.4422211	84.722
4564	8/1/2016 0:45	78.296					
4565	8/1/2016 1:00	78.121					
4566	8/1/2016 1:15	77.945					
4567	8/1/2016 1:30	77.77					
4568	8/1/2016 1:45	77.684					
4569	8/1/2016 2:00	77.596					
4570	8/1/2016 2:15	77.509					
4571	8/1/2016 2:30	77.421					
4572	8/1/2016 2:45	77.378					
4573	8/1/2016 3:00	77.335					
4574	8/1/2016 3:15	77.247					
4575	8/1/2016 3:30	77.117					
4576	8/1/2016 3:45	77.029					
4577	8/1/2016 4:00	76.899					
4578	8/1/2016 4:15	76.768					
4579	8/1/2016 4:30	76.636					
4580	8/1/2016 4:45	76.636					
4581	8/1/2016 5:00	76.636					
4582	8/1/2016 5:15	76.593					
4583	8/1/2016 5:30	76.507					
4584	8/1/2016 5:45	76.507					
4585	8/1/2016 6:00	76.464					
4586	8/1/2016 6:15	76.419					
4587	8/1/2016 6:30	76.419					
4588	8/1/2016 6:45	76.375					
4589	8/1/2016 7:00	76.375					
4590	8/1/2016 7:15	76.332					
4591	8/1/2016 7:30	76.375					
4592	8/1/2016 7:45	76.375					
4593	8/1/2016 8:00	76.375					
4594	8/1/2016 8:15	76.419					
4595	8/1/2016 8:30	76.464					
4596	8/1/2016 8:45	76.507					
4597	8/1/2016 9:00	76.507					
4598	8/1/2016 9:15	76.507					
4599	8/1/2016 9:30	76.507					
4600	8/1/2016 9:45	76.593					
4601	8/1/2016 10:00	76.636					
4602	8/1/2016 10:15	76.681					
4603	8/1/2016 10:30	76.725					
4604	8/1/2016 10:45	76.854					
4605	8/1/2016 11:00	77.029					
4606	8/1/2016 11:15	77.292					
4607	8/1/2016 11:30	77.684					
4608	8/1/2016 11:45	77.859					
4609	8/1/2016 12:00	78.033					
4610	8/1/2016 12:15	78.121					
4611	8/1/2016 12:30	78.076					
4612	8/1/2016 12:45	78.121					
4613	8/1/2016 13:00	78.251					
4614	8/1/2016 13:15	78.382					
4615	8/1/2016 13:30	78.471					
4616	8/1/2016 13:45	78.69					
4617	8/1/2016 14:00	78.91					
4618	8/1/2016 14:15	79.173					
4619	8/1/2016 14:30	79.48					
4620	8/1/2016 14:45	79.831					
4621	8/1/2016 15:00	80.227					
4622	8/1/2016 15:15	80.625					
4623	8/1/2016 15:30	80.89					
4624	8/1/2016 15:45	81.288					
4625	8/1/2016 16:00	81.642					
4626	8/1/2016 16:15	81.997					
4627	8/1/2016 16:30	82.263					
4628	8/1/2016 16:45	82.486					
4629	8/1/2016 17:00	82.798					
4630	8/1/2016 17:15	82.841					
4631	8/1/2016 17:30	82.798					
4632	8/1/2016 17:45	82.931					
4633	8/1/2016 18:00	83.064					
4634	8/1/2016 18:15	83.154					
4635	8/1/2016 18:30	83.154					
