"Plot Title: Bone #4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719038, SEN S/N: 10719038)","Coupler Detached (LGR S/N: 10719038)","Coupler Attached (LGR S/N: 10719038)","Host Connected (LGR S/N: 10719038)","Stopped (LGR S/N: 10719038)","End Of File (LGR S/N: 10719038)"
1,06/13/16 04:00:00 PM,79.347,Logged,,,,
2,06/13/16 04:15:00 PM,79.655,,,,,
3,06/13/16 04:30:00 PM,79.920,,,,,
4,06/13/16 04:45:00 PM,80.096,,,,,
5,06/13/16 05:00:00 PM,80.272,,,,,
6,06/13/16 05:15:00 PM,80.361,,,,,
7,06/13/16 05:30:00 PM,80.404,,,,,
8,06/13/16 05:45:00 PM,80.404,,,,,
9,06/13/16 06:00:00 PM,80.272,,,,,
10,06/13/16 06:15:00 PM,80.096,,,,,
11,06/13/16 06:30:00 PM,79.876,,,,,
12,06/13/16 06:45:00 PM,79.788,,,,,
13,06/13/16 07:00:00 PM,79.524,,,,,
14,06/13/16 07:15:00 PM,79.347,,,,,
15,06/13/16 07:30:00 PM,79.084,,,,,
16,06/13/16 07:45:00 PM,78.822,,,,,
17,06/13/16 08:00:00 PM,78.559,,,,,
18,06/13/16 08:15:00 PM,78.296,,,,,
19,06/13/16 08:30:00 PM,78.033,,,,,
20,06/13/16 08:45:00 PM,77.770,,,,,
21,06/13/16 09:00:00 PM,77.509,,,,,
22,06/13/16 09:15:00 PM,77.247,,,,,
23,06/13/16 09:30:00 PM,76.942,,,,,
24,06/13/16 09:45:00 PM,76.593,,,,,
25,06/13/16 10:00:00 PM,76.246,,,,,
26,06/13/16 10:15:00 PM,75.898,,,,,
27,06/13/16 10:30:00 PM,75.551,,,,,
28,06/13/16 10:45:00 PM,75.247,,,,,
29,06/13/16 11:00:00 PM,74.899,,,,,
30,06/13/16 11:15:00 PM,74.597,,,,,
31,06/13/16 11:30:00 PM,74.338,,,,,
32,06/13/16 11:45:00 PM,74.034,,,,,
33,06/14/16 12:00:00 AM,73.731,,,,,
34,06/14/16 12:15:00 AM,73.472,,,,,
35,06/14/16 12:30:00 AM,73.256,,,,,
36,06/14/16 12:45:00 AM,72.997,,,,,
37,06/14/16 01:00:00 AM,72.739,,,,,
38,06/14/16 01:15:00 AM,72.523,,,,,
39,06/14/16 01:30:00 AM,72.264,,,,,
40,06/14/16 01:45:00 AM,72.007,,,,,
41,06/14/16 02:00:00 AM,71.704,,,,,
42,06/14/16 02:15:00 AM,71.404,,,,,
43,06/14/16 02:30:00 AM,71.146,,,,,
44,06/14/16 02:45:00 AM,70.887,,,,,
45,06/14/16 03:00:00 AM,70.630,,,,,
46,06/14/16 03:15:00 AM,70.372,,,,,
47,06/14/16 03:30:00 AM,70.115,,,,,
48,06/14/16 03:45:00 AM,69.901,,,,,
49,06/14/16 04:00:00 AM,69.685,,,,,
50,06/14/16 04:15:00 AM,69.471,,,,,
51,06/14/16 04:30:00 AM,69.256,,,,,
52,06/14/16 04:45:00 AM,69.085,,,,,
53,06/14/16 05:00:00 AM,68.871,,,,,
