"Plot Title: Chadron Creek Park Entrance 12-8-15"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739555, SEN S/N: 10739555)","Coupler Detached (LGR S/N: 10739555)","Coupler Attached (LGR S/N: 10739555)","Stopped (LGR S/N: 10739555)","End Of File (LGR S/N: 10739555)"
1,12/08/15 12:30:00 PM,45.714,Logged,,,
2,12/08/15 12:45:00 PM,45.896,,,,
3,12/08/15 01:00:00 PM,46.121,,,,
4,12/08/15 01:15:00 PM,46.346,,,,
5,12/08/15 01:30:00 PM,46.616,,,,
6,12/08/15 01:45:00 PM,46.974,,,,
7,12/08/15 02:00:00 PM,47.289,,,,
8,12/08/15 02:15:00 PM,47.289,,,,
9,12/08/15 02:30:00 PM,47.289,,,,
10,12/08/15 02:45:00 PM,47.334,,,,
11,12/08/15 03:00:00 PM,47.334,,,,
12,12/08/15 03:15:00 PM,47.289,,,,
13,12/08/15 03:30:00 PM,47.199,,,,
14,12/08/15 03:45:00 PM,47.199,,,,
15,12/08/15 04:00:00 PM,47.154,,,,
16,12/08/15 04:15:00 PM,47.064,,,,
17,12/08/15 04:30:00 PM,47.019,,,,
18,12/08/15 04:45:00 PM,46.974,,,,
19,12/08/15 05:00:00 PM,46.931,,,,
20,12/08/15 05:15:00 PM,46.841,,,,
21,12/08/15 05:30:00 PM,46.706,,,,
22,12/08/15 05:45:00 PM,46.481,,,,
23,12/08/15 06:00:00 PM,46.301,,,,
24,12/08/15 06:15:00 PM,46.166,,,,
25,12/08/15 06:30:00 PM,45.986,,,,
26,12/08/15 06:45:00 PM,45.851,,,,
27,12/08/15 07:00:00 PM,45.761,,,,
28,12/08/15 07:15:00 PM,45.624,,,,
29,12/08/15 07:30:00 PM,45.444,,,,
30,12/08/15 07:45:00 PM,45.307,,,,
31,12/08/15 08:00:00 PM,45.127,,,,
32,12/08/15 08:15:00 PM,44.991,,,,
33,12/08/15 08:30:00 PM,44.856,,,,
34,12/08/15 08:45:00 PM,44.674,,,,
35,12/08/15 09:00:00 PM,44.537,,,,
36,12/08/15 09:15:00 PM,44.355,,,,
37,12/08/15 09:30:00 PM,44.218,,,,
38,12/08/15 09:45:00 PM,44.037,,,,
39,12/08/15 10:00:00 PM,43.945,,,,
40,12/08/15 10:15:00 PM,43.808,,,,
41,12/08/15 10:30:00 PM,43.671,,,,
42,12/08/15 10:45:00 PM,43.534,,,,
43,12/08/15 11:00:00 PM,43.396,,,,
44,12/08/15 11:15:00 PM,43.214,,,,
45,12/08/15 11:30:00 PM,43.075,,,,
46,12/08/15 11:45:00 PM,42.939,,,,
47,12/09/15 12:00:00 AM,42.847,,,,
48,12/09/15 12:15:00 AM,42.708,,,,
49,12/09/15 12:30:00 AM,42.616,,,,
50,12/09/15 12:45:00 AM,42.478,,,,
51,12/09/15 01:00:00 AM,42.386,,,,
52,12/09/15 01:15:00 AM,42.294,,,,
53,12/09/15 01:30:00 AM,42.202,,,,
54,12/09/15 01:45:00 AM,42.109,,,,
55,12/09/15 02:00:00 AM,42.017,,,,
56,12/09/15 02:15:00 AM,41.925,,,,
57,12/09/15 02:30:00 AM,41.832,,,,
58,12/09/15 02:45:00 AM,41.740,,,,
59,12/09/15 03:00:00 AM,41.693,,,,
60,12/09/15 03:15:00 AM,41.648,,,,
61,12/09/15 03:30:00 AM,41.648,,,,
