"Plot Title: Middle Loop N Mullen"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719044, SEN S/N: 10719044)","Coupler Detached (LGR S/N: 10719044)","Coupler Attached (LGR S/N: 10719044)","Host Connected (LGR S/N: 10719044)","Stopped (LGR S/N: 10719044)","End Of File (LGR S/N: 10719044)"
1,06/17/16 12:00:00 AM,58.582,Logged,,,,
2,06/17/16 12:15:00 AM,58.411,,,,,
3,06/17/16 12:30:00 AM,58.368,,,,,
4,06/17/16 12:45:00 AM,58.239,,,,,
5,06/17/16 01:00:00 AM,58.152,,,,,
6,06/17/16 01:15:00 AM,58.152,,,,,
7,06/17/16 01:30:00 AM,58.195,,,,,
8,06/17/16 01:45:00 AM,58.152,,,,,
9,06/17/16 02:00:00 AM,58.152,,,,,
10,06/17/16 02:15:00 AM,58.152,,,,,
11,06/17/16 02:30:00 AM,58.152,,,,,
12,06/17/16 02:45:00 AM,58.066,,,,,
13,06/17/16 03:00:00 AM,57.979,,,,,
14,06/17/16 03:15:00 AM,57.850,,,,,
15,06/17/16 03:30:00 AM,57.722,,,,,
16,06/17/16 03:45:00 AM,57.549,,,,,
17,06/17/16 04:00:00 AM,57.463,,,,,
18,06/17/16 04:15:00 AM,57.376,,,,,
19,06/17/16 04:30:00 AM,57.376,,,,,
20,06/17/16 04:45:00 AM,57.333,,,,,
21,06/17/16 05:00:00 AM,57.290,,,,,
22,06/17/16 05:15:00 AM,57.247,,,,,
23,06/17/16 05:30:00 AM,57.160,,,,,
24,06/17/16 05:45:00 AM,57.117,,,,,
25,06/17/16 06:00:00 AM,57.074,,,,,
26,06/17/16 06:15:00 AM,56.988,,,,,
27,06/17/16 06:30:00 AM,57.031,,,,,
28,06/17/16 06:45:00 AM,57.031,,,,,
29,06/17/16 07:00:00 AM,56.988,,,,,
30,06/17/16 07:15:00 AM,56.988,,,,,
31,06/17/16 07:30:00 AM,56.944,,,,,
32,06/17/16 07:45:00 AM,56.988,,,,,
33,06/17/16 08:00:00 AM,56.988,,,,,
34,06/17/16 08:15:00 AM,56.944,,,,,
35,06/17/16 08:30:00 AM,56.988,,,,,
36,06/17/16 08:45:00 AM,57.117,,,,,
37,06/17/16 09:00:00 AM,57.160,,,,,
38,06/17/16 09:15:00 AM,57.247,,,,,
39,06/17/16 09:30:00 AM,57.247,,,,,
40,06/17/16 09:45:00 AM,57.333,,,,,
41,06/17/16 10:00:00 AM,57.376,,,,,
42,06/17/16 10:15:00 AM,57.463,,,,,
43,06/17/16 10:30:00 AM,57.463,,,,,
44,06/17/16 10:45:00 AM,57.592,,,,,
45,06/17/16 11:00:00 AM,57.679,,,,,
46,06/17/16 11:15:00 AM,57.765,,,,,
47,06/17/16 11:30:00 AM,57.807,,,,,
48,06/17/16 11:45:00 AM,57.807,,,,,
49,06/17/16 12:00:00 PM,57.765,,,,,
50,06/17/16 12:15:00 PM,57.765,,,,,
51,06/17/16 12:30:00 PM,57.807,,,,,
52,06/17/16 12:45:00 PM,57.850,,,,,
53,06/17/16 01:00:00 PM,57.850,,,,,
54,06/17/16 01:15:00 PM,57.893,,,,,
55,06/17/16 01:30:00 PM,57.936,,,,,
56,06/17/16 01:45:00 PM,57.850,,,,,
57,06/17/16 02:00:00 PM,57.850,,,,,
