"Plot Title: Plum #5"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719021, SEN S/N: 10719021)","Coupler Detached (LGR S/N: 10719021)","Coupler Attached (LGR S/N: 10719021)","Host Connected (LGR S/N: 10719021)","Stopped (LGR S/N: 10719021)","End Of File (LGR S/N: 10719021)"
1,06/14/16 03:00:00 PM,69.901,Logged,,,,
2,06/14/16 03:15:00 PM,69.814,,,,,
3,06/14/16 03:30:00 PM,70.158,,,,,
4,06/14/16 03:45:00 PM,70.416,,,,,
5,06/14/16 04:00:00 PM,70.630,,,,,
6,06/14/16 04:15:00 PM,70.759,,,,,
7,06/14/16 04:30:00 PM,70.803,,,,,
8,06/14/16 04:45:00 PM,70.587,,,,,
9,06/14/16 05:00:00 PM,70.459,,,,,
10,06/14/16 05:15:00 PM,70.459,,,,,
11,06/14/16 05:30:00 PM,70.459,,,,,
12,06/14/16 05:45:00 PM,70.502,,,,,
13,06/14/16 06:00:00 PM,70.459,,,,,
14,06/14/16 06:15:00 PM,70.502,,,,,
15,06/14/16 06:30:00 PM,70.502,,,,,
16,06/14/16 06:45:00 PM,70.416,,,,,
17,06/14/16 07:00:00 PM,70.243,,,,,
18,06/14/16 07:15:00 PM,70.201,,,,,
19,06/14/16 07:30:00 PM,70.201,,,,,
20,06/14/16 07:45:00 PM,70.201,,,,,
21,06/14/16 08:00:00 PM,70.201,,,,,
22,06/14/16 08:15:00 PM,70.286,,,,,
23,06/14/16 08:30:00 PM,70.416,,,,,
24,06/14/16 08:45:00 PM,70.459,,,,,
25,06/14/16 09:00:00 PM,70.459,,,,,
26,06/14/16 09:15:00 PM,70.502,,,,,
27,06/14/16 09:30:00 PM,70.543,,,,,
28,06/14/16 09:45:00 PM,70.543,,,,,
29,06/14/16 10:00:00 PM,70.543,,,,,
30,06/14/16 10:15:00 PM,70.502,,,,,
31,06/14/16 10:30:00 PM,70.459,,,,,
32,06/14/16 10:45:00 PM,70.416,,,,,
33,06/14/16 11:00:00 PM,70.329,,,,,
34,06/14/16 11:15:00 PM,70.286,,,,,
35,06/14/16 11:30:00 PM,70.243,,,,,
36,06/14/16 11:45:00 PM,70.158,,,,,
37,06/15/16 12:00:00 AM,69.985,,,,,
38,06/15/16 12:15:00 AM,69.858,,,,,
39,06/15/16 12:30:00 AM,69.643,,,,,
40,06/15/16 12:45:00 AM,69.471,,,,,
41,06/15/16 01:00:00 AM,69.300,,,,,
42,06/15/16 01:15:00 AM,69.170,,,,,
43,06/15/16 01:30:00 AM,69.042,,,,,
44,06/15/16 01:45:00 AM,68.956,,,,,
45,06/15/16 02:00:00 AM,68.828,,,,,
46,06/15/16 02:15:00 AM,68.698,,,,,
47,06/15/16 02:30:00 AM,68.571,,,,,
48,06/15/16 02:45:00 AM,68.443,,,,,
49,06/15/16 03:00:00 AM,68.313,,,,,
50,06/15/16 03:15:00 AM,68.185,,,,,
51,06/15/16 03:30:00 AM,68.056,,,,,
52,06/15/16 03:45:00 AM,67.928,,,,,
53,06/15/16 04:00:00 AM,67.757,,,,,
54,06/15/16 04:15:00 AM,67.586,,,,,
55,06/15/16 04:30:00 AM,67.413,,,,,
56,06/15/16 04:45:00 AM,67.199,,,,,
57,06/15/16 05:00:00 AM,67.028,,,,,
58,06/15/16 05:15:00 AM,66.857,,,,,
59,06/15/16 05:30:00 AM,66.686,,,,,
60,06/15/16 05:45:00 AM,66.558,,,,,
61,06/15/16 06:00:00 AM,66.385,,,,,
62,06/15/16 06:15:00 AM,66.258,,,,,
63,06/15/16 06:30:00 AM,66.130,,,,,
64,06/15/16 06:45:00 AM,66.000,,,,,
65,06/15/16 07:00:00 AM,65.916,,,,,
66,06/15/16 07:15:00 AM,65.788,,,,,
67,06/15/16 07:30:00 AM,65.701,,,,,
68,06/15/16 07:45:00 AM,65.574,,,,,
69,06/15/16 08:00:00 AM,65.487,,,,,
70,06/15/16 08:15:00 AM,65.403,,,,,
71,06/15/16 08:30:00 AM,65.316,,,,,
72,06/15/16 08:45:00 AM,65.230,,,,,
73,06/15/16 09:00:00 AM,65.188,,,,,
74,06/15/16 09:15:00 AM,65.188,,,,,
75,06/15/16 09:30:00 AM,65.188,,,,,
76,06/15/16 09:45:00 AM,65.145,,,,,
77,06/15/16 10:00:00 AM,65.145,,,,,
78,06/15/16 10:15:00 AM,65.188,,,,,
79,06/15/16 10:30:00 AM,65.230,,,,,
80,06/15/16 10:45:00 AM,65.316,,,,,
81,06/15/16 11:00:00 AM,65.444,,,,,
82,06/15/16 11:15:00 AM,65.574,,,,,
83,06/15/16 11:30:00 AM,65.829,,,,,
84,06/15/16 11:45:00 AM,66.087,,,,,
85,06/15/16 12:00:00 PM,66.385,,,,,
86,06/15/16 12:15:00 PM,66.686,,,,,
87,06/15/16 12:30:00 PM,67.028,,,,,
88,06/15/16 12:45:00 PM,67.413,,,,,
89,06/15/16 01:00:00 PM,67.798,,,,,
90,06/15/16 01:15:00 PM,68.227,,,,,
91,06/15/16 01:30:00 PM,68.698,,,,,
92,06/15/16 01:45:00 PM,69.129,,,,,
93,06/15/16 02:00:00 PM,69.557,,,,,
94,06/15/16 02:15:00 PM,69.942,,,,,
95,06/15/16 02:30:00 PM,70.329,,,,,
96,06/15/16 02:45:00 PM,70.716,,,,,
97,06/15/16 03:00:00 PM,71.060,,,,,
98,06/15/16 03:15:00 PM,71.361,,,,,
99,06/15/16 03:30:00 PM,71.620,,,,,
100,06/15/16 03:45:00 PM,71.834,,,,,
101,06/15/16 04:00:00 PM,72.007,,,,,
102,06/15/16 04:15:00 PM,72.178,,,,,
103,06/15/16 04:30:00 PM,72.307,,,,,
104,06/15/16 04:45:00 PM,72.437,,,,,
105,06/15/16 05:00:00 PM,72.523,,,,,
106,06/15/16 05:15:00 PM,72.610,,,,,
107,06/15/16 05:30:00 PM,72.696,,,,,
108,06/15/16 05:45:00 PM,72.739,,,,,
109,06/15/16 06:00:00 PM,72.826,,,,,
110,06/15/16 06:15:00 PM,72.912,,,,,
111,06/15/16 06:30:00 PM,72.997,,,,,
112,06/15/16 06:45:00 PM,73.083,,,,,
113,06/15/16 07:00:00 PM,73.170,,,,,
114,06/15/16 07:15:00 PM,73.213,,,,,
115,06/15/16 07:30:00 PM,73.256,,,,,
116,06/15/16 07:45:00 PM,73.299,,,,,
117,06/15/16 08:00:00 PM,73.342,,,,,
118,06/15/16 08:15:00 PM,73.386,,,,,
119,06/15/16 08:30:00 PM,73.429,,,,,
120,06/15/16 08:45:00 PM,73.429,,,,,
121,06/15/16 09:00:00 PM,73.472,,,,,
122,06/15/16 09:15:00 PM,73.472,,,,,
123,06/15/16 09:30:00 PM,73.515,,,,,
124,06/15/16 09:45:00 PM,73.515,,,,,
125,06/15/16 10:00:00 PM,73.515,,,,,
126,06/15/16 10:15:00 PM,73.515,,,,,
127,06/15/16 10:30:00 PM,73.515,,,,,
128,06/15/16 10:45:00 PM,73.515,,,,,
129,06/15/16 11:00:00 PM,73.515,,,,,
130,06/15/16 11:15:00 PM,73.472,,,,,
131,06/15/16 11:30:00 PM,73.429,,,,,
132,06/15/16 11:45:00 PM,73.386,,,,,
133,06/16/16 12:00:00 AM,73.342,,,,,
134,06/16/16 12:15:00 AM,73.256,,,,,
135,06/16/16 12:30:00 AM,73.170,,,,,
136,06/16/16 12:45:00 AM,73.083,,,,,
137,06/16/16 01:00:00 AM,73.040,,,,,
138,06/16/16 01:15:00 AM,72.997,,,,,
139,06/16/16 01:30:00 AM,72.912,,,,,
140,06/16/16 01:45:00 AM,72.826,,,,,
141,06/16/16 02:00:00 AM,72.783,,,,,
142,06/16/16 02:15:00 AM,72.696,,,,,
143,06/16/16 02:30:00 AM,72.567,,,,,
144,06/16/16 02:45:00 AM,72.480,,,,,
145,06/16/16 03:00:00 AM,72.394,,,,,
146,06/16/16 03:15:00 AM,72.307,,,,,
147,06/16/16 03:30:00 AM,72.178,,,,,
148,06/16/16 03:45:00 AM,72.093,,,,,
149,06/16/16 04:00:00 AM,72.007,,,,,
150,06/16/16 04:15:00 AM,71.877,,,,,
151,06/16/16 04:30:00 AM,71.791,,,,,
152,06/16/16 04:45:00 AM,71.661,,,,,
153,06/16/16 05:00:00 AM,71.533,,,,,
154,06/16/16 05:15:00 AM,71.361,,,,,
155,06/16/16 05:30:00 AM,71.231,,,,,
