"Plot Title: White Clay Creek"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2408886, SEN S/N: 2408886)","Coupler Detached (LGR S/N: 2408886)","Coupler Attached (LGR S/N: 2408886)","Host Connected (LGR S/N: 2408886)","Stopped (LGR S/N: 2408886)","End Of File (LGR S/N: 2408886)"
1,05/27/16 01:00:00 PM,76.246,Logged,,,,
2,05/27/16 01:15:00 PM,55.647,,,,,
3,05/27/16 01:30:00 PM,55.038,,,,,
4,05/27/16 01:45:00 PM,54.820,,,,,
5,05/27/16 02:00:00 PM,54.734,,,,,
6,05/27/16 02:15:00 PM,54.820,,,,,
7,05/27/16 02:30:00 PM,54.995,,,,,
8,05/27/16 02:45:00 PM,55.342,,,,,
9,05/27/16 03:00:00 PM,55.819,,,,,
10,05/27/16 03:15:00 PM,56.340,,,,,
11,05/27/16 03:30:00 PM,56.728,,,,,
12,05/27/16 03:45:00 PM,56.944,,,,,
13,05/27/16 04:00:00 PM,57.160,,,,,
14,05/27/16 04:15:00 PM,57.463,,,,,
15,05/27/16 04:30:00 PM,57.722,,,,,
16,05/27/16 04:45:00 PM,57.850,,,,,
17,05/27/16 05:00:00 PM,57.979,,,,,
18,05/27/16 05:15:00 PM,58.023,,,,,
19,05/27/16 05:30:00 PM,57.936,,,,,
20,05/27/16 05:45:00 PM,57.807,,,,,
21,05/27/16 06:00:00 PM,57.722,,,,,
22,05/27/16 06:15:00 PM,57.807,,,,,
23,05/27/16 06:30:00 PM,57.850,,,,,
24,05/27/16 06:45:00 PM,57.765,,,,,
25,05/27/16 07:00:00 PM,57.636,,,,,
26,05/27/16 07:15:00 PM,57.420,,,,,
27,05/27/16 07:30:00 PM,57.204,,,,,
28,05/27/16 07:45:00 PM,56.988,,,,,
29,05/27/16 08:00:00 PM,56.815,,,,,
30,05/27/16 08:15:00 PM,56.599,,,,,
31,05/27/16 08:30:00 PM,56.426,,,,,
32,05/27/16 08:45:00 PM,56.165,,,,,
33,05/27/16 09:00:00 PM,55.906,,,,,
34,05/27/16 09:15:00 PM,55.602,,,,,
35,05/27/16 09:30:00 PM,55.299,,,,,
36,05/27/16 09:45:00 PM,54.995,,,,,
37,05/27/16 10:00:00 PM,54.691,,,,,
38,05/27/16 10:15:00 PM,54.430,,,,,
39,05/27/16 10:30:00 PM,54.169,,,,,
40,05/27/16 10:45:00 PM,53.908,,,,,
41,05/27/16 11:00:00 PM,53.645,,,,,
42,05/27/16 11:15:00 PM,53.384,,,,,
43,05/27/16 11:30:00 PM,53.121,,,,,
44,05/27/16 11:45:00 PM,52.860,,,,,
45,05/28/16 12:00:00 AM,52.597,,,,,
46,05/28/16 12:15:00 AM,52.335,,,,,
47,05/28/16 12:30:00 AM,52.072,,,,,
48,05/28/16 12:45:00 AM,51.764,,,,,
49,05/28/16 01:00:00 AM,51.501,,,,,
50,05/28/16 01:15:00 AM,51.237,,,,,
51,05/28/16 01:30:00 AM,50.974,,,,,
52,05/28/16 01:45:00 AM,50.752,,,,,
53,05/28/16 02:00:00 AM,50.488,,,,,
54,05/28/16 02:15:00 AM,50.268,,,,,
55,05/28/16 02:30:00 AM,50.047,,,,,
56,05/28/16 02:45:00 AM,49.782,,,,,
57,05/28/16 03:00:00 AM,49.604,,,,,
58,05/28/16 03:15:00 AM,49.383,,,,,
59,05/28/16 03:30:00 AM,49.161,,,,,
60,05/28/16 03:45:00 AM,48.983,,,,,
61,05/28/16 04:00:00 AM,48.762,,,,,
62,05/28/16 04:15:00 AM,48.583,,,,,
63,05/28/16 04:30:00 AM,48.360,,,,,
64,05/28/16 04:45:00 AM,48.182,,,,,
65,05/28/16 05:00:00 AM,48.004,,,,,
66,05/28/16 05:15:00 AM,47.826,,,,,
67,05/28/16 05:30:00 AM,47.647,,,,,
68,05/28/16 05:45:00 AM,47.512,,,,,
69,05/28/16 06:00:00 AM,47.334,,,,,
70,05/28/16 06:15:00 AM,47.199,,,,,
71,05/28/16 06:30:00 AM,47.064,,,,,
72,05/28/16 06:45:00 AM,46.931,,,,,
73,05/28/16 07:00:00 AM,46.841,,,,,
74,05/28/16 07:15:00 AM,46.751,,,,,
75,05/28/16 07:30:00 AM,46.706,,,,,
76,05/28/16 07:45:00 AM,46.706,,,,,
77,05/28/16 08:00:00 AM,46.706,,,,,
78,05/28/16 08:15:00 AM,46.796,,,,,
79,05/28/16 08:30:00 AM,46.931,,,,,
80,05/28/16 08:45:00 AM,47.199,,,,,
81,05/28/16 09:00:00 AM,47.512,,,,,
82,05/28/16 09:15:00 AM,47.914,,,,,
83,05/28/16 09:30:00 AM,48.315,,,,,
84,05/28/16 09:45:00 AM,48.717,,,,,
85,05/28/16 10:00:00 AM,49.338,,,,,
86,05/28/16 10:15:00 AM,49.959,,,,,
87,05/28/16 10:30:00 AM,50.621,,,,,
88,05/28/16 10:45:00 AM,51.370,,,,,
89,05/28/16 11:00:00 AM,52.203,,,,,
90,05/28/16 11:15:00 AM,53.035,,,,,
91,05/28/16 11:30:00 AM,53.820,,,,,
92,05/28/16 11:45:00 AM,54.691,,,,,
93,05/28/16 12:00:00 PM,55.558,,,,,
94,05/28/16 12:15:00 PM,56.426,,,,,
95,05/28/16 12:30:00 PM,57.463,,,,,
96,05/28/16 12:45:00 PM,58.411,,,,,
97,05/28/16 01:00:00 PM,58.971,,,,,
98,05/28/16 01:15:00 PM,59.659,,,,,
99,05/28/16 01:30:00 PM,60.132,,,,,
100,05/28/16 01:45:00 PM,60.390,,,,,
101,05/28/16 02:00:00 PM,60.217,,,,,
102,05/28/16 02:15:00 PM,59.702,,,,,
103,05/28/16 02:30:00 PM,58.885,,,,,
104,05/28/16 02:45:00 PM,58.411,,,,,
105,05/28/16 03:00:00 PM,57.979,,,,,
106,05/28/16 03:15:00 PM,58.066,,,,,
107,05/28/16 03:30:00 PM,58.798,,,,,
108,05/28/16 03:45:00 PM,59.788,,,,,
109,05/28/16 04:00:00 PM,60.303,,,,,
110,05/28/16 04:15:00 PM,60.775,,,,,
111,05/28/16 04:30:00 PM,60.861,,,,,
112,05/28/16 04:45:00 PM,60.474,,,,,
113,05/28/16 05:00:00 PM,59.702,,,,,
114,05/28/16 05:15:00 PM,59.099,,,,,
115,05/28/16 05:30:00 PM,58.798,,,,,
116,05/28/16 05:45:00 PM,58.755,,,,,
117,05/28/16 06:00:00 PM,58.798,,,,,
118,05/28/16 06:15:00 PM,58.755,,,,,
119,05/28/16 06:30:00 PM,58.842,,,,,
120,05/28/16 06:45:00 PM,58.842,,,,,
