"Plot Title: Lower 9 mile Creek"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719043, SEN S/N: 10719043)","Coupler Detached (LGR S/N: 10719043)","Coupler Attached (LGR S/N: 10719043)","Host Connected (LGR S/N: 10719043)","Stopped (LGR S/N: 10719043)","End Of File (LGR S/N: 10719043)"
1,08/01/17 12:00:00 AM,72.136,Logged,,,,
2,08/01/17 12:15:00 AM,72.351,,,,,
3,08/01/17 12:30:00 AM,72.523,,,,,
4,08/01/17 12:45:00 AM,72.610,,,,,
5,08/01/17 01:00:00 AM,72.221,,,,,
6,08/01/17 01:15:00 AM,72.437,,,,,
7,08/01/17 01:30:00 AM,72.610,,,,,
8,08/01/17 01:45:00 AM,72.653,,,,,
9,08/01/17 02:00:00 AM,72.307,,,,,
10,08/01/17 02:15:00 AM,72.480,,,,,
11,08/01/17 02:30:00 AM,72.653,,,,,
12,08/01/17 02:45:00 AM,72.739,,,,,
13,08/01/17 03:00:00 AM,72.523,,,,,
14,08/01/17 03:15:00 AM,72.610,,,,,
15,08/01/17 03:30:00 AM,72.739,,,,,
16,08/01/17 03:45:00 AM,72.826,,,,,
17,08/01/17 04:00:00 AM,72.567,,,,,
18,08/01/17 04:15:00 AM,72.696,,,,,
19,08/01/17 04:30:00 AM,72.783,,,,,
20,08/01/17 04:45:00 AM,72.869,,,,,
21,08/01/17 05:00:00 AM,72.912,,,,,
22,08/01/17 05:15:00 AM,72.955,,,,,
23,08/01/17 05:30:00 AM,72.997,,,,,
24,08/01/17 05:45:00 AM,73.040,,,,,
25,08/01/17 06:00:00 AM,73.040,,,,,
26,08/01/17 06:15:00 AM,73.040,,,,,
27,08/01/17 06:30:00 AM,73.083,,,,,
28,08/01/17 06:45:00 AM,73.083,,,,,
29,08/01/17 07:00:00 AM,73.083,,,,,
30,08/01/17 07:15:00 AM,73.083,,,,,
31,08/01/17 07:30:00 AM,73.083,,,,,
32,08/01/17 07:45:00 AM,73.083,,,,,
33,08/01/17 08:00:00 AM,73.083,,,,,
34,08/01/17 08:15:00 AM,72.653,,,,,
35,08/01/17 08:30:00 AM,72.653,,,,,
36,08/01/17 08:45:00 AM,72.783,,,,,
37,08/01/17 09:00:00 AM,72.394,,,,,
38,08/01/17 09:15:00 AM,72.437,,,,,
39,08/01/17 09:30:00 AM,71.964,,,,,
40,08/01/17 09:45:00 AM,71.877,,,,,
41,08/01/17 10:00:00 AM,71.704,,,,,
42,08/01/17 10:15:00 AM,71.274,,,,,
43,08/01/17 10:30:00 AM,71.103,,,,,
44,08/01/17 10:45:00 AM,71.103,,,,,
45,08/01/17 11:00:00 AM,70.759,,,,,
46,08/01/17 11:15:00 AM,70.502,,,,,
47,08/01/17 11:30:00 AM,70.502,,,,,
48,08/01/17 11:45:00 AM,70.459,,,,,
49,08/01/17 12:00:00 PM,70.158,,,,,
50,08/01/17 12:15:00 PM,69.985,,,,,
51,08/01/17 12:30:00 PM,70.115,,,,,
52,08/01/17 12:45:00 PM,69.985,,,,,
53,08/01/17 01:00:00 PM,69.901,,,,,
54,08/01/17 01:15:00 PM,70.115,,,,,
55,08/01/17 01:30:00 PM,70.201,,,,,
56,08/01/17 01:45:00 PM,70.158,,,,,
57,08/01/17 02:00:00 PM,70.329,,,,,
58,08/01/17 02:15:00 PM,70.372,,,,,
59,08/01/17 02:30:00 PM,70.158,,,,,
60,08/01/17 02:45:00 PM,70.158,,,,,
61,08/01/17 03:00:00 PM,70.286,,,,,
62,08/01/17 03:15:00 PM,70.072,,,,,
63,08/01/17 03:30:00 PM,69.901,,,,,
64,08/01/17 03:45:00 PM,70.029,,,,,
65,08/01/17 04:00:00 PM,70.029,,,,,
66,08/01/17 04:15:00 PM,69.858,,,,,
67,08/01/17 04:30:00 PM,69.858,,,,,
68,08/01/17 04:45:00 PM,70.029,,,,,
69,08/01/17 05:00:00 PM,69.814,,,,,
70,08/01/17 05:15:00 PM,69.685,,,,,
71,08/01/17 05:30:00 PM,69.814,,,,,
72,08/01/17 05:45:00 PM,69.858,,,,,
73,08/01/17 06:00:00 PM,69.728,,,,,
74,08/01/17 06:15:00 PM,69.901,,,,,
75,08/01/17 06:30:00 PM,70.029,,,,,
76,08/01/17 06:45:00 PM,69.985,,,,,
77,08/01/17 07:00:00 PM,70.372,,,,,
78,08/01/17 07:15:00 PM,70.286,,,,,
79,08/01/17 07:30:00 PM,70.630,,,,,
80,08/01/17 07:45:00 PM,70.759,,,,,
81,08/01/17 08:00:00 PM,70.803,,,,,
82,08/01/17 08:15:00 PM,71.146,,,,,
83,08/01/17 08:30:00 PM,71.447,,,,,
84,08/01/17 08:45:00 PM,71.361,,,,,
85,08/01/17 09:00:00 PM,71.620,,,,,
86,08/01/17 09:15:00 PM,71.791,,,,,
87,08/01/17 09:30:00 PM,71.964,,,,,
