"Plot Title: 9 Mile WMA"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2408894, SEN S/N: 2408894)","Coupler Detached (LGR S/N: 2408894)","Coupler Attached (LGR S/N: 2408894)","Host Connected (LGR S/N: 2408894)","Stopped (LGR S/N: 2408894)","End Of File (LGR S/N: 2408894)"
1,09/19/16 03:00:00 PM,63.561,Logged,,,,
2,09/19/16 03:15:00 PM,63.648,,,,,
3,09/19/16 03:30:00 PM,63.732,,,,,
4,09/19/16 03:45:00 PM,63.862,,,,,
5,09/19/16 04:00:00 PM,63.946,,,,,
6,09/19/16 04:15:00 PM,64.033,,,,,
7,09/19/16 04:30:00 PM,64.117,,,,,
8,09/19/16 04:45:00 PM,64.161,,,,,
9,09/19/16 05:00:00 PM,64.204,,,,,
10,09/19/16 05:15:00 PM,64.247,,,,,
11,09/19/16 05:30:00 PM,64.247,,,,,
12,09/19/16 05:45:00 PM,64.247,,,,,
13,09/19/16 06:00:00 PM,64.247,,,,,
14,09/19/16 06:15:00 PM,64.247,,,,,
15,09/19/16 06:30:00 PM,64.247,,,,,
16,09/19/16 06:45:00 PM,64.204,,,,,
17,09/19/16 07:00:00 PM,64.161,,,,,
18,09/19/16 07:15:00 PM,64.117,,,,,
19,09/19/16 07:30:00 PM,64.074,,,,,
20,09/19/16 07:45:00 PM,64.033,,,,,
21,09/19/16 08:00:00 PM,63.990,,,,,
22,09/19/16 08:15:00 PM,63.903,,,,,
23,09/19/16 08:30:00 PM,63.903,,,,,
24,09/19/16 08:45:00 PM,63.819,,,,,
25,09/19/16 09:00:00 PM,63.775,,,,,
26,09/19/16 09:15:00 PM,63.732,,,,,
27,09/19/16 09:30:00 PM,63.689,,,,,
28,09/19/16 09:45:00 PM,63.648,,,,,
29,09/19/16 10:00:00 PM,63.604,,,,,
30,09/19/16 10:15:00 PM,63.561,,,,,
31,09/19/16 10:30:00 PM,63.518,,,,,
32,09/19/16 10:45:00 PM,63.475,,,,,
33,09/19/16 11:00:00 PM,63.390,,,,,
34,09/19/16 11:15:00 PM,63.347,,,,,
35,09/19/16 11:30:00 PM,63.304,,,,,
36,09/19/16 11:45:00 PM,63.262,,,,,
37,09/20/16 12:00:00 AM,63.219,,,,,
38,09/20/16 12:15:00 AM,63.176,,,,,
39,09/20/16 12:30:00 AM,63.133,,,,,
40,09/20/16 12:45:00 AM,63.005,,,,,
41,09/20/16 01:00:00 AM,62.962,,,,,
42,09/20/16 01:15:00 AM,62.962,,,,,
43,09/20/16 01:30:00 AM,62.875,,,,,
44,09/20/16 01:45:00 AM,62.791,,,,,
45,09/20/16 02:00:00 AM,62.748,,,,,
46,09/20/16 02:15:00 AM,62.661,,,,,
47,09/20/16 02:30:00 AM,62.620,,,,,
48,09/20/16 02:45:00 AM,62.533,,,,,
49,09/20/16 03:00:00 AM,62.447,,,,,
50,09/20/16 03:15:00 AM,62.447,,,,,
51,09/20/16 03:30:00 AM,62.362,,,,,
52,09/20/16 03:45:00 AM,62.362,,,,,
53,09/20/16 04:00:00 AM,62.276,,,,,
54,09/20/16 04:15:00 AM,62.191,,,,,
55,09/20/16 04:30:00 AM,62.191,,,,,
56,09/20/16 04:45:00 AM,62.105,,,,,
57,09/20/16 05:00:00 AM,62.019,,,,,
58,09/20/16 05:15:00 AM,61.934,,,,,
59,09/20/16 05:30:00 AM,61.891,,,,,
60,09/20/16 05:45:00 AM,61.761,,,,,
61,09/20/16 06:00:00 AM,61.761,,,,,
62,09/20/16 06:15:00 AM,61.633,,,,,
63,09/20/16 06:30:00 AM,61.547,,,,,
64,09/20/16 06:45:00 AM,61.506,,,,,
65,09/20/16 07:00:00 AM,61.462,,,,,
66,09/20/16 07:15:00 AM,61.333,,,,,
67,09/20/16 07:30:00 AM,61.248,,,,,
68,09/20/16 07:45:00 AM,61.205,,,,,
69,09/20/16 08:00:00 AM,61.162,,,,,
70,09/20/16 08:15:00 AM,61.075,,,,,
71,09/20/16 08:30:00 AM,61.032,,,,,
72,09/20/16 08:45:00 AM,61.032,,,,,
73,09/20/16 09:00:00 AM,61.032,,,,,
74,09/20/16 09:15:00 AM,61.032,,,,,
75,09/20/16 09:30:00 AM,61.032,,,,,
76,09/20/16 09:45:00 AM,61.075,,,,,
77,09/20/16 10:00:00 AM,61.162,,,,,
78,09/20/16 10:15:00 AM,61.205,,,,,
79,09/20/16 10:30:00 AM,61.290,,,,,
80,09/20/16 10:45:00 AM,61.419,,,,,
81,09/20/16 11:00:00 AM,61.547,,,,,
82,09/20/16 11:15:00 AM,61.633,,,,,
83,09/20/16 11:30:00 AM,61.761,,,,,
84,09/20/16 11:45:00 AM,61.848,,,,,
85,09/20/16 12:00:00 PM,61.934,,,,,
86,09/20/16 12:15:00 PM,62.062,,,,,
87,09/20/16 12:30:00 PM,62.148,,,,,
88,09/20/16 12:45:00 PM,62.276,,,,,
89,09/20/16 01:00:00 PM,62.362,,,,,
90,09/20/16 01:15:00 PM,62.490,,,,,
91,09/20/16 01:30:00 PM,62.620,,,,,
92,09/20/16 01:45:00 PM,62.748,,,,,
93,09/20/16 02:00:00 PM,62.919,,,,,
94,09/20/16 02:15:00 PM,63.090,,,,,
95,09/20/16 02:30:00 PM,63.262,,,,,
96,09/20/16 02:45:00 PM,63.433,,,,,
97,09/20/16 03:00:00 PM,63.604,,,,,
98,09/20/16 03:15:00 PM,63.732,,,,,
99,09/20/16 03:30:00 PM,63.819,,,,,
100,09/20/16 03:45:00 PM,63.903,,,,,
101,09/20/16 04:00:00 PM,63.946,,,,,
102,09/20/16 04:15:00 PM,63.946,,,,,
103,09/20/16 04:30:00 PM,64.033,,,,,
104,09/20/16 04:45:00 PM,64.074,,,,,
105,09/20/16 05:00:00 PM,64.161,,,,,
106,09/20/16 05:15:00 PM,64.247,,,,,
107,09/20/16 05:30:00 PM,64.247,,,,,
108,09/20/16 05:45:00 PM,64.288,,,,,
109,09/20/16 06:00:00 PM,64.288,,,,,
110,09/20/16 06:15:00 PM,64.288,,,,,
111,09/20/16 06:30:00 PM,64.247,,,,,
112,09/20/16 06:45:00 PM,64.247,,,,,
113,09/20/16 07:00:00 PM,64.204,,,,,
114,09/20/16 07:15:00 PM,64.204,,,,,
115,09/20/16 07:30:00 PM,64.161,,,,,
116,09/20/16 07:45:00 PM,64.117,,,,,
117,09/20/16 08:00:00 PM,64.117,,,,,
118,09/20/16 08:15:00 PM,64.074,,,,,
119,09/20/16 08:30:00 PM,64.074,,,,,
120,09/20/16 08:45:00 PM,64.033,,,,,
121,09/20/16 09:00:00 PM,64.033,,,,,
122,09/20/16 09:15:00 PM,63.990,,,,,
123,09/20/16 09:30:00 PM,63.990,,,,,
124,09/20/16 09:45:00 PM,63.990,,,,,
125,09/20/16 10:00:00 PM,63.946,,,,,
126,09/20/16 10:15:00 PM,63.946,,,,,
127,09/20/16 10:30:00 PM,63.946,,,,,
128,09/20/16 10:45:00 PM,63.903,,,,,
129,09/20/16 11:00:00 PM,63.862,,,,,
130,09/20/16 11:15:00 PM,63.819,,,,,
131,09/20/16 11:30:00 PM,63.819,,,,,
