"Plot Title: Long Pine (Hidden Paradise)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20116058, SEN S/N: 20116058)","Coupler Detached (LGR S/N: 20116058)","Coupler Attached (LGR S/N: 20116058)","Host Connected (LGR S/N: 20116058)","Stopped (LGR S/N: 20116058)","End Of File (LGR S/N: 20116058)"
1,06/22/17 06:00:00 PM,63.219,Logged,,,,
2,06/22/17 06:15:00 PM,63.090,,,,,
3,06/22/17 06:30:00 PM,63.048,,,,,
4,06/22/17 06:45:00 PM,62.919,,,,,
5,06/22/17 07:00:00 PM,62.791,,,,,
6,06/22/17 07:15:00 PM,62.661,,,,,
7,06/22/17 07:30:00 PM,62.704,,,,,
8,06/22/17 07:45:00 PM,62.620,,,,,
9,06/22/17 08:00:00 PM,62.533,,,,,
10,06/22/17 08:15:00 PM,62.406,,,,,
11,06/22/17 08:30:00 PM,62.276,,,,,
12,06/22/17 08:45:00 PM,62.191,,,,,
13,06/22/17 09:00:00 PM,62.062,,,,,
14,06/22/17 09:15:00 PM,61.891,,,,,
15,06/22/17 09:30:00 PM,61.761,,,,,
16,06/22/17 09:45:00 PM,61.590,,,,,
17,06/22/17 10:00:00 PM,61.376,,,,,
18,06/22/17 10:15:00 PM,61.162,,,,,
19,06/22/17 10:30:00 PM,60.904,,,,,
20,06/22/17 10:45:00 PM,60.604,,,,,
21,06/22/17 11:00:00 PM,60.346,,,,,
22,06/22/17 11:15:00 PM,60.132,,,,,
23,06/22/17 11:30:00 PM,59.873,,,,,
24,06/22/17 11:45:00 PM,59.659,,,,,
25,06/23/17 12:00:00 AM,59.445,,,,,
26,06/23/17 12:15:00 AM,59.272,,,,,
27,06/23/17 12:30:00 AM,59.014,,,,,
28,06/23/17 12:45:00 AM,58.798,,,,,
29,06/23/17 01:00:00 AM,58.582,,,,,
30,06/23/17 01:15:00 AM,58.411,,,,,
31,06/23/17 01:30:00 AM,58.195,,,,,
32,06/23/17 01:45:00 AM,58.023,,,,,
33,06/23/17 02:00:00 AM,57.850,,,,,
34,06/23/17 02:15:00 AM,57.679,,,,,
35,06/23/17 02:30:00 AM,57.506,,,,,
36,06/23/17 02:45:00 AM,57.333,,,,,
37,06/23/17 03:00:00 AM,57.160,,,,,
38,06/23/17 03:15:00 AM,57.031,,,,,
39,06/23/17 03:30:00 AM,56.858,,,,,
40,06/23/17 03:45:00 AM,56.728,,,,,
41,06/23/17 04:00:00 AM,56.599,,,,,
42,06/23/17 04:15:00 AM,56.469,,,,,
43,06/23/17 04:30:00 AM,56.340,,,,,
44,06/23/17 04:45:00 AM,56.208,,,,,
45,06/23/17 05:00:00 AM,56.122,,,,,
46,06/23/17 05:15:00 AM,55.992,,,,,
47,06/23/17 05:30:00 AM,55.863,,,,,
48,06/23/17 05:45:00 AM,55.776,,,,,
49,06/23/17 06:00:00 AM,55.647,,,,,
50,06/23/17 06:15:00 AM,55.558,,,,,
51,06/23/17 06:30:00 AM,55.472,,,,,
52,06/23/17 06:45:00 AM,55.386,,,,,
53,06/23/17 07:00:00 AM,55.299,,,,,
54,06/23/17 07:15:00 AM,55.256,,,,,
55,06/23/17 07:30:00 AM,55.168,,,,,
56,06/23/17 07:45:00 AM,55.125,,,,,
57,06/23/17 08:00:00 AM,55.125,,,,,
58,06/23/17 08:15:00 AM,55.081,,,,,
59,06/23/17 08:30:00 AM,55.038,,,,,
60,06/23/17 08:45:00 AM,55.038,,,,,
61,06/23/17 09:00:00 AM,54.995,,,,,
62,06/23/17 09:15:00 AM,54.995,,,,,
63,06/23/17 09:30:00 AM,55.038,,,,,
64,06/23/17 09:45:00 AM,55.125,,,,,
65,06/23/17 10:00:00 AM,55.299,,,,,
66,06/23/17 10:15:00 AM,55.429,,,,,
67,06/23/17 10:30:00 AM,55.647,,,,,
68,06/23/17 10:45:00 AM,55.819,,,,,
69,06/23/17 11:00:00 AM,56.079,,,,,
70,06/23/17 11:15:00 AM,56.512,,,,,
71,06/23/17 11:30:00 AM,56.815,,,,,
72,06/23/17 11:45:00 AM,56.944,,,,,
73,06/23/17 12:00:00 PM,57.117,,,,,
74,06/23/17 12:15:00 PM,57.290,,,,,
75,06/23/17 12:30:00 PM,57.549,,,,,
76,06/23/17 12:45:00 PM,57.765,,,,,
77,06/23/17 01:00:00 PM,57.936,,,,,
78,06/23/17 01:15:00 PM,58.239,,,,,
79,06/23/17 01:30:00 PM,58.582,,,,,
80,06/23/17 01:45:00 PM,58.798,,,,,
81,06/23/17 02:00:00 PM,59.056,,,,,
82,06/23/17 02:15:00 PM,59.529,,,,,
83,06/23/17 02:30:00 PM,60.046,,,,,
84,06/23/17 02:45:00 PM,60.390,,,,,
85,06/23/17 03:00:00 PM,60.733,,,,,
86,06/23/17 03:15:00 PM,61.032,,,,,
87,06/23/17 03:30:00 PM,61.248,,,,,
88,06/23/17 03:45:00 PM,61.376,,,,,
89,06/23/17 04:00:00 PM,61.547,,,,,
90,06/23/17 04:15:00 PM,61.761,,,,,
91,06/23/17 04:30:00 PM,61.804,,,,,
92,06/23/17 04:45:00 PM,61.804,,,,,
93,06/23/17 05:00:00 PM,61.804,,,,,
94,06/23/17 05:15:00 PM,61.804,,,,,
95,06/23/17 05:30:00 PM,61.761,,,,,
96,06/23/17 05:45:00 PM,61.720,,,,,
97,06/23/17 06:00:00 PM,61.547,,,,,
98,06/23/17 06:15:00 PM,61.376,,,,,
99,06/23/17 06:30:00 PM,61.205,,,,,
100,06/23/17 06:45:00 PM,61.032,,,,,
101,06/23/17 07:00:00 PM,60.904,,,,,
102,06/23/17 07:15:00 PM,60.733,,,,,
103,06/23/17 07:30:00 PM,60.561,,,,,
104,06/23/17 07:45:00 PM,60.433,,,,,
105,06/23/17 08:00:00 PM,60.303,,,,,
106,06/23/17 08:15:00 PM,60.174,,,,,
107,06/23/17 08:30:00 PM,60.089,,,,,
108,06/23/17 08:45:00 PM,60.046,,,,,
109,06/23/17 09:00:00 PM,59.959,,,,,
110,06/23/17 09:15:00 PM,59.873,,,,,
111,06/23/17 09:30:00 PM,59.745,,,,,
112,06/23/17 09:45:00 PM,59.616,,,,,
113,06/23/17 10:00:00 PM,59.445,,,,,
114,06/23/17 10:15:00 PM,59.272,,,,,
115,06/23/17 10:30:00 PM,59.099,,,,,
116,06/23/17 10:45:00 PM,58.928,,,,,
117,06/23/17 11:00:00 PM,58.669,,,,,
118,06/23/17 11:15:00 PM,58.498,,,,,
119,06/23/17 11:30:00 PM,58.239,,,,,
120,06/23/17 11:45:00 PM,57.936,,,,,
121,06/24/17 12:00:00 AM,57.722,,,,,
122,06/24/17 12:15:00 AM,57.463,,,,,
123,06/24/17 12:30:00 AM,57.204,,,,,
124,06/24/17 12:45:00 AM,56.944,,,,,
125,06/24/17 01:00:00 AM,56.728,,,,,
126,06/24/17 01:15:00 AM,56.469,,,,,
127,06/24/17 01:30:00 AM,56.208,,,,,
128,06/24/17 01:45:00 AM,55.949,,,,,
129,06/24/17 02:00:00 AM,55.690,,,,,
130,06/24/17 02:15:00 AM,55.472,,,,,
131,06/24/17 02:30:00 AM,55.213,,,,,
132,06/24/17 02:45:00 AM,54.952,,,,,
133,06/24/17 03:00:00 AM,54.734,,,,,
134,06/24/17 03:15:00 AM,54.516,,,,,
135,06/24/17 03:30:00 AM,54.300,,,,,
136,06/24/17 03:45:00 AM,54.126,,,,,
137,06/24/17 04:00:00 AM,53.908,,,,,
138,06/24/17 04:15:00 AM,53.776,,,,,
139,06/24/17 04:30:00 AM,53.602,,,,,
140,06/24/17 04:45:00 AM,53.427,,,,,
141,06/24/17 05:00:00 AM,53.298,,,,,
142,06/24/17 05:15:00 AM,53.121,,,,,
143,06/24/17 05:30:00 AM,52.992,,,,,
144,06/24/17 05:45:00 AM,52.860,,,,,
145,06/24/17 06:00:00 AM,52.729,,,,,
146,06/24/17 06:15:00 AM,52.641,,,,,
147,06/24/17 06:30:00 AM,52.509,,,,,
148,06/24/17 06:45:00 AM,52.423,,,,,
149,06/24/17 07:00:00 AM,52.291,,,,,
150,06/24/17 07:15:00 AM,52.246,,,,,
151,06/24/17 07:30:00 AM,52.160,,,,,
152,06/24/17 07:45:00 AM,52.160,,,,,
153,06/24/17 08:00:00 AM,52.115,,,,,
154,06/24/17 08:15:00 AM,52.160,,,,,
155,06/24/17 08:30:00 AM,52.203,,,,,
156,06/24/17 08:45:00 AM,52.246,,,,,
157,06/24/17 09:00:00 AM,52.335,,,,,
158,06/24/17 09:15:00 AM,52.466,,,,,
159,06/24/17 09:30:00 AM,52.641,,,,,
160,06/24/17 09:45:00 AM,52.817,,,,,
161,06/24/17 10:00:00 AM,53.035,,,,,
162,06/24/17 10:15:00 AM,53.298,,,,,
163,06/24/17 10:30:00 AM,53.733,,,,,
164,06/24/17 10:45:00 AM,54.082,,,,,
165,06/24/17 11:00:00 AM,54.516,,,,,
166,06/24/17 11:15:00 AM,54.952,,,,,
167,06/24/17 11:30:00 AM,55.299,,,,,
168,06/24/17 11:45:00 AM,55.602,,,,,
169,06/24/17 12:00:00 PM,56.035,,,,,
170,06/24/17 12:15:00 PM,56.426,,,,,
171,06/24/17 12:30:00 PM,56.685,,,,,
172,06/24/17 12:45:00 PM,56.858,,,,,
173,06/24/17 01:00:00 PM,56.944,,,,,
174,06/24/17 01:15:00 PM,57.074,,,,,
