"Plot Title: Soldier Creek 12-8-15 (1005)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739507, SEN S/N: 10739507)","Coupler Detached (LGR S/N: 10739507)","Coupler Attached (LGR S/N: 10739507)","Host Connected (LGR S/N: 10739507)","Stopped (LGR S/N: 10739507)","End Of File (LGR S/N: 10739507)"
1,05/20/16 03:15:00 PM,69.213,Logged,,,,
2,05/20/16 03:30:00 PM,65.316,,,,,
3,05/20/16 03:45:00 PM,65.188,,,,,
4,05/20/16 04:00:00 PM,65.230,,,,,
5,05/20/16 04:15:00 PM,65.059,,,,,
6,05/20/16 04:30:00 PM,64.931,,,,,
7,05/20/16 04:45:00 PM,64.717,,,,,
8,05/20/16 05:00:00 PM,64.459,,,,,
9,05/20/16 05:15:00 PM,64.204,,,,,
10,05/20/16 05:30:00 PM,63.903,,,,,
11,05/20/16 05:45:00 PM,63.648,,,,,
12,05/20/16 06:00:00 PM,63.390,,,,,
13,05/20/16 06:15:00 PM,63.133,,,,,
14,05/20/16 06:30:00 PM,62.834,,,,,
15,05/20/16 06:45:00 PM,62.577,,,,,
16,05/20/16 07:00:00 PM,62.319,,,,,
17,05/20/16 07:15:00 PM,62.019,,,,,
18,05/20/16 07:30:00 PM,61.761,,,,,
19,05/20/16 07:45:00 PM,61.506,,,,,
20,05/20/16 08:00:00 PM,61.205,,,,,
21,05/20/16 08:15:00 PM,60.948,,,,,
22,05/20/16 08:30:00 PM,60.647,,,,,
23,05/20/16 08:45:00 PM,60.346,,,,,
24,05/20/16 09:00:00 PM,60.046,,,,,
25,05/20/16 09:15:00 PM,59.745,,,,,
26,05/20/16 09:30:00 PM,59.445,,,,,
27,05/20/16 09:45:00 PM,59.185,,,,,
28,05/20/16 10:00:00 PM,58.928,,,,,
29,05/20/16 10:15:00 PM,58.669,,,,,
30,05/20/16 10:30:00 PM,58.455,,,,,
31,05/20/16 10:45:00 PM,58.239,,,,,
32,05/20/16 11:00:00 PM,58.066,,,,,
33,05/20/16 11:15:00 PM,57.850,,,,,
34,05/20/16 11:30:00 PM,57.679,,,,,
35,05/20/16 11:45:00 PM,57.549,,,,,
36,05/21/16 12:00:00 AM,57.376,,,,,
37,05/21/16 12:15:00 AM,57.204,,,,,
38,05/21/16 12:30:00 AM,57.031,,,,,
39,05/21/16 12:45:00 AM,56.858,,,,,
40,05/21/16 01:00:00 AM,56.728,,,,,
41,05/21/16 01:15:00 AM,56.556,,,,,
42,05/21/16 01:30:00 AM,56.383,,,,,
43,05/21/16 01:45:00 AM,56.251,,,,,
44,05/21/16 02:00:00 AM,56.079,,,,,
45,05/21/16 02:15:00 AM,55.949,,,,,
46,05/21/16 02:30:00 AM,55.819,,,,,
47,05/21/16 02:45:00 AM,55.690,,,,,
48,05/21/16 03:00:00 AM,55.558,,,,,
49,05/21/16 03:15:00 AM,55.472,,,,,
50,05/21/16 03:30:00 AM,55.342,,,,,
51,05/21/16 03:45:00 AM,55.299,,,,,
52,05/21/16 04:00:00 AM,55.256,,,,,
53,05/21/16 04:15:00 AM,55.213,,,,,
54,05/21/16 04:30:00 AM,55.168,,,,,
55,05/21/16 04:45:00 AM,55.125,,,,,
56,05/21/16 05:00:00 AM,55.081,,,,,
57,05/21/16 05:15:00 AM,55.038,,,,,
58,05/21/16 05:30:00 AM,54.995,,,,,
59,05/21/16 05:45:00 AM,54.952,,,,,
60,05/21/16 06:00:00 AM,54.909,,,,,
61,05/21/16 06:15:00 AM,54.865,,,,,
62,05/21/16 06:30:00 AM,54.865,,,,,
63,05/21/16 06:45:00 AM,54.865,,,,,
64,05/21/16 07:00:00 AM,54.865,,,,,
65,05/21/16 07:15:00 AM,54.820,,,,,
66,05/21/16 07:30:00 AM,54.865,,,,,
67,05/21/16 07:45:00 AM,54.909,,,,,
68,05/21/16 08:00:00 AM,54.995,,,,,
69,05/21/16 08:15:00 AM,55.125,,,,,
70,05/21/16 08:30:00 AM,55.256,,,,,
71,05/21/16 08:45:00 AM,55.342,,,,,
72,05/21/16 09:00:00 AM,55.515,,,,,
73,05/21/16 09:15:00 AM,55.733,,,,,
74,05/21/16 09:30:00 AM,55.819,,,,,
75,05/21/16 09:45:00 AM,55.992,,,,,
76,05/21/16 10:00:00 AM,56.079,,,,,
77,05/21/16 10:15:00 AM,56.208,,,,,
78,05/21/16 10:30:00 AM,56.383,,,,,
79,05/21/16 10:45:00 AM,56.512,,,,,
80,05/21/16 11:00:00 AM,56.642,,,,,
81,05/21/16 11:15:00 AM,56.772,,,,,
82,05/21/16 11:30:00 AM,56.858,,,,,
83,05/21/16 11:45:00 AM,57.074,,,,,
84,05/21/16 12:00:00 PM,57.290,,,,,
85,05/21/16 12:15:00 PM,57.506,,,,,
86,05/21/16 12:30:00 PM,57.679,,,,,
87,05/21/16 12:45:00 PM,57.807,,,,,
88,05/21/16 01:00:00 PM,57.936,,,,,
89,05/21/16 01:15:00 PM,58.066,,,,,
90,05/21/16 01:30:00 PM,58.195,,,,,
91,05/21/16 01:45:00 PM,58.325,,,,,
92,05/21/16 02:00:00 PM,58.411,,,,,
93,05/21/16 02:15:00 PM,58.455,,,,,
94,05/21/16 02:30:00 PM,58.498,,,,,
95,05/21/16 02:45:00 PM,58.541,,,,,
96,05/21/16 03:00:00 PM,58.626,,,,,
97,05/21/16 03:15:00 PM,58.755,,,,,
98,05/21/16 03:30:00 PM,58.798,,,,,
99,05/21/16 03:45:00 PM,58.971,,,,,
100,05/21/16 04:00:00 PM,59.056,,,,,
101,05/21/16 04:15:00 PM,59.099,,,,,
102,05/21/16 04:30:00 PM,59.229,,,,,
103,05/21/16 04:45:00 PM,59.272,,,,,
104,05/21/16 05:00:00 PM,59.401,,,,,
105,05/21/16 05:15:00 PM,59.445,,,,,
106,05/21/16 05:30:00 PM,59.445,,,,,
