	Min Daily	Max Daily	Mean Daily	Flux Daily	Median
10-Jul	66.087	81.73	72.80570833	15.643	72.157
11-Jul	67.199	82.62	73.52175	15.421	72.2435
12-Jul	66.643	81.775	73.53014583	15.132	73.2565
13-Jul	64.546	81.066	72.38971875	16.52	72.0925
14-Jul	68.999	82.353	75.41067708	13.354	75.182
15-Jul	65.102	80.757	72.54434375	15.655	72.329
16-Jul	65.188	78.296	71.254375	13.108	70.7585
17-Jul	68.313	81.111	74.05070833	12.798	73.7095
18-Jul	66.344	80.58	73.06133333	14.236	72.825
19-Jul	66.13	82.53	74.38378125	16.4	73.623
20-Jul	57.592	72.351	65.10475	14.759	65.038
21-Jul	60.303	75.508	67.67642708	15.205	68.5275
22-Jul	63.219	76.811	70.15917708	13.592	70.115
23-Jul	65.188	75.16	70.31773958	9.972	70.007
24-Jul	67.586	78.733	72.76272917	11.147	72.415
25-Jul	64.332	74.727	69.18292708	10.395	69.106
26-Jul	58.928	71.704	65.24345833	12.776	65.252
27-Jul	62.875	74.12	69.00729167	11.245	68.785
28-Jul	57.549	69.471	62.90772917	11.922	62.684
29-Jul	62.276	70.93	66.20182292	8.654	64.204
30-Jul	69.042	72.394	70.80742708	3.352	70.759
31-Jul	62.233	70.887	67.58628125	8.654	68.42
1-Aug	67.971	75.551	72.461125	7.58	72.48
2-Aug	69.643	71.964	70.76240625	2.321	70.7375
3-Aug	68.956	72.48	70.73125	3.524	70.501
					
