"Plot Title: Chadron Creek- CCR Headwaters 2015"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612898, SEN S/N: 10612898)","Coupler Attached (LGR S/N: 10612898)","Host Connected (LGR S/N: 10612898)","Stopped (LGR S/N: 10612898)","End Of File (LGR S/N: 10612898)"
1,07/10/15 12:00:00 AM,55.711,,,,
2,07/10/15 01:00:00 AM,55.537,,,,
3,07/10/15 02:00:00 AM,55.537,,,,
4,07/10/15 03:00:00 AM,55.364,,,,
5,07/10/15 04:00:00 AM,55.364,,,,
6,07/10/15 05:00:00 AM,55.364,,,,
7,07/10/15 06:00:00 AM,55.364,,,,
8,07/10/15 07:00:00 AM,55.537,,,,
9,07/10/15 08:00:00 AM,56.057,,,,
10,07/10/15 09:00:00 AM,56.750,,,,
11,07/10/15 10:00:00 AM,57.096,,,,
12,07/10/15 11:00:00 AM,57.614,,,,
13,07/10/15 12:00:00 PM,57.785,,,,
14,07/10/15 01:00:00 PM,57.785,,,,
15,07/10/15 02:00:00 PM,59.337,,,,
16,07/10/15 03:00:00 PM,61.569,,,,
17,07/10/15 04:00:00 PM,62.598,,,,
18,07/10/15 05:00:00 PM,62.769,,,,
19,07/10/15 06:00:00 PM,60.883,,,,
20,07/10/15 07:00:00 PM,59.337,,,,
21,07/10/15 08:00:00 PM,58.131,,,,
22,07/10/15 09:00:00 PM,57.096,,,,
23,07/10/15 10:00:00 PM,56.230,,,,
24,07/10/15 11:00:00 PM,55.711,,,,
25,07/11/15 12:00:00 AM,55.364,,,,
26,07/11/15 01:00:00 AM,55.189,,,,
27,07/11/15 02:00:00 AM,55.189,,,,
28,07/11/15 03:00:00 AM,55.189,,,,
29,07/11/15 04:00:00 AM,55.364,,,,
30,07/11/15 05:00:00 AM,55.364,,,,
31,07/11/15 06:00:00 AM,55.189,,,,
32,07/11/15 07:00:00 AM,55.189,,,,
33,07/11/15 08:00:00 AM,55.711,,,,
34,07/11/15 09:00:00 AM,56.923,,,,
35,07/11/15 10:00:00 AM,58.647,,,,
36,07/11/15 11:00:00 AM,60.539,,,,
37,07/11/15 12:00:00 PM,62.598,,,,
38,07/11/15 01:00:00 PM,64.139,,,,
39,07/11/15 02:00:00 PM,65.167,,,,
40,07/11/15 03:00:00 PM,64.996,,,,
41,07/11/15 04:00:00 PM,64.310,,,,
42,07/11/15 05:00:00 PM,62.940,,,,
43,07/11/15 06:00:00 PM,61.398,,,,
44,07/11/15 07:00:00 PM,59.680,,,,
45,07/11/15 08:00:00 PM,58.131,,,,
46,07/11/15 09:00:00 PM,57.096,,,,
47,07/11/15 10:00:00 PM,56.577,,,,
48,07/11/15 11:00:00 PM,56.057,,,,
49,07/12/15 12:00:00 AM,55.884,,,,
50,07/12/15 01:00:00 AM,55.537,,,,
51,07/12/15 02:00:00 AM,55.364,,,,
52,07/12/15 03:00:00 AM,55.189,,,,
53,07/12/15 04:00:00 AM,54.842,,,,
54,07/12/15 05:00:00 AM,54.842,,,,
55,07/12/15 06:00:00 AM,54.842,,,,
56,07/12/15 07:00:00 AM,54.842,,,,
57,07/12/15 08:00:00 AM,55.537,,,,
58,07/12/15 09:00:00 AM,57.096,,,,
59,07/12/15 10:00:00 AM,58.993,,,,
60,07/12/15 11:00:00 AM,60.712,,,,
61,07/12/15 12:00:00 PM,62.769,,,,
62,07/12/15 01:00:00 PM,64.139,,,,
63,07/12/15 02:00:00 PM,65.167,,,,
64,07/12/15 03:00:00 PM,65.338,,,,
65,07/12/15 04:00:00 PM,64.825,,,,
66,07/12/15 05:00:00 PM,63.797,,,,
67,07/12/15 06:00:00 PM,61.741,,,,
68,07/12/15 07:00:00 PM,59.680,,,,
69,07/12/15 08:00:00 PM,58.303,,,,
70,07/12/15 09:00:00 PM,57.268,,,,
71,07/12/15 10:00:00 PM,56.577,,,,
72,07/12/15 11:00:00 PM,56.057,,,,
73,07/13/15 12:00:00 AM,55.537,,,,
74,07/13/15 01:00:00 AM,55.364,,,,
75,07/13/15 02:00:00 AM,55.017,,,,
76,07/13/15 03:00:00 AM,54.842,,,,
77,07/13/15 04:00:00 AM,54.495,,,,
78,07/13/15 05:00:00 AM,54.495,,,,
79,07/13/15 06:00:00 AM,54.322,,,,
80,07/13/15 07:00:00 AM,54.495,,,,
81,07/13/15 08:00:00 AM,55.364,,,,
82,07/13/15 09:00:00 AM,57.096,,,,
83,07/13/15 10:00:00 AM,58.476,,,,
84,07/13/15 11:00:00 AM,60.024,,,,
85,07/13/15 12:00:00 PM,62.083,,,,
86,07/13/15 01:00:00 PM,63.968,,,,
87,07/13/15 02:00:00 PM,64.825,,,,
88,07/13/15 03:00:00 PM,65.167,,,,
89,07/13/15 04:00:00 PM,64.652,,,,
90,07/13/15 05:00:00 PM,63.626,,,,
91,07/13/15 06:00:00 PM,62.083,,,,
92,07/13/15 07:00:00 PM,60.195,,,,
93,07/13/15 08:00:00 PM,58.476,,,,
94,07/13/15 09:00:00 PM,57.441,,,,
95,07/13/15 10:00:00 PM,56.577,,,,
96,07/13/15 11:00:00 PM,56.057,,,,
97,07/14/15 12:00:00 AM,55.711,,,,
98,07/14/15 01:00:00 AM,55.364,,,,
99,07/14/15 02:00:00 AM,55.189,,,,
