"Plot Title: Gordon Creek 2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739567, SEN S/N: 10739567)","Coupler Detached (LGR S/N: 10739567)","Coupler Attached (LGR S/N: 10739567)","Host Connected (LGR S/N: 10739567)","Stopped (LGR S/N: 10739567)","End Of File (LGR S/N: 10739567)"
1,07/09/15 12:00:00 PM,79.304,Logged,,,,
2,07/09/15 12:15:00 PM,80.713,,,,,
3,07/09/15 12:30:00 PM,82.085,,,,,
4,07/09/15 12:45:00 PM,83.467,,,,,
5,07/09/15 01:00:00 PM,84.945,,,,,
6,07/09/15 01:15:00 PM,86.391,,,,,
7,07/09/15 01:30:00 PM,87.391,,,,,
8,07/09/15 01:45:00 PM,86.617,,,,,
9,07/09/15 02:00:00 PM,84.812,,,,,
10,07/09/15 02:15:00 PM,84.542,,,,,
11,07/09/15 02:30:00 PM,68.527,,,,,
12,07/09/15 02:45:00 PM,66.772,,,,,
13,07/09/15 03:00:00 PM,66.900,,,,,
14,07/09/15 03:15:00 PM,67.028,,,,,
15,07/09/15 03:30:00 PM,67.242,,,,,
16,07/09/15 03:45:00 PM,67.543,,,,,
17,07/09/15 04:00:00 PM,67.842,,,,,
18,07/09/15 04:15:00 PM,68.056,,,,,
19,07/09/15 04:30:00 PM,68.185,,,,,
20,07/09/15 04:45:00 PM,68.400,,,,,
21,07/09/15 05:00:00 PM,68.614,,,,,
22,07/09/15 05:15:00 PM,68.657,,,,,
23,07/09/15 05:30:00 PM,68.785,,,,,
24,07/09/15 05:45:00 PM,68.913,,,,,
25,07/09/15 06:00:00 PM,69.085,,,,,
26,07/09/15 06:15:00 PM,69.170,,,,,
27,07/09/15 06:30:00 PM,69.170,,,,,
28,07/09/15 06:45:00 PM,69.213,,,,,
29,07/09/15 07:00:00 PM,69.300,,,,,
30,07/09/15 07:15:00 PM,69.343,,,,,
31,07/09/15 07:30:00 PM,69.343,,,,,
32,07/09/15 07:45:00 PM,69.300,,,,,
33,07/09/15 08:00:00 PM,69.213,,,,,
34,07/09/15 08:15:00 PM,69.129,,,,,
35,07/09/15 08:30:00 PM,69.085,,,,,
36,07/09/15 08:45:00 PM,68.999,,,,,
37,07/09/15 09:00:00 PM,68.913,,,,,
38,07/09/15 09:15:00 PM,68.871,,,,,
39,07/09/15 09:30:00 PM,68.785,,,,,
40,07/09/15 09:45:00 PM,68.698,,,,,
41,07/09/15 10:00:00 PM,68.698,,,,,
42,07/09/15 10:15:00 PM,68.614,,,,,
43,07/09/15 10:30:00 PM,68.527,,,,,
44,07/09/15 10:45:00 PM,68.400,,,,,
45,07/09/15 11:00:00 PM,68.313,,,,,
46,07/09/15 11:15:00 PM,68.227,,,,,
47,07/09/15 11:30:00 PM,68.142,,,,,
48,07/09/15 11:45:00 PM,68.056,,,,,
49,07/10/15 12:00:00 AM,67.928,,,,,
50,07/10/15 12:15:00 AM,67.842,,,,,
51,07/10/15 12:30:00 AM,67.757,,,,,
52,07/10/15 12:45:00 AM,67.627,,,,,
53,07/10/15 01:00:00 AM,67.543,,,,,
54,07/10/15 01:15:00 AM,67.413,,,,,
55,07/10/15 01:30:00 AM,67.329,,,,,
56,07/10/15 01:45:00 AM,67.199,,,,,
57,07/10/15 02:00:00 AM,67.071,,,,,
58,07/10/15 02:15:00 AM,66.943,,,,,
59,07/10/15 02:30:00 AM,66.814,,,,,
60,07/10/15 02:45:00 AM,66.686,,,,,
61,07/10/15 03:00:00 AM,66.558,,,,,
62,07/10/15 03:15:00 AM,66.429,,,,,
63,07/10/15 03:30:00 AM,66.344,,,,,
64,07/10/15 03:45:00 AM,66.214,,,,,
65,07/10/15 04:00:00 AM,66.087,,,,,
66,07/10/15 04:15:00 AM,65.959,,,,,
67,07/10/15 04:30:00 AM,65.829,,,,,
68,07/10/15 04:45:00 AM,65.658,,,,,
69,07/10/15 05:00:00 AM,65.403,,,,,
70,07/10/15 05:15:00 AM,65.273,,,,,
71,07/10/15 05:30:00 AM,65.188,,,,,
72,07/10/15 05:45:00 AM,65.102,,,,,
73,07/10/15 06:00:00 AM,65.059,,,,,
74,07/10/15 06:15:00 AM,65.017,,,,,
75,07/10/15 06:30:00 AM,64.931,,,,,
76,07/10/15 06:45:00 AM,64.803,,,,,
77,07/10/15 07:00:00 AM,64.717,,,,,
78,07/10/15 07:15:00 AM,64.632,,,,,
79,07/10/15 07:30:00 AM,64.503,,,,,
80,07/10/15 07:45:00 AM,64.459,,,,,
81,07/10/15 08:00:00 AM,64.459,,,,,
82,07/10/15 08:15:00 AM,64.418,,,,,
83,07/10/15 08:30:00 AM,64.418,,,,,
84,07/10/15 08:45:00 AM,64.503,,,,,
85,07/10/15 09:00:00 AM,64.503,,,,,
86,07/10/15 09:15:00 AM,64.589,,,,,
87,07/10/15 09:30:00 AM,64.760,,,,,
88,07/10/15 09:45:00 AM,64.931,,,,,
89,07/10/15 10:00:00 AM,65.017,,,,,
90,07/10/15 10:15:00 AM,65.145,,,,,
91,07/10/15 10:30:00 AM,65.403,,,,,
92,07/10/15 10:45:00 AM,65.658,,,,,
93,07/10/15 11:00:00 AM,65.872,,,,,
94,07/10/15 11:15:00 AM,66.258,,,,,
95,07/10/15 11:30:00 AM,66.385,,,,,
96,07/10/15 11:45:00 AM,66.472,,,,,
97,07/10/15 12:00:00 PM,66.515,,,,,
98,07/10/15 12:15:00 PM,66.558,,,,,
99,07/10/15 12:30:00 PM,66.686,,,,,
100,07/10/15 12:45:00 PM,66.772,,,,,
101,07/10/15 01:00:00 PM,66.900,,,,,
102,07/10/15 01:15:00 PM,66.985,,,,,
103,07/10/15 01:30:00 PM,67.242,,,,,
104,07/10/15 01:45:00 PM,67.242,,,,,
105,07/10/15 02:00:00 PM,67.242,,,,,
106,07/10/15 02:15:00 PM,67.413,,,,,
107,07/10/15 02:30:00 PM,67.543,,,,,
108,07/10/15 02:45:00 PM,68.913,,,,,
109,07/10/15 03:00:00 PM,68.742,,,,,
110,07/10/15 03:15:00 PM,68.657,,,,,
111,07/10/15 03:30:00 PM,68.698,,,,,
112,07/10/15 03:45:00 PM,68.313,,,,,
113,07/10/15 04:00:00 PM,68.484,,,,,
114,07/10/15 04:15:00 PM,69.085,,,,,
115,07/10/15 04:30:00 PM,68.742,,,,,
116,07/10/15 04:45:00 PM,68.698,,,,,
117,07/10/15 05:00:00 PM,68.785,,,,,
118,07/10/15 05:15:00 PM,69.042,,,,,
119,07/10/15 05:30:00 PM,69.129,,,,,
120,07/10/15 05:45:00 PM,69.213,,,,,
121,07/10/15 06:00:00 PM,69.343,,,,,
122,07/10/15 06:15:00 PM,69.557,,,,,
123,07/10/15 06:30:00 PM,69.814,,,,,
124,07/10/15 06:45:00 PM,70.029,,,,,
125,07/10/15 07:00:00 PM,70.201,,,,,
