"Plot Title: Pine Creek North"
"#","Date Time, GMT-06:00","Avg: Temperature, °F (LGR S/N: 10719008)","Coupler Detached (LGR S/N: 10719008)","Coupler Attached (LGR S/N: 10719008)","Stopped (LGR S/N: 10719008)","End Of File (LGR S/N: 10719008)"
1,07/10/15 12:00:00 AM,60.561,Logged,,,
2,07/10/15 01:00:00 AM,60.089,,,,
3,07/10/15 02:00:00 AM,59.745,,,,
4,07/10/15 03:00:00 AM,59.401,,,,
5,07/10/15 04:00:00 AM,59.099,,,,
6,07/10/15 05:00:00 AM,58.798,,,,
7,07/10/15 06:00:00 AM,58.541,,,,
8,07/10/15 07:00:00 AM,58.282,,,,
9,07/10/15 08:00:00 AM,58.109,,,,
10,07/10/15 09:00:00 AM,58.023,,,,
11,07/10/15 10:00:00 AM,58.066,,,,
12,07/10/15 11:00:00 AM,58.152,,,,
13,07/10/15 12:00:00 PM,58.282,,,,
14,07/10/15 01:00:00 PM,58.411,,,,
15,07/10/15 02:00:00 PM,58.498,,,,
16,07/10/15 03:00:00 PM,58.669,,,,
17,07/10/15 04:00:00 PM,59.142,,,,
18,07/10/15 05:00:00 PM,59.616,,,,
19,07/10/15 06:00:00 PM,60.260,,,,
20,07/10/15 07:00:00 PM,60.647,,,,
21,07/10/15 08:00:00 PM,60.991,,,,
22,07/10/15 09:00:00 PM,61.248,,,,
23,07/10/15 10:00:00 PM,61.290,,,,
24,07/10/15 11:00:00 PM,61.205,,,,
25,07/11/15 12:00:00 AM,61.032,,,,
26,07/11/15 01:00:00 AM,60.818,,,,
27,07/11/15 02:00:00 AM,60.517,,,,
28,07/11/15 03:00:00 AM,60.217,,,,
29,07/11/15 04:00:00 AM,59.916,,,,
30,07/11/15 05:00:00 AM,59.616,,,,
31,07/11/15 06:00:00 AM,59.358,,,,
32,07/11/15 07:00:00 AM,59.099,,,,
33,07/11/15 08:00:00 AM,58.885,,,,
34,07/11/15 09:00:00 AM,58.712,,,,
35,07/11/15 10:00:00 AM,58.626,,,,
36,07/11/15 11:00:00 AM,58.626,,,,
37,07/11/15 12:00:00 PM,58.755,,,,
38,07/11/15 01:00:00 PM,59.099,,,,
39,07/11/15 02:00:00 PM,59.529,,,,
40,07/11/15 03:00:00 PM,60.132,,,,
41,07/11/15 04:00:00 PM,60.775,,,,
42,07/11/15 05:00:00 PM,61.419,,,,
43,07/11/15 06:00:00 PM,61.934,,,,
44,07/11/15 07:00:00 PM,62.447,,,,
45,07/11/15 08:00:00 PM,62.834,,,,
46,07/11/15 09:00:00 PM,63.133,,,,
47,07/11/15 10:00:00 PM,63.262,,,,
48,07/11/15 11:00:00 PM,63.219,,,,
49,07/12/15 12:00:00 AM,63.048,,,,
50,07/12/15 01:00:00 AM,62.791,,,,
51,07/12/15 02:00:00 AM,62.447,,,,
52,07/12/15 03:00:00 AM,62.148,,,,
53,07/12/15 04:00:00 AM,61.804,,,,
54,07/12/15 05:00:00 AM,61.462,,,,
55,07/12/15 06:00:00 AM,61.119,,,,
56,07/12/15 07:00:00 AM,60.775,,,,
57,07/12/15 08:00:00 AM,60.474,,,,
58,07/12/15 09:00:00 AM,60.217,,,,
59,07/12/15 10:00:00 AM,60.089,,,,
60,07/12/15 11:00:00 AM,60.046,,,,
61,07/12/15 12:00:00 PM,60.174,,,,
62,07/12/15 01:00:00 PM,60.474,,,,
63,07/12/15 02:00:00 PM,60.948,,,,
64,07/12/15 03:00:00 PM,61.633,,,,
65,07/12/15 04:00:00 PM,62.447,,,,
66,07/12/15 05:00:00 PM,63.262,,,,
67,07/12/15 06:00:00 PM,64.033,,,,
68,07/12/15 07:00:00 PM,64.546,,,,
69,07/12/15 08:00:00 PM,64.803,,,,
70,07/12/15 09:00:00 PM,64.803,,,,
71,07/12/15 10:00:00 PM,64.503,,,,
72,07/12/15 11:00:00 PM,63.990,,,,
73,07/13/15 12:00:00 AM,63.390,,,,
74,07/13/15 01:00:00 AM,62.834,,,,
75,07/13/15 02:00:00 AM,62.276,,,,
76,07/13/15 03:00:00 AM,61.804,,,,
77,07/13/15 04:00:00 AM,61.376,,,,
78,07/13/15 05:00:00 AM,60.948,,,,
79,07/13/15 06:00:00 AM,60.517,,,,
80,07/13/15 07:00:00 AM,60.132,,,,
81,07/13/15 08:00:00 AM,59.830,,,,
82,07/13/15 09:00:00 AM,59.702,,,,
83,07/13/15 10:00:00 AM,59.659,,,,
84,07/13/15 11:00:00 AM,59.788,,,,
85,07/13/15 12:00:00 PM,60.046,,,,
86,07/13/15 01:00:00 PM,60.561,,,,
87,07/13/15 02:00:00 PM,61.162,,,,
88,07/13/15 03:00:00 PM,62.062,,,,
89,07/13/15 04:00:00 PM,63.048,,,,
90,07/13/15 05:00:00 PM,64.117,,,,
91,07/13/15 06:00:00 PM,65.102,,,,
92,07/13/15 07:00:00 PM,65.788,,,,
93,07/13/15 08:00:00 PM,66.130,,,,
94,07/13/15 09:00:00 PM,66.043,,,,
95,07/13/15 10:00:00 PM,65.487,,,,
96,07/13/15 11:00:00 PM,64.803,,,,
97,07/14/15 12:00:00 AM,64.117,,,,
98,07/14/15 01:00:00 AM,63.433,,,,
99,07/14/15 02:00:00 AM,62.791,,,,
100,07/14/15 03:00:00 AM,62.233,,,,
