"Plot Title: Sand Draw #2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719040, SEN S/N: 10719040)","Coupler Detached (LGR S/N: 10719040)","Coupler Attached (LGR S/N: 10719040)","Stopped (LGR S/N: 10719040)","End Of File (LGR S/N: 10719040)"
1,07/10/15 12:00:00 PM,66.472,Logged,,,
2,07/10/15 12:15:00 PM,67.627,,,,
3,07/10/15 12:30:00 PM,69.343,,,,
4,07/10/15 12:45:00 PM,70.459,,,,
5,07/10/15 01:00:00 PM,71.447,,,,
6,07/10/15 01:15:00 PM,72.221,,,,
7,07/10/15 01:30:00 PM,72.783,,,,
8,07/10/15 01:45:00 PM,72.007,,,,
9,07/10/15 02:00:00 PM,71.834,,,,
10,07/10/15 02:15:00 PM,71.231,,,,
11,07/10/15 02:30:00 PM,70.416,,,,
12,07/10/15 02:45:00 PM,69.343,,,,
13,07/10/15 03:00:00 PM,68.400,,,,
14,07/10/15 03:15:00 PM,67.627,,,,
15,07/10/15 03:30:00 PM,67.285,,,,
16,07/10/15 03:45:00 PM,66.857,,,,
17,07/10/15 04:00:00 PM,66.258,,,,
18,07/10/15 04:15:00 PM,65.658,,,,
19,07/10/15 04:30:00 PM,65.145,,,,
20,07/10/15 04:45:00 PM,64.760,,,,
21,07/10/15 05:00:00 PM,64.459,,,,
22,07/10/15 05:15:00 PM,64.717,,,,
23,07/10/15 05:30:00 PM,65.701,,,,
24,07/10/15 05:45:00 PM,67.028,,,,
25,07/10/15 06:00:00 PM,69.042,,,,
26,07/10/15 06:15:00 PM,70.716,,,,
27,07/10/15 06:30:00 PM,72.912,,,,
28,07/10/15 06:45:00 PM,74.683,,,,
29,07/10/15 07:00:00 PM,76.246,,,,
30,07/10/15 07:15:00 PM,76.899,,,,
31,07/10/15 07:30:00 PM,77.072,,,,
32,07/10/15 07:45:00 PM,76.507,,,,
33,07/10/15 08:00:00 PM,75.767,,,,
34,07/10/15 08:15:00 PM,74.943,,,,
35,07/10/15 08:30:00 PM,74.381,,,,
36,07/10/15 08:45:00 PM,73.602,,,,
37,07/10/15 09:00:00 PM,72.653,,,,
38,07/10/15 09:15:00 PM,71.920,,,,
39,07/10/15 09:30:00 PM,71.361,,,,
40,07/10/15 09:45:00 PM,70.803,,,,
41,07/10/15 10:00:00 PM,70.201,,,,
42,07/10/15 10:15:00 PM,69.643,,,,
43,07/10/15 10:30:00 PM,69.085,,,,
44,07/10/15 10:45:00 PM,68.484,,,,
45,07/10/15 11:00:00 PM,67.971,,,,
46,07/10/15 11:15:00 PM,67.971,,,,
47,07/10/15 11:30:00 PM,68.698,,,,
48,07/10/15 11:45:00 PM,69.942,,,,
49,07/11/15 12:00:00 AM,71.533,,,,
50,07/11/15 12:15:00 AM,73.429,,,,
51,07/11/15 12:30:00 AM,75.376,,,,
52,07/11/15 12:45:00 AM,76.986,,,,
53,07/11/15 01:00:00 AM,78.121,,,,
54,07/11/15 01:15:00 AM,78.733,,,,
55,07/11/15 01:30:00 AM,78.645,,,,
56,07/11/15 01:45:00 AM,77.990,,,,
57,07/11/15 02:00:00 AM,77.072,,,,
58,07/11/15 02:15:00 AM,76.028,,,,
59,07/11/15 02:30:00 AM,74.856,,,,
60,07/11/15 02:45:00 AM,73.818,,,,
61,07/11/15 03:00:00 AM,72.739,,,,
62,07/11/15 03:15:00 AM,71.791,,,,
63,07/11/15 03:30:00 AM,70.716,,,,
64,07/11/15 03:45:00 AM,69.728,,,,
65,07/11/15 04:00:00 AM,68.785,,,,
66,07/11/15 04:15:00 AM,67.885,,,,
67,07/11/15 04:30:00 AM,66.985,,,,
68,07/11/15 04:45:00 AM,66.130,,,,
69,07/11/15 05:00:00 AM,65.745,,,,
70,07/11/15 05:15:00 AM,65.829,,,,
71,07/11/15 05:30:00 AM,66.600,,,,
72,07/11/15 05:45:00 AM,67.885,,,,
73,07/11/15 06:00:00 AM,69.643,,,,
74,07/11/15 06:15:00 AM,71.661,,,,
75,07/11/15 06:30:00 AM,73.774,,,,
76,07/11/15 06:45:00 AM,75.420,,,,
77,07/11/15 07:00:00 AM,76.725,,,,
78,07/11/15 07:15:00 AM,77.464,,,,
79,07/11/15 07:30:00 AM,77.509,,,,
80,07/11/15 07:45:00 AM,76.899,,,,
81,07/11/15 08:00:00 AM,75.810,,,,
82,07/11/15 08:15:00 AM,74.813,,,,
83,07/11/15 08:30:00 AM,73.645,,,,
84,07/11/15 08:45:00 AM,72.394,,,,
85,07/11/15 09:00:00 AM,71.146,,,,
86,07/11/15 09:15:00 AM,69.985,,,,
87,07/11/15 09:30:00 AM,68.913,,,,
88,07/11/15 09:45:00 AM,68.013,,,,
89,07/11/15 10:00:00 AM,67.329,,,,
90,07/11/15 10:15:00 AM,66.686,,,,
91,07/11/15 10:30:00 AM,66.000,,,,
92,07/11/15 10:45:00 AM,65.316,,,,
93,07/11/15 11:00:00 AM,64.974,,,,
94,07/11/15 11:15:00 AM,65.403,,,,
95,07/11/15 11:30:00 AM,66.385,,,,
96,07/11/15 11:45:00 AM,67.757,,,,
97,07/11/15 12:00:00 PM,69.427,,,,
98,07/11/15 12:15:00 PM,71.361,,,,
99,07/11/15 12:30:00 PM,73.299,,,,
100,07/11/15 12:45:00 PM,74.813,,,,
101,07/11/15 01:00:00 PM,76.550,,,,
102,07/11/15 01:15:00 PM,77.335,,,,
103,07/11/15 01:30:00 PM,77.509,,,,
104,07/11/15 01:45:00 PM,76.854,,,,
105,07/11/15 02:00:00 PM,75.767,,,,
106,07/11/15 02:15:00 PM,74.943,,,,
107,07/11/15 02:30:00 PM,74.077,,,,
108,07/11/15 02:45:00 PM,73.126,,,,
109,07/11/15 03:00:00 PM,72.178,,,,
110,07/11/15 03:15:00 PM,71.231,,,,
111,07/11/15 03:30:00 PM,70.502,,,,
112,07/11/15 03:45:00 PM,69.942,,,,
113,07/11/15 04:00:00 PM,69.386,,,,
114,07/11/15 04:15:00 PM,68.871,,,,
115,07/11/15 04:30:00 PM,68.400,,,,
116,07/11/15 04:45:00 PM,67.842,,,,
117,07/11/15 05:00:00 PM,67.500,,,,
118,07/11/15 05:15:00 PM,67.242,,,,
119,07/11/15 05:30:00 PM,66.943,,,,
120,07/11/15 05:45:00 PM,66.814,,,,
121,07/11/15 06:00:00 PM,67.329,,,,
122,07/11/15 06:15:00 PM,68.056,,,,
123,07/11/15 06:30:00 PM,68.356,,,,
124,07/11/15 06:45:00 PM,68.142,,,,
125,07/11/15 07:00:00 PM,68.400,,,,
126,07/11/15 07:15:00 PM,68.999,,,,
127,07/11/15 07:30:00 PM,69.600,,,,
128,07/11/15 07:45:00 PM,69.427,,,,
129,07/11/15 08:00:00 PM,68.742,,,,
130,07/11/15 08:15:00 PM,68.270,,,,
131,07/11/15 08:30:00 PM,68.013,,,,
132,07/11/15 08:45:00 PM,67.586,,,,
133,07/11/15 09:00:00 PM,67.071,,,,
134,07/11/15 09:15:00 PM,66.472,,,,
135,07/11/15 09:30:00 PM,66.214,,,,
136,07/11/15 09:45:00 PM,66.173,,,,
137,07/11/15 10:00:00 PM,66.173,,,,
138,07/11/15 10:15:00 PM,66.214,,,,
139,07/11/15 10:30:00 PM,66.214,,,,
140,07/11/15 10:45:00 PM,66.043,,,,
141,07/11/15 11:00:00 PM,66.043,,,,
142,07/11/15 11:15:00 PM,66.214,,,,
143,07/11/15 11:30:00 PM,66.814,,,,
144,07/11/15 11:45:00 PM,67.928,,,,
145,07/12/15 12:00:00 AM,69.343,,,,
146,07/12/15 12:15:00 AM,71.146,,,,
147,07/12/15 12:30:00 AM,73.083,,,,
148,07/12/15 12:45:00 AM,74.683,,,,
149,07/12/15 01:00:00 AM,75.985,,,,
150,07/12/15 01:15:00 AM,76.811,,,,
151,07/12/15 01:30:00 AM,76.811,,,,
152,07/12/15 01:45:00 AM,76.246,,,,
153,07/12/15 02:00:00 AM,75.160,,,,
154,07/12/15 02:15:00 AM,74.295,,,,
155,07/12/15 02:30:00 AM,73.083,,,,
156,07/12/15 02:45:00 AM,71.748,,,,
157,07/12/15 03:00:00 AM,70.416,,,,
158,07/12/15 03:15:00 AM,69.213,,,,
159,07/12/15 03:30:00 AM,68.185,,,,
160,07/12/15 03:45:00 AM,67.413,,,,
161,07/12/15 04:00:00 AM,66.772,,,,
162,07/12/15 04:15:00 AM,66.301,,,,
163,07/12/15 04:30:00 AM,65.745,,,,
164,07/12/15 04:45:00 AM,65.059,,,,
165,07/12/15 05:00:00 AM,64.845,,,,
166,07/12/15 05:15:00 AM,64.931,,,,
167,07/12/15 05:30:00 AM,65.487,,,,
168,07/12/15 05:45:00 AM,66.729,,,,
169,07/12/15 06:00:00 AM,68.443,,,,
170,07/12/15 06:15:00 AM,70.416,,,,
171,07/12/15 06:30:00 AM,72.307,,,,
172,07/12/15 06:45:00 AM,74.120,,,,
173,07/12/15 07:00:00 AM,75.767,,,,
174,07/12/15 07:15:00 AM,76.636,,,,
175,07/12/15 07:30:00 AM,76.768,,,,
176,07/12/15 07:45:00 AM,75.942,,,,
177,07/12/15 08:00:00 AM,74.813,,,,
178,07/12/15 08:15:00 AM,73.731,,,,
179,07/12/15 08:30:00 AM,72.997,,,,
180,07/12/15 08:45:00 AM,72.050,,,,
181,07/12/15 09:00:00 AM,71.017,,,,
182,07/12/15 09:15:00 AM,70.072,,,,
183,07/12/15 09:30:00 AM,69.600,,,,
184,07/12/15 09:45:00 AM,69.213,,,,
185,07/12/15 10:00:00 AM,68.785,,,,
186,07/12/15 10:15:00 AM,68.185,,,,
187,07/12/15 10:30:00 AM,67.413,,,,
188,07/12/15 10:45:00 AM,66.643,,,,
189,07/12/15 11:00:00 AM,66.087,,,,
190,07/12/15 11:15:00 AM,66.043,,,,
191,07/12/15 11:30:00 AM,66.600,,,,
192,07/12/15 11:45:00 AM,67.671,,,,
193,07/12/15 12:00:00 PM,69.170,,,,
194,07/12/15 12:15:00 PM,70.759,,,,
195,07/12/15 12:30:00 PM,72.437,,,,
196,07/12/15 12:45:00 PM,74.295,,,,
197,07/12/15 01:00:00 PM,75.333,,,,
198,07/12/15 01:15:00 PM,75.898,,,,
199,07/12/15 01:30:00 PM,75.767,,,,
200,07/12/15 01:45:00 PM,74.856,,,,
201,07/12/15 02:00:00 PM,74.077,,,,
202,07/12/15 02:15:00 PM,73.170,,,,
203,07/12/15 02:30:00 PM,72.136,,,,
204,07/12/15 02:45:00 PM,71.017,,,,
205,07/12/15 03:00:00 PM,69.942,,,,
