"Plot Title: Sow Belly- 2015"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612875, SEN S/N: 10612875)","Coupler Attached (LGR S/N: 10612875)","Coupler Detached (LGR S/N: 10612875)","Stopped (LGR S/N: 10612875)","End Of File (LGR S/N: 10612875)"
1,07/10/15 12:00:00 AM,60.539,,,,
2,07/10/15 01:00:00 AM,60.195,,,,
3,07/10/15 02:00:00 AM,60.024,,,,
4,07/10/15 03:00:00 AM,59.851,,,,
5,07/10/15 04:00:00 AM,59.680,,,,
6,07/10/15 05:00:00 AM,59.508,,,,
7,07/10/15 06:00:00 AM,59.337,,,,
8,07/10/15 07:00:00 AM,59.164,,,,
9,07/10/15 08:00:00 AM,59.337,,,,
10,07/10/15 09:00:00 AM,59.680,,,,
11,07/10/15 10:00:00 AM,60.024,,,,
12,07/10/15 11:00:00 AM,60.195,,,,
13,07/10/15 12:00:00 PM,60.712,,,,
14,07/10/15 01:00:00 PM,61.741,,,,
15,07/10/15 02:00:00 PM,62.940,,,,
16,07/10/15 03:00:00 PM,64.481,,,,
17,07/10/15 04:00:00 PM,64.652,,,,
18,07/10/15 05:00:00 PM,64.139,,,,
19,07/10/15 06:00:00 PM,63.797,,,,
20,07/10/15 07:00:00 PM,63.455,,,,
21,07/10/15 08:00:00 PM,62.940,,,,
22,07/10/15 09:00:00 PM,62.254,,,,
23,07/10/15 10:00:00 PM,61.569,,,,
24,07/10/15 11:00:00 PM,61.054,,,,
25,07/11/15 12:00:00 AM,60.712,,,,
26,07/11/15 01:00:00 AM,60.368,,,,
27,07/11/15 02:00:00 AM,60.195,,,,
28,07/11/15 03:00:00 AM,60.024,,,,
29,07/11/15 04:00:00 AM,59.680,,,,
30,07/11/15 05:00:00 AM,59.508,,,,
31,07/11/15 06:00:00 AM,59.164,,,,
32,07/11/15 07:00:00 AM,58.993,,,,
33,07/11/15 08:00:00 AM,59.337,,,,
34,07/11/15 09:00:00 AM,59.851,,,,
35,07/11/15 10:00:00 AM,60.539,,,,
36,07/11/15 11:00:00 AM,62.083,,,,
37,07/11/15 12:00:00 PM,63.797,,,,
38,07/11/15 01:00:00 PM,64.652,,,,
39,07/11/15 02:00:00 PM,65.509,,,,
40,07/11/15 03:00:00 PM,66.366,,,,
41,07/11/15 04:00:00 PM,66.193,,,,
42,07/11/15 05:00:00 PM,65.851,,,,
43,07/11/15 06:00:00 PM,65.338,,,,
44,07/11/15 07:00:00 PM,64.652,,,,
45,07/11/15 08:00:00 PM,64.139,,,,
46,07/11/15 09:00:00 PM,63.282,,,,
47,07/11/15 10:00:00 PM,62.769,,,,
48,07/11/15 11:00:00 PM,62.254,,,,
49,07/12/15 12:00:00 AM,61.741,,,,
50,07/12/15 01:00:00 AM,61.398,,,,
51,07/12/15 02:00:00 AM,60.883,,,,
52,07/12/15 03:00:00 AM,60.539,,,,
53,07/12/15 04:00:00 AM,60.195,,,,
54,07/12/15 05:00:00 AM,60.024,,,,
55,07/12/15 06:00:00 AM,59.680,,,,
56,07/12/15 07:00:00 AM,59.508,,,,
57,07/12/15 08:00:00 AM,59.851,,,,
58,07/12/15 09:00:00 AM,60.368,,,,
59,07/12/15 10:00:00 AM,61.054,,,,
60,07/12/15 11:00:00 AM,62.598,,,,
61,07/12/15 12:00:00 PM,64.310,,,,
62,07/12/15 01:00:00 PM,65.338,,,,
63,07/12/15 02:00:00 PM,66.022,,,,
64,07/12/15 03:00:00 PM,66.879,,,,
65,07/12/15 04:00:00 PM,66.708,,,,
66,07/12/15 05:00:00 PM,66.366,,,,
67,07/12/15 06:00:00 PM,65.509,,,,
68,07/12/15 07:00:00 PM,64.825,,,,
69,07/12/15 08:00:00 PM,64.139,,,,
70,07/12/15 09:00:00 PM,63.455,,,,
71,07/12/15 10:00:00 PM,62.769,,,,
72,07/12/15 11:00:00 PM,62.254,,,,
73,07/13/15 12:00:00 AM,61.741,,,,
74,07/13/15 01:00:00 AM,61.227,,,,
75,07/13/15 02:00:00 AM,60.712,,,,
76,07/13/15 03:00:00 AM,60.368,,,,
77,07/13/15 04:00:00 AM,60.024,,,,
78,07/13/15 05:00:00 AM,59.680,,,,
79,07/13/15 06:00:00 AM,59.337,,,,
80,07/13/15 07:00:00 AM,59.337,,,,
81,07/13/15 08:00:00 AM,59.508,,,,
82,07/13/15 09:00:00 AM,60.024,,,,
83,07/13/15 10:00:00 AM,60.712,,,,
84,07/13/15 11:00:00 AM,62.254,,,,
85,07/13/15 12:00:00 PM,63.968,,,,
86,07/13/15 01:00:00 PM,64.825,,,,
87,07/13/15 02:00:00 PM,65.851,,,,
88,07/13/15 03:00:00 PM,66.708,,,,
89,07/13/15 04:00:00 PM,66.879,,,,
90,07/13/15 05:00:00 PM,66.366,,,,
91,07/13/15 06:00:00 PM,66.022,,,,
92,07/13/15 07:00:00 PM,65.338,,,,
93,07/13/15 08:00:00 PM,64.825,,,,
94,07/13/15 09:00:00 PM,64.139,,,,
95,07/13/15 10:00:00 PM,63.455,,,,
96,07/13/15 11:00:00 PM,62.940,,,,
97,07/14/15 12:00:00 AM,62.425,,,,
98,07/14/15 01:00:00 AM,62.083,,,,
99,07/14/15 02:00:00 AM,61.569,,,,
100,07/14/15 03:00:00 AM,61.227,,,,
101,07/14/15 04:00:00 AM,60.883,,,,
102,07/14/15 05:00:00 AM,60.539,,,,
103,07/14/15 06:00:00 AM,60.024,,,,
104,07/14/15 07:00:00 AM,59.851,,,,
105,07/14/15 08:00:00 AM,60.024,,,,
106,07/14/15 09:00:00 AM,60.712,,,,
107,07/14/15 10:00:00 AM,61.569,,,,
108,07/14/15 11:00:00 AM,62.769,,,,
109,07/14/15 12:00:00 PM,63.797,,,,
110,07/14/15 01:00:00 PM,64.481,,,,
111,07/14/15 02:00:00 PM,65.509,,,,
112,07/14/15 03:00:00 PM,66.366,,,,
113,07/14/15 04:00:00 PM,66.537,,,,
114,07/14/15 05:00:00 PM,66.193,,,,
115,07/14/15 06:00:00 PM,65.851,,,,
116,07/14/15 07:00:00 PM,65.338,,,,
