"Plot Title: Chadron Creek Above Discharge"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739554, SEN S/N: 10739554)","Coupler Detached (LGR S/N: 10739554)","Coupler Attached (LGR S/N: 10739554)","Stopped (LGR S/N: 10739554)","End Of File (LGR S/N: 10739554)"
1,12/08/15 01:00:00 PM,47.154,Logged,,,
2,12/08/15 01:15:00 PM,46.841,,,,
3,12/08/15 01:30:00 PM,47.109,,,,
4,12/08/15 01:45:00 PM,47.422,,,,
5,12/08/15 02:00:00 PM,47.557,,,,
6,12/08/15 02:15:00 PM,47.512,,,,
7,12/08/15 02:30:00 PM,47.512,,,,
8,12/08/15 02:45:00 PM,47.467,,,,
9,12/08/15 03:00:00 PM,47.467,,,,
10,12/08/15 03:15:00 PM,47.467,,,,
11,12/08/15 03:30:00 PM,47.467,,,,
12,12/08/15 03:45:00 PM,47.467,,,,
13,12/08/15 04:00:00 PM,47.422,,,,
14,12/08/15 04:15:00 PM,47.377,,,,
15,12/08/15 04:30:00 PM,47.334,,,,
16,12/08/15 04:45:00 PM,47.289,,,,
17,12/08/15 05:00:00 PM,47.199,,,,
18,12/08/15 05:15:00 PM,47.154,,,,
19,12/08/15 05:30:00 PM,47.064,,,,
20,12/08/15 05:45:00 PM,46.974,,,,
21,12/08/15 06:00:00 PM,46.886,,,,
22,12/08/15 06:15:00 PM,46.796,,,,
23,12/08/15 06:30:00 PM,46.661,,,,
24,12/08/15 06:45:00 PM,46.526,,,,
25,12/08/15 07:00:00 PM,46.391,,,,
26,12/08/15 07:15:00 PM,46.211,,,,
27,12/08/15 07:30:00 PM,46.031,,,,
28,12/08/15 07:45:00 PM,45.896,,,,
29,12/08/15 08:00:00 PM,45.761,,,,
30,12/08/15 08:15:00 PM,45.624,,,,
31,12/08/15 08:30:00 PM,45.534,,,,
32,12/08/15 08:45:00 PM,45.399,,,,
33,12/08/15 09:00:00 PM,45.262,,,,
34,12/08/15 09:15:00 PM,45.127,,,,
35,12/08/15 09:30:00 PM,45.036,,,,
36,12/08/15 09:45:00 PM,44.901,,,,
37,12/08/15 10:00:00 PM,44.809,,,,
38,12/08/15 10:15:00 PM,44.719,,,,
39,12/08/15 10:30:00 PM,44.582,,,,
40,12/08/15 10:45:00 PM,44.492,,,,
41,12/08/15 11:00:00 PM,44.355,,,,
42,12/08/15 11:15:00 PM,44.263,,,,
43,12/08/15 11:30:00 PM,44.127,,,,
44,12/08/15 11:45:00 PM,44.037,,,,
45,12/09/15 12:00:00 AM,43.945,,,,
46,12/09/15 12:15:00 AM,43.853,,,,
47,12/09/15 12:30:00 AM,43.716,,,,
48,12/09/15 12:45:00 AM,43.624,,,,
49,12/09/15 01:00:00 AM,43.534,,,,
50,12/09/15 01:15:00 AM,43.443,,,,
51,12/09/15 01:30:00 AM,43.351,,,,
52,12/09/15 01:45:00 AM,43.259,,,,
53,12/09/15 02:00:00 AM,43.214,,,,
54,12/09/15 02:15:00 AM,43.122,,,,
55,12/09/15 02:30:00 AM,43.030,,,,
56,12/09/15 02:45:00 AM,42.984,,,,
57,12/09/15 03:00:00 AM,42.939,,,,
58,12/09/15 03:15:00 AM,42.892,,,,
59,12/09/15 03:30:00 AM,42.847,,,,
60,12/09/15 03:45:00 AM,42.847,,,,
61,12/09/15 04:00:00 AM,42.847,,,,
62,12/09/15 04:15:00 AM,42.892,,,,
63,12/09/15 04:30:00 AM,42.939,,,,
64,12/09/15 04:45:00 AM,43.030,,,,
65,12/09/15 05:00:00 AM,43.075,,,,
66,12/09/15 05:15:00 AM,43.122,,,,
67,12/09/15 05:30:00 AM,43.214,,,,
68,12/09/15 05:45:00 AM,43.259,,,,
69,12/09/15 06:00:00 AM,43.306,,,,
70,12/09/15 06:15:00 AM,43.351,,,,
71,12/09/15 06:30:00 AM,43.351,,,,
72,12/09/15 06:45:00 AM,43.351,,,,
73,12/09/15 07:00:00 AM,43.351,,,,
74,12/09/15 07:15:00 AM,43.306,,,,
75,12/09/15 07:30:00 AM,43.214,,,,
76,12/09/15 07:45:00 AM,43.122,,,,
77,12/09/15 08:00:00 AM,43.030,,,,
78,12/09/15 08:15:00 AM,42.939,,,,
79,12/09/15 08:30:00 AM,42.847,,,,
80,12/09/15 08:45:00 AM,42.800,,,,
81,12/09/15 09:00:00 AM,42.755,,,,
82,12/09/15 09:15:00 AM,42.708,,,,
83,12/09/15 09:30:00 AM,42.755,,,,
84,12/09/15 09:45:00 AM,42.800,,,,
85,12/09/15 10:00:00 AM,42.892,,,,
86,12/09/15 10:15:00 AM,43.030,,,,
87,12/09/15 10:30:00 AM,43.259,,,,
88,12/09/15 10:45:00 AM,43.534,,,,
89,12/09/15 11:00:00 AM,43.763,,,,
90,12/09/15 11:15:00 AM,44.037,,,,
91,12/09/15 11:30:00 AM,44.263,,,,
92,12/09/15 11:45:00 AM,44.445,,,,
93,12/09/15 12:00:00 PM,44.719,,,,
94,12/09/15 12:15:00 PM,44.946,,,,
95,12/09/15 12:30:00 PM,45.172,,,,
96,12/09/15 12:45:00 PM,45.444,,,,
97,12/09/15 01:00:00 PM,45.624,,,,
98,12/09/15 01:15:00 PM,45.806,,,,
99,12/09/15 01:30:00 PM,46.076,,,,
100,12/09/15 01:45:00 PM,46.211,,,,
101,12/09/15 02:00:00 PM,46.436,,,,
102,12/09/15 02:15:00 PM,46.661,,,,
103,12/09/15 02:30:00 PM,46.886,,,,
104,12/09/15 02:45:00 PM,47.019,,,,
105,12/09/15 03:00:00 PM,47.154,,,,
106,12/09/15 03:15:00 PM,47.244,,,,
107,12/09/15 03:30:00 PM,47.334,,,,
108,12/09/15 03:45:00 PM,47.377,,,,
109,12/09/15 04:00:00 PM,47.422,,,,
110,12/09/15 04:15:00 PM,47.422,,,,
111,12/09/15 04:30:00 PM,47.422,,,,
112,12/09/15 04:45:00 PM,47.377,,,,
113,12/09/15 05:00:00 PM,47.334,,,,
114,12/09/15 05:15:00 PM,47.289,,,,
115,12/09/15 05:30:00 PM,47.244,,,,
116,12/09/15 05:45:00 PM,47.244,,,,
117,12/09/15 06:00:00 PM,47.199,,,,
118,12/09/15 06:15:00 PM,47.109,,,,
119,12/09/15 06:30:00 PM,47.064,,,,
120,12/09/15 06:45:00 PM,46.974,,,,
121,12/09/15 07:00:00 PM,46.886,,,,
122,12/09/15 07:15:00 PM,46.796,,,,
123,12/09/15 07:30:00 PM,46.751,,,,
124,12/09/15 07:45:00 PM,46.751,,,,
125,12/09/15 08:00:00 PM,46.796,,,,
126,12/09/15 08:15:00 PM,46.886,,,,
127,12/09/15 08:30:00 PM,46.931,,,,
128,12/09/15 08:45:00 PM,46.974,,,,
129,12/09/15 09:00:00 PM,47.019,,,,
130,12/09/15 09:15:00 PM,47.019,,,,
131,12/09/15 09:30:00 PM,47.019,,,,
132,12/09/15 09:45:00 PM,47.019,,,,
133,12/09/15 10:00:00 PM,47.064,,,,
134,12/09/15 10:15:00 PM,47.109,,,,
135,12/09/15 10:30:00 PM,47.154,,,,
136,12/09/15 10:45:00 PM,47.199,,,,
137,12/09/15 11:00:00 PM,47.199,,,,
138,12/09/15 11:15:00 PM,47.199,,,,
139,12/09/15 11:30:00 PM,47.199,,,,
140,12/09/15 11:45:00 PM,47.199,,,,
141,12/10/15 12:00:00 AM,47.109,,,,
142,12/10/15 12:15:00 AM,47.019,,,,
143,12/10/15 12:30:00 AM,46.974,,,,
144,12/10/15 12:45:00 AM,46.886,,,,
145,12/10/15 01:00:00 AM,46.751,,,,
146,12/10/15 01:15:00 AM,46.661,,,,
147,12/10/15 01:30:00 AM,46.616,,,,
148,12/10/15 01:45:00 AM,46.481,,,,
149,12/10/15 02:00:00 AM,46.391,,,,
150,12/10/15 02:15:00 AM,46.256,,,,
151,12/10/15 02:30:00 AM,46.166,,,,
152,12/10/15 02:45:00 AM,46.076,,,,
153,12/10/15 03:00:00 AM,45.941,,,,
154,12/10/15 03:15:00 AM,45.761,,,,
155,12/10/15 03:30:00 AM,45.579,,,,
156,12/10/15 03:45:00 AM,45.444,,,,
157,12/10/15 04:00:00 AM,45.307,,,,
158,12/10/15 04:15:00 AM,45.217,,,,
159,12/10/15 04:30:00 AM,45.082,,,,
160,12/10/15 04:45:00 AM,44.991,,,,
161,12/10/15 05:00:00 AM,44.901,,,,
