"Plot Title: Chadron Creek Park Entrance 12-8-15"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739555, SEN S/N: 10739555)","Coupler Detached (LGR S/N: 10739555)","Coupler Attached (LGR S/N: 10739555)","Host Connected (LGR S/N: 10739555)","Stopped (LGR S/N: 10739555)","End Of File (LGR S/N: 10739555)"
1,05/27/16 01:30:00 PM,55.125,Logged,,,,
2,05/27/16 01:45:00 PM,54.995,,,,,
3,05/27/16 02:00:00 PM,55.125,,,,,
4,05/27/16 02:15:00 PM,55.168,,,,,
5,05/27/16 02:30:00 PM,55.213,,,,,
6,05/27/16 02:45:00 PM,55.213,,,,,
7,05/27/16 03:00:00 PM,55.168,,,,,
8,05/27/16 03:15:00 PM,55.213,,,,,
9,05/27/16 03:30:00 PM,55.213,,,,,
10,05/27/16 03:45:00 PM,55.299,,,,,
11,05/27/16 04:00:00 PM,55.429,,,,,
12,05/27/16 04:15:00 PM,55.515,,,,,
13,05/27/16 04:30:00 PM,55.515,,,,,
14,05/27/16 04:45:00 PM,55.515,,,,,
15,05/27/16 05:00:00 PM,55.472,,,,,
16,05/27/16 05:15:00 PM,55.472,,,,,
17,05/27/16 05:30:00 PM,55.429,,,,,
18,05/27/16 05:45:00 PM,55.429,,,,,
19,05/27/16 06:00:00 PM,55.386,,,,,
20,05/27/16 06:15:00 PM,55.386,,,,,
21,05/27/16 06:30:00 PM,55.299,,,,,
22,05/27/16 06:45:00 PM,55.256,,,,,
23,05/27/16 07:00:00 PM,55.213,,,,,
24,05/27/16 07:15:00 PM,55.125,,,,,
25,05/27/16 07:30:00 PM,55.081,,,,,
26,05/27/16 07:45:00 PM,54.952,,,,,
27,05/27/16 08:00:00 PM,54.820,,,,,
28,05/27/16 08:15:00 PM,54.648,,,,,
29,05/27/16 08:30:00 PM,54.430,,,,,
30,05/27/16 08:45:00 PM,54.212,,,,,
31,05/27/16 09:00:00 PM,53.994,,,,,
32,05/27/16 09:15:00 PM,53.776,,,,,
33,05/27/16 09:30:00 PM,53.559,,,,,
34,05/27/16 09:45:00 PM,53.298,,,,,
35,05/27/16 10:00:00 PM,53.078,,,,,
36,05/27/16 10:15:00 PM,52.903,,,,,
37,05/27/16 10:30:00 PM,52.729,,,,,
38,05/27/16 10:45:00 PM,52.509,,,,,
39,05/27/16 11:00:00 PM,52.335,,,,,
40,05/27/16 11:15:00 PM,52.160,,,,,
41,05/27/16 11:30:00 PM,51.984,,,,,
42,05/27/16 11:45:00 PM,51.809,,,,,
43,05/28/16 12:00:00 AM,51.633,,,,,
44,05/28/16 12:15:00 AM,51.458,,,,,
45,05/28/16 12:30:00 AM,51.325,,,,,
46,05/28/16 12:45:00 AM,51.193,,,,,
47,05/28/16 01:00:00 AM,51.062,,,,,
48,05/28/16 01:15:00 AM,50.929,,,,,
49,05/28/16 01:30:00 AM,50.841,,,,,
50,05/28/16 01:45:00 AM,50.709,,,,,
51,05/28/16 02:00:00 AM,50.576,,,,,
52,05/28/16 02:15:00 AM,50.400,,,,,
53,05/28/16 02:30:00 AM,50.268,,,,,
54,05/28/16 02:45:00 AM,50.135,,,,,
55,05/28/16 03:00:00 AM,49.959,,,,,
56,05/28/16 03:15:00 AM,49.782,,,,,
57,05/28/16 03:30:00 AM,49.604,,,,,
58,05/28/16 03:45:00 AM,49.516,,,,,
59,05/28/16 04:00:00 AM,49.338,,,,,
60,05/28/16 04:15:00 AM,49.204,,,,,
61,05/28/16 04:30:00 AM,49.073,,,,,
62,05/28/16 04:45:00 AM,48.983,,,,,
63,05/28/16 05:00:00 AM,48.850,,,,,
64,05/28/16 05:15:00 AM,48.717,,,,,
65,05/28/16 05:30:00 AM,48.583,,,,,
66,05/28/16 05:45:00 AM,48.493,,,,,
67,05/28/16 06:00:00 AM,48.360,,,,,
68,05/28/16 06:15:00 AM,48.272,,,,,
69,05/28/16 06:30:00 AM,48.182,,,,,
70,05/28/16 06:45:00 AM,48.137,,,,,
71,05/28/16 07:00:00 AM,48.137,,,,,
72,05/28/16 07:15:00 AM,48.227,,,,,
73,05/28/16 07:30:00 AM,48.405,,,,,
74,05/28/16 07:45:00 AM,48.628,,,,,
75,05/28/16 08:00:00 AM,48.850,,,,,
76,05/28/16 08:15:00 AM,49.116,,,,,
77,05/28/16 08:30:00 AM,49.383,,,,,
78,05/28/16 08:45:00 AM,49.692,,,,,
79,05/28/16 09:00:00 AM,50.002,,,,,
80,05/28/16 09:15:00 AM,50.356,,,,,
81,05/28/16 09:30:00 AM,50.752,,,,,
82,05/28/16 09:45:00 AM,51.148,,,,,
83,05/28/16 10:00:00 AM,51.589,,,,,
84,05/28/16 10:15:00 AM,52.072,,,,,
85,05/28/16 10:30:00 AM,52.509,,,,,
86,05/28/16 10:45:00 AM,52.992,,,,,
87,05/28/16 11:00:00 AM,53.515,,,,,
88,05/28/16 11:15:00 AM,54.037,,,,,
89,05/28/16 11:30:00 AM,54.604,,,,,
90,05/28/16 11:45:00 AM,55.213,,,,,
91,05/28/16 12:00:00 PM,55.819,,,,,
92,05/28/16 12:15:00 PM,56.426,,,,,
93,05/28/16 12:30:00 PM,56.988,,,,,
94,05/28/16 12:45:00 PM,57.679,,,,,
95,05/28/16 01:00:00 PM,58.282,,,,,
96,05/28/16 01:15:00 PM,58.325,,,,,
97,05/28/16 01:30:00 PM,58.152,,,,,
98,05/28/16 01:45:00 PM,57.850,,,,,
99,05/28/16 02:00:00 PM,57.636,,,,,
100,05/28/16 02:15:00 PM,57.463,,,,,
101,05/28/16 02:30:00 PM,57.376,,,,,
102,05/28/16 02:45:00 PM,57.420,,,,,
103,05/28/16 03:00:00 PM,57.636,,,,,
104,05/28/16 03:15:00 PM,58.325,,,,,
105,05/28/16 03:30:00 PM,58.971,,,,,
106,05/28/16 03:45:00 PM,59.486,,,,,
107,05/28/16 04:00:00 PM,59.358,,,,,
108,05/28/16 04:15:00 PM,59.142,,,,,
109,05/28/16 04:30:00 PM,58.885,,,,,
110,05/28/16 04:45:00 PM,58.842,,,,,
111,05/28/16 05:00:00 PM,58.842,,,,,
112,05/28/16 05:15:00 PM,58.582,,,,,
113,05/28/16 05:30:00 PM,58.282,,,,,
114,05/28/16 05:45:00 PM,57.936,,,,,
115,05/28/16 06:00:00 PM,57.636,,,,,
116,05/28/16 06:15:00 PM,57.506,,,,,
117,05/28/16 06:30:00 PM,57.376,,,,,
118,05/28/16 06:45:00 PM,57.290,,,,,
119,05/28/16 07:00:00 PM,57.117,,,,,
120,05/28/16 07:15:00 PM,56.944,,,,,
121,05/28/16 07:30:00 PM,56.685,,,,,
122,05/28/16 07:45:00 PM,56.469,,,,,
123,05/28/16 08:00:00 PM,56.208,,,,,
124,05/28/16 08:15:00 PM,55.992,,,,,
125,05/28/16 08:30:00 PM,55.690,,,,,
126,05/28/16 08:45:00 PM,55.429,,,,,
127,05/28/16 09:00:00 PM,55.125,,,,,
128,05/28/16 09:15:00 PM,54.820,,,,,
129,05/28/16 09:30:00 PM,54.561,,,,,
130,05/28/16 09:45:00 PM,54.300,,,,,
131,05/28/16 10:00:00 PM,54.037,,,,,
132,05/28/16 10:15:00 PM,53.776,,,,,
133,05/28/16 10:30:00 PM,53.559,,,,,
134,05/28/16 10:45:00 PM,53.298,,,,,
135,05/28/16 11:00:00 PM,53.078,,,,,
136,05/28/16 11:15:00 PM,52.860,,,,,
137,05/28/16 11:30:00 PM,52.597,,,,,
138,05/28/16 11:45:00 PM,52.378,,,,,
139,05/29/16 12:00:00 AM,52.160,,,,,
140,05/29/16 12:15:00 AM,51.940,,,,,
141,05/29/16 12:30:00 AM,51.721,,,,,
142,05/29/16 12:45:00 AM,51.544,,,,,
143,05/29/16 01:00:00 AM,51.325,,,,,
144,05/29/16 01:15:00 AM,51.105,,,,,
145,05/29/16 01:30:00 AM,50.929,,,,,
146,05/29/16 01:45:00 AM,50.797,,,,,
147,05/29/16 02:00:00 AM,50.664,,,,,
148,05/29/16 02:15:00 AM,50.533,,,,,
149,05/29/16 02:30:00 AM,50.400,,,,,
150,05/29/16 02:45:00 AM,50.268,,,,,
151,05/29/16 03:00:00 AM,50.135,,,,,
152,05/29/16 03:15:00 AM,50.047,,,,,
153,05/29/16 03:30:00 AM,49.870,,,,,
154,05/29/16 03:45:00 AM,49.737,,,,,
155,05/29/16 04:00:00 AM,49.604,,,,,
156,05/29/16 04:15:00 AM,49.471,,,,,
157,05/29/16 04:30:00 AM,49.338,,,,,
158,05/29/16 04:45:00 AM,49.204,,,,,
159,05/29/16 05:00:00 AM,49.073,,,,,
160,05/29/16 05:15:00 AM,48.983,,,,,
161,05/29/16 05:30:00 AM,48.850,,,,,
162,05/29/16 05:45:00 AM,48.762,,,,,
163,05/29/16 06:00:00 AM,48.672,,,,,
164,05/29/16 06:15:00 AM,48.628,,,,,
165,05/29/16 06:30:00 AM,48.538,,,,,
166,05/29/16 06:45:00 AM,48.493,,,,,
167,05/29/16 07:00:00 AM,48.538,,,,,
168,05/29/16 07:15:00 AM,48.628,,,,,
169,05/29/16 07:30:00 AM,48.805,,,,,
170,05/29/16 07:45:00 AM,48.983,,,,,
171,05/29/16 08:00:00 AM,49.161,,,,,
172,05/29/16 08:15:00 AM,49.383,,,,,
173,05/29/16 08:30:00 AM,49.649,,,,,
174,05/29/16 08:45:00 AM,49.959,,,,,
175,05/29/16 09:00:00 AM,50.311,,,,,
