"Plot Title: Gordon Creek 4a"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739569, SEN S/N: 10739569)","Coupler Detached (LGR S/N: 10739569)","Coupler Attached (LGR S/N: 10739569)","Host Connected (LGR S/N: 10739569)","End Of File (LGR S/N: 10739569)"
1,04/07/16 12:00:00 PM,69.901,Logged,,,
2,04/07/16 12:15:00 PM,64.459,,,,
3,04/07/16 12:30:00 PM,62.704,,,,
4,04/07/16 12:45:00 PM,60.991,,,,
5,04/07/16 01:00:00 PM,60.046,,,,
6,04/07/16 01:15:00 PM,60.733,,,,
7,04/07/16 01:30:00 PM,59.788,,,,
8,04/07/16 01:45:00 PM,56.772,,,,
9,04/07/16 02:00:00 PM,56.035,,,,
10,04/07/16 02:15:00 PM,51.370,,,,
11,04/07/16 02:30:00 PM,51.148,,,,
12,04/07/16 02:45:00 PM,51.237,,,,
13,04/07/16 03:00:00 PM,51.282,,,,
14,04/07/16 03:15:00 PM,51.458,,,,
15,04/07/16 03:30:00 PM,51.544,,,,
16,04/07/16 03:45:00 PM,51.764,,,,
17,04/07/16 04:00:00 PM,51.895,,,,
18,04/07/16 04:15:00 PM,51.852,,,,
19,04/07/16 04:30:00 PM,51.895,,,,
20,04/07/16 04:45:00 PM,51.895,,,,
21,04/07/16 05:00:00 PM,51.809,,,,
22,04/07/16 05:15:00 PM,51.721,,,,
23,04/07/16 05:30:00 PM,51.764,,,,
24,04/07/16 05:45:00 PM,51.764,,,,
25,04/07/16 06:00:00 PM,51.852,,,,
26,04/07/16 06:15:00 PM,51.809,,,,
27,04/07/16 06:30:00 PM,51.633,,,,
28,04/07/16 06:45:00 PM,51.501,,,,
29,04/07/16 07:00:00 PM,51.413,,,,
30,04/07/16 07:15:00 PM,51.325,,,,
31,04/07/16 07:30:00 PM,51.282,,,,
32,04/07/16 07:45:00 PM,51.148,,,,
33,04/07/16 08:00:00 PM,50.974,,,,
34,04/07/16 08:15:00 PM,50.929,,,,
35,04/07/16 08:30:00 PM,50.841,,,,
36,04/07/16 08:45:00 PM,50.841,,,,
37,04/07/16 09:00:00 PM,50.797,,,,
38,04/07/16 09:15:00 PM,50.797,,,,
39,04/07/16 09:30:00 PM,50.797,,,,
40,04/07/16 09:45:00 PM,50.752,,,,
41,04/07/16 10:00:00 PM,50.752,,,,
42,04/07/16 10:15:00 PM,50.752,,,,
43,04/07/16 10:30:00 PM,50.709,,,,
44,04/07/16 10:45:00 PM,50.621,,,,
45,04/07/16 11:00:00 PM,50.576,,,,
46,04/07/16 11:15:00 PM,50.488,,,,
47,04/07/16 11:30:00 PM,50.356,,,,
48,04/07/16 11:45:00 PM,50.223,,,,
49,04/08/16 12:00:00 AM,50.092,,,,
50,04/08/16 12:15:00 AM,49.959,,,,
51,04/08/16 12:30:00 AM,49.825,,,,
52,04/08/16 12:45:00 AM,49.604,,,,
53,04/08/16 01:00:00 AM,49.471,,,,
54,04/08/16 01:15:00 AM,49.338,,,,
55,04/08/16 01:30:00 AM,49.161,,,,
56,04/08/16 01:45:00 AM,48.983,,,,
57,04/08/16 02:00:00 AM,48.895,,,,
58,04/08/16 02:15:00 AM,48.762,,,,
59,04/08/16 02:30:00 AM,48.672,,,,
60,04/08/16 02:45:00 AM,48.538,,,,
61,04/08/16 03:00:00 AM,48.360,,,,
62,04/08/16 03:15:00 AM,48.182,,,,
63,04/08/16 03:30:00 AM,47.871,,,,
64,04/08/16 03:45:00 AM,47.647,,,,
65,04/08/16 04:00:00 AM,47.467,,,,
66,04/08/16 04:15:00 AM,47.289,,,,
67,04/08/16 04:30:00 AM,47.154,,,,
68,04/08/16 04:45:00 AM,47.019,,,,
69,04/08/16 05:00:00 AM,46.886,,,,
70,04/08/16 05:15:00 AM,46.661,,,,
71,04/08/16 05:30:00 AM,46.481,,,,
72,04/08/16 05:45:00 AM,46.121,,,,
73,04/08/16 06:00:00 AM,45.896,,,,
74,04/08/16 06:15:00 AM,45.714,,,,
75,04/08/16 06:30:00 AM,45.579,,,,
76,04/08/16 06:45:00 AM,45.399,,,,
77,04/08/16 07:00:00 AM,45.307,,,,
78,04/08/16 07:15:00 AM,45.127,,,,
79,04/08/16 07:30:00 AM,44.946,,,,
80,04/08/16 07:45:00 AM,44.764,,,,
81,04/08/16 08:00:00 AM,44.627,,,,
82,04/08/16 08:15:00 AM,44.537,,,,
83,04/08/16 08:30:00 AM,44.492,,,,
84,04/08/16 08:45:00 AM,44.492,,,,
85,04/08/16 09:00:00 AM,44.492,,,,
86,04/08/16 09:15:00 AM,44.537,,,,
87,04/08/16 09:30:00 AM,44.674,,,,
88,04/08/16 09:45:00 AM,44.719,,,,
89,04/08/16 10:00:00 AM,44.856,,,,
90,04/08/16 10:15:00 AM,44.946,,,,
91,04/08/16 10:30:00 AM,45.172,,,,
92,04/08/16 10:45:00 AM,45.399,,,,
93,04/08/16 11:00:00 AM,45.669,,,,
94,04/08/16 11:15:00 AM,45.986,,,,
95,04/08/16 11:30:00 AM,46.301,,,,
96,04/08/16 11:45:00 AM,46.616,,,,
97,04/08/16 12:00:00 PM,46.931,,,,
98,04/08/16 12:15:00 PM,47.377,,,,
99,04/08/16 12:30:00 PM,47.781,,,,
100,04/08/16 12:45:00 PM,48.182,,,,
101,04/08/16 01:00:00 PM,48.628,,,,
102,04/08/16 01:15:00 PM,48.983,,,,
103,04/08/16 01:30:00 PM,49.383,,,,
104,04/08/16 01:45:00 PM,49.782,,,,
105,04/08/16 02:00:00 PM,50.180,,,,
106,04/08/16 02:15:00 PM,50.488,,,,
107,04/08/16 02:30:00 PM,51.062,,,,
108,04/08/16 02:45:00 PM,51.544,,,,
109,04/08/16 03:00:00 PM,51.940,,,,
110,04/08/16 03:15:00 PM,52.466,,,,
111,04/08/16 03:30:00 PM,52.817,,,,
