"Plot Title: Monroe Creek 11-25-15 (1734)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739559, SEN S/N: 10739559)","Coupler Detached (LGR S/N: 10739559)","Coupler Attached (LGR S/N: 10739559)","Stopped (LGR S/N: 10739559)","End Of File (LGR S/N: 10739559)"
1,11/24/15 05:34:22 PM,65.615,,,,
2,11/24/15 05:34:37 PM,,Logged,,,
3,11/24/15 05:49:22 PM,44.764,,,,
4,11/24/15 06:04:22 PM,44.082,,,,
5,11/24/15 06:19:22 PM,43.990,,,,
6,11/24/15 06:34:22 PM,43.945,,,,
7,11/24/15 06:49:22 PM,43.900,,,,
8,11/24/15 07:04:22 PM,43.853,,,,
9,11/24/15 07:19:22 PM,43.853,,,,
10,11/24/15 07:34:22 PM,43.808,,,,
11,11/24/15 07:49:22 PM,43.763,,,,
12,11/24/15 08:04:22 PM,43.763,,,,
13,11/24/15 08:19:22 PM,43.716,,,,
14,11/24/15 08:34:22 PM,43.716,,,,
15,11/24/15 08:49:22 PM,43.671,,,,
16,11/24/15 09:04:22 PM,43.624,,,,
17,11/24/15 09:19:22 PM,43.579,,,,
18,11/24/15 09:34:22 PM,43.579,,,,
19,11/24/15 09:49:22 PM,43.488,,,,
20,11/24/15 10:04:22 PM,43.443,,,,
21,11/24/15 10:19:22 PM,43.396,,,,
22,11/24/15 10:34:22 PM,43.396,,,,
23,11/24/15 10:49:22 PM,43.351,,,,
24,11/24/15 11:04:22 PM,43.351,,,,
25,11/24/15 11:19:22 PM,43.306,,,,
26,11/24/15 11:34:22 PM,43.259,,,,
27,11/24/15 11:49:22 PM,43.259,,,,
28,11/25/15 12:04:22 AM,43.214,,,,
29,11/25/15 12:19:22 AM,43.214,,,,
30,11/25/15 12:34:22 AM,43.214,,,,
31,11/25/15 12:49:22 AM,43.167,,,,
32,11/25/15 01:04:22 AM,43.122,,,,
33,11/25/15 01:19:22 AM,43.122,,,,
34,11/25/15 01:34:22 AM,43.075,,,,
35,11/25/15 01:49:22 AM,43.030,,,,
36,11/25/15 02:04:22 AM,43.030,,,,
37,11/25/15 02:19:22 AM,42.984,,,,
38,11/25/15 02:34:22 AM,42.939,,,,
39,11/25/15 02:49:22 AM,42.847,,,,
