Plot Title: SheepCreek 1							
#	"Date Time, GMT-06:00"	"Temp, °F (LGR S/N: 10719010, SEN S/N: 10719010)"	Coupler Detached (LGR S/N: 10719010)	Coupler Attached (LGR S/N: 10719010)	Stopped (LGR S/N: 10719010)	End Of File (LGR S/N: 10719010)	
1763	1/1/2016 0:00	45.986					
1764	1/1/2016 1:00	45.761					
1765	1/1/2016 2:00	45.534		44.173	48.70887634	53.602	
1766	1/1/2016 3:00	45.262					
1767	1/1/2016 4:00	44.946					
1768	1/1/2016 5:00	44.719					
1769	1/1/2016 6:00	44.492					
1770	1/1/2016 7:00	44.355					
1771	1/1/2016 8:00	44.218					
1772	1/1/2016 9:00	44.173					
1773	1/1/2016 10:00	44.31					
1774	1/1/2016 11:00	44.856					
1775	1/1/2016 12:00	45.669					
1776	1/1/2016 13:00	46.571					
1777	1/1/2016 14:00	47.557					
1778	1/1/2016 15:00	48.182					
1779	1/1/2016 16:00	48.405					
1780	1/1/2016 17:00	48.315					
1781	1/1/2016 18:00	48.182					
1782	1/1/2016 19:00	47.959					
1783	1/1/2016 20:00	47.691					
1784	1/1/2016 21:00	47.467					
1785	1/1/2016 22:00	47.334					
1786	1/1/2016 23:00	47.199					
1787	1/2/2016 0:00	47.109					
1788	1/2/2016 1:00	46.931					
1789	1/2/2016 2:00	46.841					
1790	1/2/2016 3:00	46.661					
1791	1/2/2016 4:00	46.571					
1792	1/2/2016 5:00	46.481					
1793	1/2/2016 6:00	46.301					
1794	1/2/2016 7:00	46.166					
1795	1/2/2016 8:00	46.166					
1796	1/2/2016 9:00	46.166					
1797	1/2/2016 10:00	46.211					
1798	1/2/2016 11:00	46.571					
1799	1/2/2016 12:00	47.199					
1800	1/2/2016 13:00	48.094					
1801	1/2/2016 14:00	48.938					
1802	1/2/2016 15:00	49.516					
1803	1/2/2016 16:00	49.782					
1804	1/2/2016 17:00	49.737					
1805	1/2/2016 18:00	49.561					
1806	1/2/2016 19:00	49.249					
1807	1/2/2016 20:00	48.85					
1808	1/2/2016 21:00	48.45					
1809	1/2/2016 22:00	48.137					
1810	1/2/2016 23:00	47.826					
1811	1/3/2016 0:00	47.557					
1812	1/3/2016 1:00	47.334					
1813	1/3/2016 2:00	47.154					
1814	1/3/2016 3:00	46.931					
1815	1/3/2016 4:00	46.661					
1816	1/3/2016 5:00	46.391					
1817	1/3/2016 6:00	46.121					
1818	1/3/2016 7:00	45.941					
1819	1/3/2016 8:00	45.761					
1820	1/3/2016 9:00	45.579					
1821	1/3/2016 10:00	45.669					
1822	1/3/2016 11:00	46.211					
1823	1/3/2016 12:00	47.064					
1824	1/3/2016 13:00	48.137					
1825	1/3/2016 14:00	49.073					
1826	1/3/2016 15:00	49.471					
1827	1/3/2016 16:00	49.649					
1828	1/3/2016 17:00	49.516					
1829	1/3/2016 18:00	49.204					
1830	1/3/2016 19:00	48.805					
1831	1/3/2016 20:00	48.45					
1832	1/3/2016 21:00	48.137					
1833	1/3/2016 22:00	47.871					
1834	1/3/2016 23:00	47.602					
1835	1/4/2016 0:00	47.377					
1836	1/4/2016 1:00	47.154					
1837	1/4/2016 2:00	46.931					
1838	1/4/2016 3:00	46.751					
1839	1/4/2016 4:00	46.571					
1840	1/4/2016 5:00	46.346					
1841	1/4/2016 6:00	46.121					
1842	1/4/2016 7:00	45.986					
1843	1/4/2016 8:00	45.851					
1844	1/4/2016 9:00	45.761					
1845	1/4/2016 10:00	45.896					
1846	1/4/2016 11:00	46.346					
1847	1/4/2016 12:00	47.019					
1848	1/4/2016 13:00	47.826					
1849	1/4/2016 14:00	48.583					
1850	1/4/2016 15:00	49.116					
1851	1/4/2016 16:00	49.249					
1852	1/4/2016 17:00	49.116					
1853	1/4/2016 18:00	48.895					
1854	1/4/2016 19:00	48.628					
1855	1/4/2016 20:00	48.272					
1856	1/4/2016 21:00	47.959					
1857	1/4/2016 22:00	47.691					
1858	1/4/2016 23:00	47.467					
1859	1/5/2016 0:00	47.289					
1860	1/5/2016 1:00	47.109					
1861	1/5/2016 2:00	46.931					
1862	1/5/2016 3:00	46.751					
1863	1/5/2016 4:00	46.616					
1864	1/5/2016 5:00	46.436					
1865	1/5/2016 6:00	46.256					
1866	1/5/2016 7:00	46.166					
1867	1/5/2016 8:00	46.076					
1868	1/5/2016 9:00	45.986					
1869	1/5/2016 10:00	46.031					
1870	1/5/2016 11:00	46.481					
1871	1/5/2016 12:00	47.334					
1872	1/5/2016 13:00	48.405					
1873	1/5/2016 14:00	49.471					
1874	1/5/2016 15:00	50.311					
1875	1/5/2016 16:00	50.664					
1876	1/5/2016 17:00	50.576					
1877	1/5/2016 18:00	50.311					
1878	1/5/2016 19:00	49.914					
1879	1/5/2016 20:00	49.516					
1880	1/5/2016 21:00	49.116					
1881	1/5/2016 22:00	48.762					
1882	1/5/2016 23:00	48.493					
1883	1/6/2016 0:00	48.227					
1884	1/6/2016 1:00	47.959					
1885	1/6/2016 2:00	47.736					
1886	1/6/2016 3:00	47.557					
1887	1/6/2016 4:00	47.334					
1888	1/6/2016 5:00	47.109					
1889	1/6/2016 6:00	46.931					
1890	1/6/2016 7:00	46.751					
1891	1/6/2016 8:00	46.616					
1892	1/6/2016 9:00	46.481					
1893	1/6/2016 10:00	46.571					
1894	1/6/2016 11:00	47.199					
1895	1/6/2016 12:00	48.182					
1896	1/6/2016 13:00	49.338					
1897	1/6/2016 14:00	50.356					
1898	1/6/2016 15:00	51.062					
1899	1/6/2016 16:00	51.237					
1900	1/6/2016 17:00	51.017					
1901	1/6/2016 18:00	50.709					
1902	1/6/2016 19:00	50.311					
1903	1/6/2016 20:00	49.914					
1904	1/6/2016 21:00	49.604					
1905	1/6/2016 22:00	49.383					
1906	1/6/2016 23:00	49.116					
1907	1/7/2016 0:00	48.805					
1908	1/7/2016 1:00	48.538					
1909	1/7/2016 2:00	48.272					
1910	1/7/2016 3:00	48.004					
1911	1/7/2016 4:00	47.736					
1912	1/7/2016 5:00	47.557					
1913	1/7/2016 6:00	47.377					
1914	1/7/2016 7:00	47.199					
1915	1/7/2016 8:00	47.109					
1916	1/7/2016 9:00	47.109					
1917	1/7/2016 10:00	47.422					
1918	1/7/2016 11:00	47.959					
1919	1/7/2016 12:00	48.717					
1920	1/7/2016 13:00	49.338					
1921	1/7/2016 14:00	49.87					
1922	1/7/2016 15:00	50.4					
1923	1/7/2016 16:00	50.621					
1924	1/7/2016 17:00	50.576					
1925	1/7/2016 18:00	50.4					
1926	1/7/2016 19:00	50.18					
1927	1/7/2016 20:00	50.047					
1928	1/7/2016 21:00	49.914					
1929	1/7/2016 22:00	49.782					
1930	1/7/2016 23:00	49.649					
1931	1/8/2016 0:00	49.516					
1932	1/8/2016 1:00	49.383					
1933	1/8/2016 2:00	49.161					
1934	1/8/2016 3:00	48.895					
1935	1/8/2016 4:00	48.628					
1936	1/8/2016 5:00	48.315					
1937	1/8/2016 6:00	48.004					
1938	1/8/2016 7:00	47.781					
1939	1/8/2016 8:00	47.557					
1940	1/8/2016 9:00	47.377					
1941	1/8/2016 10:00	47.467					
1942	1/8/2016 11:00	47.781					
1943	1/8/2016 12:00	48.137					
1944	1/8/2016 13:00	48.538					
1945	1/8/2016 14:00	48.895					
1946	1/8/2016 15:00	49.116					
1947	1/8/2016 16:00	49.204					
1948	1/8/2016 17:00	49.073					
1949	1/8/2016 18:00	48.895					
1950	1/8/2016 19:00	48.717					
1951	1/8/2016 20:00	48.583					
1952	1/8/2016 21:00	48.405					
1953	1/8/2016 22:00	48.182					
1954	1/8/2016 23:00	48.049					
1955	1/9/2016 0:00	47.826					
1956	1/9/2016 1:00	47.557					
1957	1/9/2016 2:00	47.334					
1958	1/9/2016 3:00	47.109					
1959	1/9/2016 4:00	46.886					
1960	1/9/2016 5:00	46.706					
1961	1/9/2016 6:00	46.616					
1962	1/9/2016 7:00	46.571					
1963	1/9/2016 8:00	46.481					
1964	1/9/2016 9:00	46.616					
