"Plot Title: Lone Pine 4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20116063, SEN S/N: 20116063)","Coupler Detached (LGR S/N: 20116063)","Coupler Attached (LGR S/N: 20116063)","Host Connected (LGR S/N: 20116063)","Stopped (LGR S/N: 20116063)","End Of File (LGR S/N: 20116063)"
1,06/22/17 06:00:00 PM,61.506,Logged,,,,
2,06/22/17 06:15:00 PM,61.376,,,,,
3,06/22/17 06:30:00 PM,61.119,,,,,
4,06/22/17 06:45:00 PM,60.818,,,,,
5,06/22/17 07:00:00 PM,60.474,,,,,
6,06/22/17 07:15:00 PM,60.174,,,,,
7,06/22/17 07:30:00 PM,59.873,,,,,
8,06/22/17 07:45:00 PM,59.616,,,,,
9,06/22/17 08:00:00 PM,59.401,,,,,
10,06/22/17 08:15:00 PM,59.185,,,,,
11,06/22/17 08:30:00 PM,58.928,,,,,
12,06/22/17 08:45:00 PM,58.712,,,,,
13,06/22/17 09:00:00 PM,58.498,,,,,
14,06/22/17 09:15:00 PM,58.325,,,,,
15,06/22/17 09:30:00 PM,58.152,,,,,
16,06/22/17 09:45:00 PM,57.936,,,,,
17,06/22/17 10:00:00 PM,57.765,,,,,
18,06/22/17 10:15:00 PM,57.549,,,,,
19,06/22/17 10:30:00 PM,57.376,,,,,
20,06/22/17 10:45:00 PM,57.204,,,,,
21,06/22/17 11:00:00 PM,57.031,,,,,
22,06/22/17 11:15:00 PM,56.815,,,,,
23,06/22/17 11:30:00 PM,56.642,,,,,
24,06/22/17 11:45:00 PM,56.469,,,,,
25,06/23/17 12:00:00 AM,56.340,,,,,
26,06/23/17 12:15:00 AM,56.165,,,,,
27,06/23/17 12:30:00 AM,55.992,,,,,
28,06/23/17 12:45:00 AM,55.863,,,,,
29,06/23/17 01:00:00 AM,55.776,,,,,
30,06/23/17 01:15:00 AM,55.690,,,,,
31,06/23/17 01:30:00 AM,55.647,,,,,
32,06/23/17 01:45:00 AM,55.602,,,,,
33,06/23/17 02:00:00 AM,55.558,,,,,
34,06/23/17 02:15:00 AM,55.515,,,,,
35,06/23/17 02:30:00 AM,55.472,,,,,
36,06/23/17 02:45:00 AM,55.472,,,,,
37,06/23/17 03:00:00 AM,55.429,,,,,
38,06/23/17 03:15:00 AM,55.386,,,,,
39,06/23/17 03:30:00 AM,55.429,,,,,
40,06/23/17 03:45:00 AM,55.429,,,,,
41,06/23/17 04:00:00 AM,55.429,,,,,
42,06/23/17 04:15:00 AM,55.386,,,,,
43,06/23/17 04:30:00 AM,55.386,,,,,
44,06/23/17 04:45:00 AM,55.299,,,,,
45,06/23/17 05:00:00 AM,55.299,,,,,
46,06/23/17 05:15:00 AM,55.256,,,,,
47,06/23/17 05:30:00 AM,55.213,,,,,
48,06/23/17 05:45:00 AM,55.168,,,,,
49,06/23/17 06:00:00 AM,55.125,,,,,
50,06/23/17 06:15:00 AM,55.081,,,,,
51,06/23/17 06:30:00 AM,55.038,,,,,
52,06/23/17 06:45:00 AM,55.038,,,,,
53,06/23/17 07:00:00 AM,55.038,,,,,
54,06/23/17 07:15:00 AM,54.995,,,,,
55,06/23/17 07:30:00 AM,54.995,,,,,
56,06/23/17 07:45:00 AM,54.952,,,,,
57,06/23/17 08:00:00 AM,54.952,,,,,
58,06/23/17 08:15:00 AM,54.952,,,,,
59,06/23/17 08:30:00 AM,54.952,,,,,
60,06/23/17 08:45:00 AM,54.952,,,,,
61,06/23/17 09:00:00 AM,54.952,,,,,
62,06/23/17 09:15:00 AM,54.995,,,,,
63,06/23/17 09:30:00 AM,55.168,,,,,
64,06/23/17 09:45:00 AM,55.429,,,,,
65,06/23/17 10:00:00 AM,55.776,,,,,
66,06/23/17 10:15:00 AM,56.035,,,,,
67,06/23/17 10:30:00 AM,56.340,,,,,
68,06/23/17 10:45:00 AM,56.512,,,,,
69,06/23/17 11:00:00 AM,56.858,,,,,
70,06/23/17 11:15:00 AM,57.160,,,,,
71,06/23/17 11:30:00 AM,57.463,,,,,
72,06/23/17 11:45:00 AM,57.636,,,,,
73,06/23/17 12:00:00 PM,57.893,,,,,
74,06/23/17 12:15:00 PM,58.109,,,,,
75,06/23/17 12:30:00 PM,58.239,,,,,
76,06/23/17 12:45:00 PM,58.368,,,,,
77,06/23/17 01:00:00 PM,58.669,,,,,
78,06/23/17 01:15:00 PM,59.056,,,,,
79,06/23/17 01:30:00 PM,59.358,,,,,
80,06/23/17 01:45:00 PM,59.745,,,,,
81,06/23/17 02:00:00 PM,60.174,,,,,
82,06/23/17 02:15:00 PM,60.517,,,,,
83,06/23/17 02:30:00 PM,60.733,,,,,
84,06/23/17 02:45:00 PM,60.948,,,,,
85,06/23/17 03:00:00 PM,61.333,,,,,
86,06/23/17 03:15:00 PM,61.547,,,,,
87,06/23/17 03:30:00 PM,61.590,,,,,
88,06/23/17 03:45:00 PM,61.804,,,,,
89,06/23/17 04:00:00 PM,61.761,,,,,
90,06/23/17 04:15:00 PM,61.934,,,,,
91,06/23/17 04:30:00 PM,61.934,,,,,
92,06/23/17 04:45:00 PM,61.848,,,,,
93,06/23/17 05:00:00 PM,61.720,,,,,
94,06/23/17 05:15:00 PM,61.506,,,,,
95,06/23/17 05:30:00 PM,61.162,,,,,
96,06/23/17 05:45:00 PM,60.733,,,,,
97,06/23/17 06:00:00 PM,60.390,,,,,
98,06/23/17 06:15:00 PM,60.174,,,,,
99,06/23/17 06:30:00 PM,60.003,,,,,
100,06/23/17 06:45:00 PM,59.702,,,,,
101,06/23/17 07:00:00 PM,59.401,,,,,
102,06/23/17 07:15:00 PM,59.014,,,,,
103,06/23/17 07:30:00 PM,58.669,,,,,
104,06/23/17 07:45:00 PM,58.368,,,,,
105,06/23/17 08:00:00 PM,58.066,,,,,
106,06/23/17 08:15:00 PM,57.765,,,,,
107,06/23/17 08:30:00 PM,57.463,,,,,
108,06/23/17 08:45:00 PM,57.247,,,,,
109,06/23/17 09:00:00 PM,57.031,,,,,
110,06/23/17 09:15:00 PM,56.815,,,,,
111,06/23/17 09:30:00 PM,56.642,,,,,
112,06/23/17 09:45:00 PM,56.426,,,,,
113,06/23/17 10:00:00 PM,56.251,,,,,
114,06/23/17 10:15:00 PM,56.079,,,,,
115,06/23/17 10:30:00 PM,55.906,,,,,
116,06/23/17 10:45:00 PM,55.733,,,,,
117,06/23/17 11:00:00 PM,55.515,,,,,
118,06/23/17 11:15:00 PM,55.342,,,,,
119,06/23/17 11:30:00 PM,55.125,,,,,
120,06/23/17 11:45:00 PM,54.952,,,,,
121,06/24/17 12:00:00 AM,54.734,,,,,
122,06/24/17 12:15:00 AM,54.561,,,,,
123,06/24/17 12:30:00 AM,54.387,,,,,
124,06/24/17 12:45:00 AM,54.255,,,,,
125,06/24/17 01:00:00 AM,54.082,,,,,
126,06/24/17 01:15:00 AM,53.994,,,,,
127,06/24/17 01:30:00 AM,53.865,,,,,
128,06/24/17 01:45:00 AM,53.733,,,,,
129,06/24/17 02:00:00 AM,53.645,,,,,
130,06/24/17 02:15:00 AM,53.559,,,,,
131,06/24/17 02:30:00 AM,53.427,,,,,
132,06/24/17 02:45:00 AM,53.341,,,,,
133,06/24/17 03:00:00 AM,53.298,,,,,
134,06/24/17 03:15:00 AM,53.209,,,,,
135,06/24/17 03:30:00 AM,53.121,,,,,
136,06/24/17 03:45:00 AM,53.078,,,,,
137,06/24/17 04:00:00 AM,53.035,,,,,
138,06/24/17 04:15:00 AM,52.947,,,,,
139,06/24/17 04:30:00 AM,52.903,,,,,
140,06/24/17 04:45:00 AM,52.860,,,,,
141,06/24/17 05:00:00 AM,52.817,,,,,
142,06/24/17 05:15:00 AM,52.772,,,,,
143,06/24/17 05:30:00 AM,52.729,,,,,
144,06/24/17 05:45:00 AM,52.686,,,,,
145,06/24/17 06:00:00 AM,52.641,,,,,
146,06/24/17 06:15:00 AM,52.597,,,,,
147,06/24/17 06:30:00 AM,52.554,,,,,
148,06/24/17 06:45:00 AM,52.509,,,,,
149,06/24/17 07:00:00 AM,52.509,,,,,
150,06/24/17 07:15:00 AM,52.509,,,,,
151,06/24/17 07:30:00 AM,52.554,,,,,
152,06/24/17 07:45:00 AM,52.641,,,,,
153,06/24/17 08:00:00 AM,52.772,,,,,
154,06/24/17 08:15:00 AM,52.903,,,,,
155,06/24/17 08:30:00 AM,53.121,,,,,
156,06/24/17 08:45:00 AM,53.298,,,,,
157,06/24/17 09:00:00 AM,53.602,,,,,
