"Plot Title: Chadron Creek Park Exit"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739550, SEN S/N: 10739550)","Coupler Detached (LGR S/N: 10739550)","Coupler Attached (LGR S/N: 10739550)","Host Connected (LGR S/N: 10739550)","Stopped (LGR S/N: 10739550)","End Of File (LGR S/N: 10739550)"
1,03/05/20 12:00:00 PM,43.763,Logged,,,,
2,03/05/20 12:15:00 PM,44.218,,,,,
3,03/05/20 12:30:00 PM,44.627,,,,,
4,03/05/20 12:45:00 PM,45.036,,,,,
5,03/05/20 01:00:00 PM,45.399,,,,,
6,03/05/20 01:15:00 PM,45.714,,,,,
7,03/05/20 01:30:00 PM,46.031,,,,,
8,03/05/20 01:45:00 PM,46.256,,,,,
9,03/05/20 02:00:00 PM,46.481,,,,,
10,03/05/20 02:15:00 PM,46.571,,,,,
11,03/05/20 02:30:00 PM,46.616,,,,,
12,03/05/20 02:45:00 PM,46.706,,,,,
13,03/05/20 03:00:00 PM,46.796,,,,,
14,03/05/20 03:15:00 PM,46.886,,,,,
15,03/05/20 03:30:00 PM,46.886,,,,,
16,03/05/20 03:45:00 PM,46.841,,,,,
17,03/05/20 04:00:00 PM,46.706,,,,,
18,03/05/20 04:15:00 PM,46.571,,,,,
19,03/05/20 04:30:00 PM,46.346,,,,,
20,03/05/20 04:45:00 PM,46.166,,,,,
21,03/05/20 05:00:00 PM,45.941,,,,,
22,03/05/20 05:15:00 PM,45.761,,,,,
23,03/05/20 05:30:00 PM,45.624,,,,,
24,03/05/20 05:45:00 PM,45.579,,,,,
25,03/05/20 06:00:00 PM,45.534,,,,,
26,03/05/20 06:15:00 PM,45.489,,,,,
27,03/05/20 06:30:00 PM,45.399,,,,,
28,03/05/20 06:45:00 PM,45.307,,,,,
29,03/05/20 07:00:00 PM,45.217,,,,,
30,03/05/20 07:15:00 PM,45.127,,,,,
31,03/05/20 07:30:00 PM,45.036,,,,,
32,03/05/20 07:45:00 PM,44.946,,,,,
33,03/05/20 08:00:00 PM,44.809,,,,,
34,03/05/20 08:15:00 PM,44.674,,,,,
35,03/05/20 08:30:00 PM,44.537,,,,,
36,03/05/20 08:45:00 PM,44.400,,,,,
37,03/05/20 09:00:00 PM,44.263,,,,,
38,03/05/20 09:15:00 PM,44.127,,,,,
39,03/05/20 09:30:00 PM,43.945,,,,,
40,03/05/20 09:45:00 PM,43.808,,,,,
41,03/05/20 10:00:00 PM,43.624,,,,,
42,03/05/20 10:15:00 PM,43.443,,,,,
43,03/05/20 10:30:00 PM,43.259,,,,,
44,03/05/20 10:45:00 PM,43.075,,,,,
45,03/05/20 11:00:00 PM,42.892,,,,,
46,03/05/20 11:15:00 PM,42.755,,,,,
47,03/05/20 11:30:00 PM,42.616,,,,,
48,03/05/20 11:45:00 PM,42.478,,,,,
49,03/06/20 12:00:00 AM,42.341,,,,,
50,03/06/20 12:15:00 AM,42.202,,,,,
51,03/06/20 12:30:00 AM,42.109,,,,,
52,03/06/20 12:45:00 AM,41.925,,,,,
53,03/06/20 01:00:00 AM,41.832,,,,,
54,03/06/20 01:15:00 AM,41.693,,,,,
55,03/06/20 01:30:00 AM,41.554,,,,,
56,03/06/20 01:45:00 AM,41.416,,,,,
57,03/06/20 02:00:00 AM,41.322,,,,,
58,03/06/20 02:15:00 AM,41.184,,,,,
59,03/06/20 02:30:00 AM,41.090,,,,,
60,03/06/20 02:45:00 AM,40.998,,,,,
61,03/06/20 03:00:00 AM,40.905,,,,,
62,03/06/20 03:15:00 AM,40.858,,,,,
63,03/06/20 03:30:00 AM,40.811,,,,,
64,03/06/20 03:45:00 AM,40.764,,,,,
65,03/06/20 04:00:00 AM,40.672,,,,,
66,03/06/20 04:15:00 AM,40.626,,,,,
67,03/06/20 04:30:00 AM,40.532,,,,,
68,03/06/20 04:45:00 AM,40.485,,,,,
69,03/06/20 05:00:00 AM,40.438,,,,,
70,03/06/20 05:15:00 AM,40.392,,,,,
71,03/06/20 05:30:00 AM,40.345,,,,,
72,03/06/20 05:45:00 AM,40.298,,,,,
73,03/06/20 06:00:00 AM,40.251,,,,,
74,03/06/20 06:15:00 AM,40.251,,,,,
75,03/06/20 06:30:00 AM,40.204,,,,,
76,03/06/20 06:45:00 AM,40.204,,,,,
77,03/06/20 07:00:00 AM,40.158,,,,,
78,03/06/20 07:15:00 AM,40.158,,,,,
79,03/06/20 07:30:00 AM,40.158,,,,,
80,03/06/20 07:45:00 AM,40.158,,,,,
81,03/06/20 08:00:00 AM,40.204,,,,,
82,03/06/20 08:15:00 AM,40.251,,,,,
83,03/06/20 08:30:00 AM,40.345,,,,,
84,03/06/20 08:45:00 AM,40.485,,,,,
85,03/06/20 09:00:00 AM,40.626,,,,,
86,03/06/20 09:15:00 AM,40.811,,,,,
87,03/06/20 09:30:00 AM,41.043,,,,,
88,03/06/20 09:45:00 AM,41.277,,,,,
89,03/06/20 10:00:00 AM,41.601,,,,,
90,03/06/20 10:15:00 AM,41.970,,,,,
91,03/06/20 10:30:00 AM,42.433,,,,,
92,03/06/20 10:45:00 AM,42.939,,,,,
93,03/06/20 11:00:00 AM,43.443,,,,,
94,03/06/20 11:15:00 AM,43.990,,,,,
95,03/06/20 11:30:00 AM,44.492,,,,,
96,03/06/20 11:45:00 AM,44.991,,,,,
97,03/06/20 12:00:00 PM,45.489,,,,,
98,03/06/20 12:15:00 PM,45.986,,,,,
