Driver Name,Driver Phone,Stop Number,Visit Name,Address,Street,City,State,Zip code,Latitude,Longitude,Time window start,Time window end,Arrive at,Start at,Finish by,Duration,Idle time,Distance(km),Load,Phone,Email,Types,Notes,Notes 2,Stop Status,Completion/skipped Time,Skipped Reason,Driver Notes
Driver 1,,0,,"Lincoln, NE, USA",,,,,40.813616,-96.7025955,,,8:00,8:00,,,0,0,,,,,,,,,,
Driver 1,,1,Long Pine Creek (4),42.4742083333333 -99.6961194444444,42.4742083333333 -99.6961194444444,,,,42.4728416,-99.6964167,,,13:51,13:51,14:36,,0,390.5193,,,,,Yes,,,,,
Driver 1,,2,Long Pine Creek (Hidden Paradise),42.5227 -99.7119833333333,42.5227 -99.7119833333333,,,,42.5243101,-99.7106677,,,14:50,14:50,15:35,,0,8.4137,,,,,doubtful- worth redeploying,,,,,
Driver 1,,3,Long Pine Creek (3),42.5429694444444 -99.7102972222222,42.5429694444444 -99.7102972222222,,,,42.54378,-99.710116,,,15:49,15:49,16:34,,0,5.767,,,,,Yes (I have the logger in my office)- need to redeploy,,,,,
Driver 1,,4,Willow Creek (Camp Witness),42.5766638888889 -99.6934,42.5766638888889 -99.6934,,,,42.5771115,-99.6923267,,,16:45,16:45,17:30,,0,6.6938,,,,,doubtful,,,,,
Driver 1,,5,Long Pine Creek (Bar 25),42.6277944444444 -99.6773138888889,42.6277944444444 -99.6773138888889,,,,42.6298131,-99.6769547,,,17:54,17:54,18:39,,0,12.8614,,,,,doubtful- worth redeploying,,,,,
Driver 1,,6,Long Pine Creek (2),42.6791444444444 -99.6963638888889,42.6791444444444 -99.6963638888889,,,,42.6705364,-99.6875497,,,18:54,18:54,19:39,,0,5.4249,,,,,doubtful- worth redeploying,,,,,
Driver 1,,7,Holt Creek (WMA)-East Branch,42.9647666666667 -99.7078277777778,42.9647666666667 -99.7078277777778,,,,42.9664503,-99.7048655,,,20:24,20:24,21:09,,0,42.105,,,,,maybe,,,,,
Driver 1,,8,Plum Creek (1) Bobcat WMA,42.7328916666667 -99.8808,42.7328916666667 -99.8808,,,,42.7310155,-99.867071,,,21:51,21:51,22:36,,0,38.019,,,,,maybe- worth redeploying,,,,,
Driver 1,,9,Plum Creek 2 (Harthorn),42.7090472222222 -99.9091333333333,42.7090472222222 -99.9091333333333,,,,42.6948843,-99.9121954,,,22:52,22:52,23:37,,0,12.0765,,,,,maybe,,,,,
